SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
1018GS2026, GS, 28-May-2021,105.73,111.01,111.01,111.01,111.01,111.01,111.01,3,0,3,3,100
20MICRONS, EQ, 28-May-2021,68.15,69,69.5,62.25,64.45,63.65,65.22,682674,445.22,5562,409531,59.99
21STCENMGM, EQ, 28-May-2021,15.3,15.6,15.6,15.05,15.25,15.15,15.36,6647,1.02,59,6269,94.31
3IINFOTECH, EQ, 28-May-2021,9.3,9.55,9.6,8.95,9.05,9,9.27,28926852,2682.38,27464,20205556,69.85
3MINDIA, EQ, 28-May-2021,26580.25,26585.05,27200,24948.05,25290,25313.35,26370.97,18634,4913.97,7926,5764,30.93
3PLAND, EQ, 28-May-2021,13.95,14.2,14.2,13.3,13.8,13.85,13.75,17655,2.43,143,10379,58.79
5PAISA, EQ, 28-May-2021,344.65,353.65,353.65,344,346.75,345.65,346.68,23049,79.91,807,14574,63.23
63MOONS, BE, 28-May-2021,93.15,91,91.9,88.6,89.5,89,89.56,79859,71.52,824, -, -
68GS2060, GS, 28-May-2021,110,104.53,104.53,104.51,104.51,104.51,104.52,10,0.01,2,10,100
772GS2049, GS, 28-May-2021,120,120,120,120,120,120,120,1142,1.37,1,1142,100
A2ZINFRA, BE, 28-May-2021,4.65,4.85,4.85,4.5,4.55,4.55,4.69,825379,38.69,599, -, -
AAKASH, EQ, 28-May-2021,157.5,157.75,158,156.5,158,157.6,157.23,49809,78.31,321,12201,24.5
AARON, BE, 28-May-2021,86.7,84,89.9,82.6,89.45,86.9,86.2,8881,7.66,272, -, -
AARTIDRUGS, EQ, 28-May-2021,730.45,734.4,742.95,719.4,725.2,723.45,731.01,373003,2726.67,13807,151630,40.65
AARTIIND, EQ, 28-May-2021,1658.9,1667.65,1688.9,1655.55,1663.75,1660.85,1669.66,464086,7748.67,21205,141738,30.54
AARTISURF, EQ, 28-May-2021,1468.75,1495,1495,1418,1438,1427.85,1443.58,38440,554.91,4809,22318,58.06
