SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS, EQ, 16-Dec-2021,62.45,63.05,64.4,60.15,61.1,61.15,62.36,492105,306.88,6918,278611,56.62
21STCENMGM, EQ, 16-Dec-2021,54.05,53,54.45,53,53,53,53.22,8577,4.56,182,6203,72.32
3IINFOLTD, EQ, 16-Dec-2021,116.65,116.65,119.3,110.85,110.85,110.85,113.54,4068656,4619.48,21605,2959396,72.74
3MINDIA, EQ, 16-Dec-2021,24668.75,24750,25041.3,24728.15,25000,24926.6,24955.82,2818,703.26,1237,2117,75.12
3PLAND, EQ, 16-Dec-2021,13.9,14.65,14.65,13.55,13.9,13.9,13.81,16894,2.33,129,7043,41.69
585GS2030, GS, 16-Dec-2021,93.9,98.4,98.4,98.4,98.4,98.4,98.4,1,0,1,1,100
5PAISA, EQ, 16-Dec-2021,430.65,433.6,445.8,433,443,439.25,439.09,20889,91.72,1003,14510,69.46
63MOONS, EQ, 16-Dec-2021,206.55,216.85,216.85,196.25,196.25,196.25,204.46,2576738,5268.46,23476,1041496,40.42
676GS2061, GS, 16-Dec-2021,101,96,101.5,96,101.5,101.13,99.58,590,0.59,4,590,100
716GS2050, GS, 16-Dec-2021,104.51,104.5,109.1,104,107,107,105.36,288,0.3,7,288,100
772GS2055, GS, 16-Dec-2021,110,110,110,110,110,110,110,96,0.11,6,96,100
813GS2045, GS, 16-Dec-2021,111,116,116,116,116,116,116,79,0.09,3,79,100
A2ZINFRA, BE, 16-Dec-2021,7.5,7.85,7.85,7.2,7.85,7.85,7.73,1029028,79.56,1443, -, -
AAATECH, SM, 16-Dec-2021,62,61,61,61,61,61,61,3000,1.83,1,3000,100
AAKASH, EQ, 16-Dec-2021,237.75,244,246.75,235.55,245.4,245.55,242.74,238383,578.65,1318,89540,37.56
AAREYDRUGS, EQ, 16-Dec-2021,40,40.7,42.1,39,39.85,39.65,40.82,137245,56.02,1481,66122,48.18
