INSTRUMENT,SYMBOL,EXP_DATE,STR_PRICE,OPT_TYPE,OPEN_PRICE,HI_PRICE,LO_PRICE,CLOSE_PRICE,OPEN_INT*,TRD_QTY,NO_OF_CONT,NO_OF_TRADE,NOTION_VAL,PR_VAL,TIMESTAMP
OPTIDX    ,NIFTY     ,06-08-2020,8300,PE      ,0.5,0.5,0.15,0.4,12600,17025,227,144,141312832.5,5332.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,8400,PE      ,0.3,0.3,0.15,0.2,75,17100,228,115,143644635,4635,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,8450,PE      ,0.3,0.3,0.3,0.3,0,5850,78,55,49434255,1755,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,8500,PE      ,0.3,0.65,0.25,0.4,76875,429750,5730,5079,3653027640,152640,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,8650,PE      ,1,1,1,1,75,75,1,1,648825,75,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,9000,PE      ,0.35,0.6,0.35,0.5,288225,272175,3629,327,2449700644,125643.75,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,9100,PE      ,0.6,0.75,0.6,0.75,3825,600,8,4,5460438.75,438.75,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,9200,PE      ,0.65,0.75,0.6,0.75,3225,1050,14,5,9660723.75,723.75,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,9300,PE      ,0.65,0.8,0.65,0.8,3450,1875,25,8,17438831.25,1331.25,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,9400,PE      ,0.65,0.7,0.5,0.55,1575,600,8,6,5640375,375,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,9450,PE      ,0.65,0.65,0.1,0.1,75,150,2,2,1417556.25,56.25,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,9500,CE      ,1564,1600,1535.4,1600,150,225,3,3,2489955,352455,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,9500,PE      ,0.3,0.95,0.3,0.8,318300,482925,6439,544,4588082468,294967.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,9600,PE      ,0.6,1.35,0.45,0.9,26550,44700,596,210,429155193.8,35193.75,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,9650,PE      ,1.55,1.55,0.3,0.55,825,600,8,6,5790513.75,513.75,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,9700,PE      ,1.2,1.2,0.65,0.9,43350,154575,2061,794,1499518279,140778.75,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,9750,PE      ,1.2,1.35,0.3,0.8,1350,3150,42,20,30715893.75,3393.75,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,9800,PE      ,0.6,1.2,0.55,1.05,262050,336150,4482,1059,3294576368,306367.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,9850,PE      ,1.15,1.3,0.95,1.2,825,3225,43,32,31770007.5,3757.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,9900,PE      ,0.8,1.3,0.65,1.15,142650,248700,3316,878,2462396846,266846.25,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,9950,PE      ,0.9,2.6,0.3,1.3,5925,9750,130,59,97023900,11400,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10000,CE      ,939.6,1096.3,920,1096.3,3075,1125,15,14,12408975,1158975,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10000,PE      ,0.85,1.5,0.7,1.35,1178175,2257200,30096,6401,22574696183,2696182.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10050,PE      ,1,1.55,1,1.4,11700,44625,595,219,448538201.3,56951.25,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10100,CE      ,850,972.05,834.05,972.05,19650,600,8,8,6596651.25,536651.25,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10100,PE      ,0.85,1.7,0.8,1.55,486750,844275,11257,3494,8528323890,1146390,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10150,CE      ,804.7,947.85,804.7,947.85,300,375,5,5,4141428.75,335178.75,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10150,PE      ,1.2,1.8,0.65,1.6,6300,84000,1120,458,852724826.3,124826.25,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10200,CE      ,737.95,896.55,728.7,896.55,9900,4650,62,34,51067511.25,3637511.25,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10200,PE      ,0.75,3.7,0.7,1.65,451050,1722300,22964,7695,17570079986,2619986.25,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10250,CE      ,703.3,794.4,703.3,794.4,75,150,2,2,1649827.5,112327.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10250,PE      ,1.65,2.3,1.05,1.75,50400,110175,1469,569,1129473881,180131.25,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10300,CE      ,655.4,796.8,655.4,796.8,7350,2100,28,22,23133228.75,1503228.75,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10300,PE      ,1.7,2.55,1.35,1.85,716250,2492250,33230,9654,25674901905,4726905,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10350,CE      ,600,600,575.4,575.4,225,225,3,3,2461905,133155,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10350,PE      ,2.5,2.8,1.45,2,37725,381975,5093,2475,3954245460,804210,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10400,CE      ,560,698.25,522.45,696.65,8250,2250,30,23,24786637.5,1386637.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10400,PE      ,3.95,3.95,1.5,2.2,2016825,5764800,76864,22241,59968446555,14526555,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10450,CE      ,489,555.35,489,555.35,600,3075,41,17,33823492.5,1689742.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10450,PE      ,3.6,4.1,2.05,2.3,133800,965250,12870,5825,10089715943,2853442.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10500,CE      ,449.3,608.15,422.1,595.35,59625,80925,1079,585,893073517.5,43361017.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10500,PE      ,7.7,7.7,2.1,2.5,1744425,8409900,112132,34026,88332571549,28621548.75,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10550,CE      ,412.5,546.85,377,545.15,3000,5250,70,53,57888243.75,2500743.75,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10550,PE      ,5.75,7.6,2.4,2.6,219525,2679975,35733,14503,28285033403,11297152.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10600,CE      ,354.6,506.4,323.55,494.85,25125,53700,716,464,591746321.3,22526321.25,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10600,PE      ,7.95,10.65,2.55,2.9,1598850,10792200,143896,68466,1.14452E+11,55002356.25,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10650,CE      ,302.85,450.35,282.95,446.15,3750,8700,116,77,95978557.5,3323557.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10650,PE      ,14.1,15.15,2.7,3.2,478200,4900050,65334,32173,52217885014,32352513.75,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10700,CE      ,262.25,408.45,234.65,397.5,60300,268725,3583,2275,2960588591,85231091.25,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10700,PE      ,15.65,21.85,3.1,3.85,2002350,18675225,249003,105319,2.00007E+11,182228565,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10750,CE      ,218.1,359.75,194.45,350.4,9225,59925,799,575,660919751.3,16726001.25,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10750,PE      ,25,31.1,3.8,5.05,797475,11158125,148775,70011,1.20096E+11,146097581.3,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10800,CE      ,184.3,309.9,153.5,299.3,218100,2853900,38052,24104,31461993491,639873491.3,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10800,PE      ,30,44.25,5.5,7.15,2634375,31350675,418009,182841,3.39221E+11,633424758.8,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10850,CE      ,145,262.7,123.75,251.65,33150,1386375,18485,12046,15296875946,254707196.3,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10850,PE      ,59.3,61,8.2,10.45,822825,16821900,224292,106780,1.8296E+11,442117781.3,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10900,CE      ,111.05,217.5,94.5,206.9,405375,14190075,189201,113592,1.56737E+11,2064994436,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10900,PE      ,68,81.9,12.45,15.45,2836425,46054650,614062,289228,5.03809E+11,1813183883,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10950,CE      ,109.35,174,66.65,164.25,250575,11438700,152516,94890,1.26532E+11,1278323419,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,10950,PE      ,103.3,107.85,19,23.2,1244400,20032050,267094,146035,2.20361E+11,1009599206,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11000,CE      ,71.9,133.9,52.35,126.1,1279425,52687125,702495,361969,5.84307E+11,4748813201,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11000,PE      ,126.3,139,29.3,34.4,3292425,50153025,668707,323580,5.5498E+11,3296452639,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11050,CE      ,51.9,98.7,37.25,92.25,477300,23971425,319619,173830,2.66538E+11,1653766474,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11050,PE      ,151.65,174.05,44.15,51.5,847125,13572075,180961,106344,1.51042E+11,1070481881,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11100,CE      ,41.3,69,26.1,64.1,2313225,58091100,774548,364730,6.47659E+11,2847608576,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11100,PE      ,199.65,212.05,64.45,72,1524300,16241775,216557,117228,1.81953E+11,1668800681,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11150,CE      ,29.85,46.1,17.75,41.55,833475,21124425,281659,130965,2.36229E+11,691679055,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11150,PE      ,216.85,253.55,90.55,99.4,135525,1141800,15224,11065,12877049520,145979520,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11200,CE      ,18,29,12.25,25,2979150,46702800,622704,253855,5.24052E+11,980155875,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11200,PE      ,267.9,298.45,111.65,131.45,487950,2637300,35164,21337,30002180385,464420385,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11250,CE      ,15.4,16.95,8.2,14.05,1156875,14564175,194189,80914,1.64035E+11,188039722.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11250,PE      ,305,346.4,162.15,170.95,30675,86550,1154,785,992446102.5,18758602.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11300,CE      ,10.7,10.7,5.4,7.35,2853300,22527150,300362,126840,2.54723E+11,166617843.8,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11300,PE      ,356.15,389.45,203.25,214.5,156600,433275,5777,3040,5010086993,114079492.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11350,CE      ,5.9,6.65,3.05,3.85,984000,5727300,76364,34794,65029774635,24919635,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11350,PE      ,393.45,393.45,250,258.95,22875,16500,220,137,192204622.5,4929622.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11400,CE      ,4.8,5.1,2.1,2.45,1786875,13067325,174231,61173,1.49006E+11,38913637.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11400,PE      ,462,486,299.8,310.7,81225,86625,1155,697,1018541513,31016512.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11450,CE      ,3.95,4.15,1.5,1.8,361875,2159775,28797,11361,24734187848,4764097.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11450,PE      ,467.9,467.9,351,356.4,4425,4650,62,34,54989782.5,1747282.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11500,CE      ,3.35,3.9,1.3,1.65,2215125,10020825,133611,25626,1.1526E+11,20685585,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11500,PE      ,545.05,588,398.2,407.55,59700,55200,736,469,662147231.3,27347231.25,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11550,CE      ,3.35,3.45,1.25,1.5,259725,1181550,15754,5225,13649028998,2126497.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11550,PE      ,592.75,592.75,456.7,457.25,1425,2100,28,9,25316778.75,1061778.75,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11600,CE      ,3,3.1,1.05,1.25,1285650,7323225,97643,17847,84961092473,11682472.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11600,PE      ,692.2,692.2,506.1,508.55,18825,5775,77,41,70219447.5,3229447.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11650,CE      ,2.9,2.9,0.95,1.2,222075,870075,11601,2463,10137537503,1163752.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11650,PE      ,629.45,629.45,553.35,553.4,1800,1650,22,10,20154611.25,932111.25,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11700,CE      ,2.4,2.5,0.85,1.1,973650,4350975,58013,10452,50911948046,5540546.25,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11700,PE      ,701.45,711.05,636.55,641,8250,600,8,8,7421006.25,401006.25,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11750,CE      ,1.8,1.9,0.8,1,85650,142800,1904,688,1678069421,169421.25,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11750,PE      ,741,741,741,741,300,75,1,1,936825,55575,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11800,CE      ,1.75,1.9,0.8,1,859650,1763775,23517,5380,20814600645,2055645,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11800,PE      ,738.1,738.1,698.9,734.85,900,225,3,3,2817888.75,162888.75,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11850,CE      ,1.55,1.65,0.75,0.9,49050,86175,1149,493,1021263431,89681.25,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11850,PE      ,902.25,902.25,902.25,902.25,0,150,2,2,1912837.5,135337.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11900,CE      ,1.65,1.65,0.7,0.9,261900,867900,11572,2970,10328923965,913965,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11900,PE      ,919.45,992.05,879.45,879.45,825,450,6,5,5775086.25,420086.25,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,11950,CE      ,1.6,1.6,0.55,0.8,36300,122175,1629,495,1460109334,118083.75,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,12000,CE      ,1.4,1.45,0.7,0.8,1024650,2427525,32367,5043,29132712555,2412555,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,12000,PE      ,965,965,900,904.6,4650,4125,55,31,53323736.25,3823736.25,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,12050,CE      ,1.25,1.25,0.6,0.8,8325,36450,486,152,439253557.5,31057.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,12100,CE      ,1.25,1.25,0.55,0.65,155700,174150,2322,365,2107359469,144468.75,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,12150,CE      ,1.55,1.55,0.55,0.65,16500,16350,218,61,198665242.5,12742.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,12200,CE      ,1.15,1.2,0.5,0.6,287625,224775,2997,381,2742443471,188471.25,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,12250,CE      ,1.15,1.15,0.65,0.65,975,975,13,4,11944755,1005,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,12300,CE      ,1.35,1.35,0.5,0.6,37125,64050,854,158,787861087.5,46087.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,12350,CE      ,1.5,1.5,0.4,0.4,75,150,2,2,1852642.5,142.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,12400,CE      ,1,1,0.45,0.55,97650,99300,1324,281,1231377041,57041.25,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,12450,CE      ,1.15,1.15,0.5,0.55,16275,3975,53,25,49491270,2520,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,12500,CE      ,0.8,0.85,0.35,0.55,615600,579300,7724,2132,7241641710,391710,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,12550,CE      ,0.5,0.75,0.35,0.55,16275,41400,552,550,519594963.8,24963.75,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,12600,CE      ,0.75,0.85,0.45,0.6,41175,51975,693,359,654919406.3,34406.25,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,12650,CE      ,0.75,0.75,0.75,0.75,2850,450,6,3,5692837.5,337.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,12700,CE      ,1.2,1.2,0.45,0.5,79650,23775,317,63,301958782.5,16282.5,04-08-2020
OPTIDX    ,NIFTY     ,06-08-2020,12750,CE      ,0.35,0.8,0.3,0.4,31800,8625,115,16,109974030,5280,04-08-2020
