Date,Close_Price
7/31/2025,592.7
8/1/2025,607.95
8/4/2025,605.25
8/5/2025,602.7
8/6/2025,589.9
8/7/2025,592.35
8/8/2025,580
8/11/2025,588.85
8/12/2025,587.15
8/13/2025,580.85
8/14/2025,578.05
8/18/2025,590.05
8/19/2025,592.4
8/20/2025,591.9
8/21/2025,588.75
8/22/2025,577.15
8/25/2025,581
8/26/2025,572.8
8/28/2025,561.8
8/29/2025,563.2
8/28/2025,561.8
8/29/2025,563.2
9/10/2025,566.85
11/17/2025,560.3
11/17/2025,560.3
11/18/2025,557.8
11/19/2025,555.3
11/20/2025,555.75
11/24/2025,544.6
11/24/2025,544.6
11/25/2025,545.85
11/26/2025,550
11/27/2025,548.7
11/28/2025,550.2
12/1/2025,543.35
12/2/2025,543
12/3/2025,535.35
12/4/2025,536.9
12/5/2025,533.8
12/8/2025,528.95
12/9/2025,533.05
12/10/2025,529.7
12/11/2025,536.1
12/12/2025,548.15
12/15/2025,553.45
12/16/2025,548.7
12/17/2025,541.3
12/18/2025,535.8
12/19/2025,539.65
12/22/2025,539.95
12/23/2025,546.9
12/24/2025,548.1
12/26/2025,554.65
12/29/2025,552.1
12/30/2025,550
12/31/2025,556.35
1/1/2026,559.65
1/1/2026,559.65
1/1/2026,559.65
1/1/2026,559.65
1/1/2026,559.65
1/1/2026,559.65
1/1/2026,559.65
1/5/2026,571.25
1/6/2026,563.55
1/7/2026,562
1/8/2026,546.7
1/9/2026,536.95
1/12/2026,538.7
1/13/2026,537.65
1/14/2026,549.55
1/16/2026,553.75
1/19/2026,552.15
1/20/2026,536.3
1/21/2026,538.65
1/22/2026,546.6
1/23/2026,518.6
1/27/2026,532.25
1/28/2026,533.95
1/29/2026,536.05
1/30/2026,510.15
2/1/2026,497.35
2/2/2026,510.5
2/3/2026,528.25
2/4/2026,536.95
2/5/2026,533.05
2/6/2026,529.45
2/9/2026,542.45
2/10/2026,538.5
2/11/2026,541.25
2/12/2026,532.85
2/13/2026,519.45
2/16/2026,524.7
2/17/2026,522
2/18/2026,523
2/19/2026,512.15
2/23/2026,515.3
2/24/2026,514.5
2/25/2026,511.1
2/26/2026,512.15
2/27/2026,500.4
3/2/2026,490.75
3/4/2026,476.15
3/5/2026,480
3/9/2026,451.95
3/10/2026,462.1
3/11/2026,457.8
3/12/2026,446.45
3/13/2026,425.35
3/16/2026,429
3/17/2026,434.2
3/18/2026,441.25
3/19/2026,419.95
3/20/2026,420.55
3/23/2026,395.35
3/24/2026,407.55
3/25/2026,421.8
3/27/2026,408.85
3/30/2026,401.25
4/1/2026,420.35
4/2/2026,418.45
4/6/2026,430.05
4/7/2026,420.45
4/8/2026,446.75
4/9/2026,434.05
4/10/2026,445.2
4/13/2026,441
4/15/2026,454
4/16/2026,458.05
4/17/2026,459
4/20/2026,454.9
4/21/2026,456.25
4/22/2026,460.9
4/23/2026,450.4
4/24/2026,451.2
4/27/2026,460.5
4/28/2026,458.8
4/29/2026,454.6
4/30/2026,444.2
5/4/2026,445.3
5/5/2026,433.1
5/6/2026,446.9
5/7/2026,450.65
5/8/2026,444.3
