Date,Close_Price
7/31/2025,237.87
8/1/2025,235.13
8/4/2025,241.17
8/5/2025,240.65
8/6/2025,241.75
8/7/2025,242.05
8/8/2025,239.22
8/11/2025,243.97
8/12/2025,243.08
8/13/2025,241.81
8/14/2025,242.77
8/18/2025,242.77
8/19/2025,247.05
8/20/2025,244.88
8/21/2025,243.36
8/22/2025,240.23
8/25/2025,241.08
8/26/2025,235.14
8/28/2025,233.24
8/29/2025,232.83
8/28/2025,233.24
8/29/2025,232.83
9/10/2025,238.01
11/17/2025,287.95
11/17/2025,287.95
11/18/2025,288.45
11/19/2025,293.3
11/20/2025,288.25
11/24/2025,281.9
11/24/2025,281.9
11/25/2025,287.25
11/26/2025,288.4
11/27/2025,287.9
11/28/2025,289.8
12/1/2025,295.55
12/2/2025,296.9
12/3/2025,287
12/4/2025,288.2
12/5/2025,292.6
12/8/2025,285.2
12/9/2025,289.85
12/10/2025,286.1
12/11/2025,285
12/12/2025,284.45
12/15/2025,285.1
12/16/2025,282.85
12/17/2025,287.6
12/18/2025,288.1
12/19/2025,292.05
12/22/2025,294
12/23/2025,292.5
12/24/2025,290.55
12/26/2025,288.2
12/29/2025,287.6
12/30/2025,293
12/31/2025,295.9
1/1/2026,300.75
1/1/2026,300.75
1/1/2026,300.75
1/1/2026,300.75
1/1/2026,300.75
1/1/2026,300.75
1/1/2026,300.75
1/5/2026,306.85
1/6/2026,305.05
1/7/2026,308.25
1/8/2026,299.55
1/9/2026,300.65
1/12/2026,302.2
1/13/2026,301.85
1/14/2026,307.7
1/16/2026,308.25
1/19/2026,307.15
1/20/2026,302.05
1/21/2026,299.05
1/22/2026,305.3
1/23/2026,296.15
1/27/2026,302
1/28/2026,306.2
1/29/2026,302.45
1/30/2026,299.4
2/1/2026,279.7
2/2/2026,277.6
2/3/2026,285.4
2/4/2026,290.85
2/5/2026,290.45
2/6/2026,289.2
2/9/2026,290.6
2/10/2026,290.35
2/11/2026,291.2
2/12/2026,289.85
2/13/2026,287.45
2/16/2026,292.55
2/17/2026,303.25
2/18/2026,305.15
2/19/2026,304.45
2/23/2026,313.35
2/24/2026,313.1
2/25/2026,315.85
2/26/2026,324.45
2/27/2026,321.95
3/2/2026,315.2
3/4/2026,299.3
3/5/2026,301.85
3/9/2026,288.05
3/10/2026,294.4
3/11/2026,289.3
3/12/2026,289.2
3/13/2026,281.05
3/16/2026,279.95
3/17/2026,283.25
3/18/2026,283.15
3/19/2026,272.6
3/20/2026,279.95
3/23/2026,265.9
3/24/2026,270.5
3/25/2026,272.7
3/27/2026,260.3
3/30/2026,247.6
4/1/2026,252.03
4/2/2026,249.56
4/6/2026,259.76
4/7/2026,258.1
4/8/2026,275.98
4/9/2026,274.24
4/10/2026,276.19
4/13/2026,275.72
4/15/2026,279.07
4/16/2026,279.39
4/17/2026,280.44
4/20/2026,281.01
4/21/2026,284.05
4/22/2026,282.77
4/23/2026,276.34
4/24/2026,274.13
4/27/2026,273.99
4/28/2026,267.83
4/29/2026,268.25
4/30/2026,263.46
5/4/2026,265.1
5/5/2026,263.4
5/6/2026,270.3
5/7/2026,270.35
5/8/2026,263.9
