Date,Close_Price
7/31/2025,391.4
8/1/2025,383.1
8/4/2025,382.4
8/5/2025,372.35
8/6/2025,360.4
8/7/2025,364.2
8/8/2025,343.35
8/11/2025,342.1
8/12/2025,354.9
8/13/2025,360.25
8/14/2025,359.25
8/18/2025,364.3
8/19/2025,363.85
8/20/2025,359.45
8/21/2025,357.75
8/22/2025,359.5
8/25/2025,359.95
8/26/2025,358.3
8/28/2025,353.25
8/29/2025,348.35
8/28/2025,353.25
8/29/2025,348.35
9/10/2025,364.2
11/17/2025,420.95
11/17/2025,420.95
11/18/2025,421.6
11/19/2025,410.1
11/20/2025,395.15
11/24/2025,395.25
11/24/2025,395.25
11/25/2025,393.25
11/26/2025,398.45
11/27/2025,399.65
11/28/2025,398.35
12/1/2025,394.5
12/2/2025,399
12/3/2025,410
12/4/2025,388.35
12/5/2025,392.65
12/8/2025,383.8
12/9/2025,383.65
12/10/2025,379.15
12/11/2025,381.75
12/12/2025,386.35
12/15/2025,390.65
12/16/2025,384.9
12/17/2025,386.1
12/18/2025,392.25
12/19/2025,398.55
12/22/2025,399.3
12/23/2025,401.55
12/24/2025,398.35
12/26/2025,395.45
12/29/2025,390.4
12/30/2025,390.4
12/31/2025,393.9
1/1/2026,387.75
1/1/2026,387.75
1/1/2026,387.75
1/1/2026,387.75
1/1/2026,387.75
1/1/2026,387.75
1/1/2026,387.75
1/5/2026,391.35
1/6/2026,385.15
1/7/2026,387.05
1/8/2026,377.95
1/9/2026,379.6
1/12/2026,371.8
1/13/2026,377.3
1/14/2026,379
1/16/2026,377.65
1/19/2026,376.05
1/20/2026,366.85
1/21/2026,364.85
1/22/2026,373
1/23/2026,366.2
1/27/2026,365.25
1/28/2026,370.5
1/29/2026,365.3
1/30/2026,366.8
2/1/2026,368.2
2/2/2026,370.15
2/3/2026,372.3
2/4/2026,368.55
2/5/2026,367.8
2/6/2026,365.4
2/9/2026,373.95
2/10/2026,371.05
2/11/2026,375.2
2/12/2026,375.05
2/13/2026,377.95
2/16/2026,380.35
2/17/2026,379.35
2/18/2026,378.95
2/19/2026,382.65
2/23/2026,387.7
2/24/2026,390.75
2/25/2026,395.85
2/26/2026,394.85
2/27/2026,389.8
3/2/2026,387.95
3/4/2026,378.35
3/5/2026,386.8
3/9/2026,389.7
3/10/2026,395.8
3/11/2026,395.35
3/12/2026,392.2
3/13/2026,383.55
3/16/2026,377.05
3/17/2026,377.55
3/18/2026,382.6
3/19/2026,368.55
3/20/2026,380.95
3/23/2026,367.15
3/24/2026,369.05
3/25/2026,379.65
3/27/2026,370.1
3/30/2026,360.9
4/1/2026,365.2
4/2/2026,352.55
4/6/2026,355
4/7/2026,340.05
4/8/2026,349.8
4/9/2026,345.7
4/10/2026,348.6
4/13/2026,345
4/15/2026,350.35
4/16/2026,350.75
4/17/2026,358.1
4/20/2026,359.05
4/21/2026,361.5
4/22/2026,357.8
4/23/2026,358
4/24/2026,349.85
4/27/2026,362
4/28/2026,362.8
4/29/2026,362.25
4/30/2026,359.65
5/4/2026,360.6
5/5/2026,368.25
5/6/2026,380.6
5/7/2026,382.25
5/8/2026,380.4
