Date,Close_Price
7/31/2025,8008
8/1/2025,8044.5
8/4/2025,8187.5
8/5/2025,8230.5
8/6/2025,8178.5
8/7/2025,8229
8/8/2025,8224
8/11/2025,8275
8/12/2025,8196.5
8/13/2025,8248.5
8/14/2025,8213.5
8/18/2025,8588.5
8/19/2025,8795.5
8/20/2025,8827.5
8/21/2025,8684.5
8/22/2025,8679.5
8/25/2025,8750.5
8/26/2025,8691.5
8/28/2025,8689.5
8/29/2025,8631.5
8/28/2025,8689.5
8/29/2025,8631.5
9/10/2025,9244
11/17/2025,8945.5
11/17/2025,8945.5
11/18/2025,8921
11/19/2025,8884.5
11/20/2025,8979.5
11/24/2025,9007.5
11/24/2025,9007.5
11/25/2025,9048
11/26/2025,9164
11/27/2025,9022.5
11/28/2025,9073.5
12/1/2025,9096
12/2/2025,9085.5
12/3/2025,9000.5
12/4/2025,9085
12/5/2025,9109
12/8/2025,9026
12/9/2025,8961
12/10/2025,8991
12/11/2025,9053.5
12/12/2025,9015
12/15/2025,8940
12/16/2025,9008
12/17/2025,8895
12/18/2025,8831
12/19/2025,9002
12/22/2025,9164
12/23/2025,9099
12/24/2025,9170
12/26/2025,9064.5
12/29/2025,9087
12/30/2025,9282
12/31/2025,9343
1/1/2026,9558
1/1/2026,9558
1/1/2026,9558
1/1/2026,9558
1/1/2026,9558
1/1/2026,9558
1/1/2026,9558
1/5/2026,9497.5
1/6/2026,9661
1/7/2026,9789.5
1/8/2026,9760.5
1/9/2026,9562.5
1/12/2026,9491
1/13/2026,9554
1/14/2026,9579.5
1/16/2026,9489
1/19/2026,9429.5
1/20/2026,9180
1/21/2026,9179
1/22/2026,9370
1/23/2026,9413.5
1/27/2026,9492
1/28/2026,9433.5
1/29/2026,9512
1/30/2026,9597.5
2/1/2026,9499.5
2/2/2026,9496.5
2/3/2026,9595.5
2/4/2026,9639
2/5/2026,9647
2/6/2026,9518.5
2/9/2026,9590
2/10/2026,9774
2/11/2026,9869.5
2/12/2026,9840
2/13/2026,9760
2/16/2026,9697.5
2/17/2026,9826.5
2/18/2026,9980
2/19/2026,9729
2/23/2026,9905.5
2/24/2026,9829
2/25/2026,10097
2/26/2026,10110
2/27/2026,9972.5
3/2/2026,9776
3/4/2026,9652.5
3/5/2026,9804.5
3/9/2026,9383
3/10/2026,9610
3/11/2026,9327.5
3/12/2026,9162
3/13/2026,8875
3/16/2026,9073
3/17/2026,9110
3/18/2026,9271
3/19/2026,8868.5
3/20/2026,9051
3/23/2026,8776
3/24/2026,8898
3/25/2026,9048.5
3/27/2026,8901
3/30/2026,8781.5
4/1/2026,8895.5
4/2/2026,8758.5
4/6/2026,8942.5
4/7/2026,9049.5
4/8/2026,9366
4/9/2026,9517
4/10/2026,9813.5
4/13/2026,9816
4/15/2026,9865
4/16/2026,9825
4/17/2026,9773.5
4/20/2026,9803
4/21/2026,9793
4/22/2026,9602
4/23/2026,9550.5
4/24/2026,9576
4/27/2026,9662
4/28/2026,9495.5
4/29/2026,9543.5
4/30/2026,9994
5/4/2026,10132
5/5/2026,10046
5/6/2026,10319
5/7/2026,10605
5/8/2026,10711.5
