Date,Close_Price,Flg,p,EP,EP-Pt-1,XAF,Rev
2025-07-31,2430.7,1,2430.7,2430.7,0.1,0.1,1
2025-08-01,2350.9,1,2430.7,2430.7,0.0,0.0,-1
2025-08-04,2363.6,-1,2414.74,2350.9,-79.79999999999973,-15.959999999999946,-1
2025-08-05,2328.2,-1,2397.432,2328.2,-86.53999999999996,-17.307999999999993,-1
2025-08-06,2300.3,-1,2378.0056,2300.3,-97.1319999999996,-19.426399999999923,-1
2025-08-07,2249.8,-1,2352.36448,2249.8,-128.20559999999978,-25.641119999999958,-1
2025-08-08,2178.1,-1,2317.5115840000003,2178.1,-174.26448000000028,-34.85289600000006,-1
2025-08-11,2283.4,-1,2289.6292672000004,2178.1,-139.4115840000004,-27.882316800000083,-1
2025-08-12,2288.2,-1,2288.38341376,2283.4,-6.229267200000322,-1.2458534400000645,-1
2025-08-13,2280.1,-1,2286.726731008,2280.1,-8.283413760000258,-1.6566827520000516,-1
2025-08-14,2281.6,-1,2285.4013848064,2280.1,-6.626731008000206,-1.3253462016000412,-1
2025-08-18,2333.6,-1,2284.64110784512,2281.6,-3.801384806400165,-0.7602769612800331,1
2025-08-19,2388.4,1,2305.3928862760963,2388.4,103.75889215487996,20.751778430975993,1
2025-08-20,2387.1,1,2321.994309020877,2388.4,83.00711372390379,16.60142274478076,1
2025-08-21,2377.2,1,2335.2754472167017,2388.4,66.40569097912294,13.281138195824589,1
2025-08-22,2324.9,1,2345.9003577733615,2388.4,53.12455278329844,10.624910556659689,-1
2025-08-25,2302.9,-1,2337.300286218689,2302.9,-43.00035777336143,-8.600071554672287,-1
2025-08-26,2272.0,-1,2324.240228974951,2272.0,-65.30028621868905,-13.06005724373781,-1
2025-08-28,2275.2,-1,2313.792183179961,2272.0,-52.24022897495115,-10.44804579499023,-1
2025-08-29,2244.7,-1,2299.9737465439684,2244.7,-69.09218317996101,-13.818436635992203,-1
2025-08-28,2275.2,-1,2288.9189972351746,2244.7,-55.27374654396863,-11.054749308793726,-1
