Date,Close_Price,Flg,p,EP,EP-Pt-1,XAF,Rev
2025-07-31,984.7,1,984.7,984.7,0.1,0.1,1
2025-08-01,972.6,1,984.7,984.7,0.0,0.0,-1
2025-08-04,989.8,-1,982.2800000000001,972.6,-12.100000000000023,-2.420000000000005,1
2025-08-05,971.75,1,980.344,972.6,-9.680000000000064,-1.9360000000000128,-1
2025-08-06,957.55,-1,975.7852,957.55,-22.794000000000096,-4.558800000000019,-1
2025-08-07,936.7,-1,967.96816,936.7,-39.085199999999986,-7.817039999999998,-1
2025-08-08,914.05,-1,957.184528,914.05,-53.91816000000006,-10.783632000000011,-1
2025-08-11,929.1,-1,948.5576224,914.05,-43.134528000000046,-8.62690560000001,-1
2025-08-12,930.9,-1,944.66609792,929.1,-19.45762239999999,-3.8915244799999984,-1
2025-08-13,924.15,-1,940.5628783359999,924.15,-20.516097919999993,-4.103219583999999,-1
2025-08-14,917.5,-1,935.9503026688,917.5,-23.062878335999926,-4.612575667199986,-1
2025-08-18,941.65,-1,932.26024213504,917.5,-18.450302668799964,-3.690060533759993,1
2025-08-19,973.4,1,940.488193708032,973.4,41.13975786495996,8.227951572991993,1
2025-08-20,975.95,1,947.5805549664256,975.95,35.46180629196806,7.092361258393613,1
2025-08-21,966.6,1,953.2544439731405,975.95,28.369445033574493,5.673889006714899,1
2025-08-22,957.2,1,957.7935551785124,975.95,22.69555602685955,4.53911120537191,-1
2025-08-25,964.1,-1,957.6748441428099,957.2,-0.5935551785123607,-0.11871103570247216,1
2025-08-26,931.25,1,957.5798753142479,957.2,-0.4748441428098431,-0.09496882856196863,-1
2025-08-28,921.15,-1,950.2939002513983,921.15,-36.429875314247965,-7.285975062849594,-1
2025-08-29,913.5,-1,942.9351202011187,913.5,-36.79390025139833,-7.358780050279666,-1
2025-08-28,921.15,-1,937.0480961608949,913.5,-29.435120201118707,-5.887024040223742,-1
2025-08-29,913.5,-1,932.338476928716,913.5,-23.548096160894943,-4.709619232178989,-1
2025-09-10,963.35,-1,928.5707815429728,913.5,-18.838476928715977,-3.7676953857431954,1
2025-11-17,1088.6,1,960.5766252343782,1088.6,160.02921845702713,32.005843691405424,1
2025-11-17,1088.6,1,986.1813001875025,1088.6,128.02337476562172,25.604674953124345,1
2025-11-18,1077.6,1,1006.665040150002,1088.6,102.41869981249738,20.483739962499477,1
2025-11-19,1069.9,1,1023.0520321200016,1088.6,81.93495984999788,16.386991969999578,1
2025-11-20,1060.0,1,1036.1616256960012,1088.6,65.54796787999828,13.109593575999657,1
2025-11-24,1009.4,1,1046.6493005568009,1088.6,52.43837430399867,10.487674860799736,-1
2025-11-24,1009.4,-1,1039.1994404454408,1009.4,-37.249300556800904,-7.449860111360181,-1
2025-11-25,1011.6,-1,1033.2395523563528,1009.4,-29.799440445440837,-5.959888089088167,-1
2025-11-26,1034.4,-1,1028.9116418850822,1011.6,-21.639552356352738,-4.327910471270548,1
2025-11-27,1031.1,1,1029.3493135080657,1031.1,2.188358114917719,0.4376716229835438,1
2025-11-28,1048.2,1,1033.1194508064525,1048.2,18.85068649193431,3.7701372983868624,1
2025-12-01,1039.6,1,1036.135560645162,1048.2,15.08054919354754,3.016109838709508,1
2025-12-02,1022.6,1,1038.5484485161296,1048.2,12.064439354837987,2.4128878709675976,-1
2025-12-03,1012.6,-1,1033.3587588129037,1012.6,-25.948448516129588,-5.189689703225918,-1
2025-12-04,1013.4,-1,1029.207007050323,1012.6,-20.758758812903693,-4.151751762580739,-1
2025-12-05,1017.7,-1,1026.0456056402584,1013.4,-15.807007050323023,-3.1614014100646046,-1
2025-12-08,993.8,-1,1019.5964845122066,993.8,-32.24560564025842,-6.449121128051684,-1
2025-12-09,998.9,-1,1014.4371876097653,993.8,-25.79648451220669,-5.159296902441338,-1
2025-12-10,989.8,-1,1009.5097500878122,989.8,-24.637187609765306,-4.9274375219530615,-1
2025-12-11,1018.8,-1,1005.5678000702497,989.8,-19.709750087812267,-3.9419500175624536,1
2025-12-12,1040.2,1,1012.4942400561998,1040.2,34.6321999297503,6.9264399859500605,1
2025-12-15,1047.6,1,1019.5153920449599,1047.6,35.10575994380008,7.021151988760017,1
2025-12-16,1028.2,1,1025.1323136359679,1047.6,28.084607955040042,5.616921591008008,1
2025-12-17,1020.7,1,1029.6258509087743,1047.6,22.467686364032033,4.493537272806407,-1
2025-12-18,1011.0,-1,1025.9006807270193,1011.0,-18.625850908774282,-3.725170181754857,-1
2025-12-19,1020.9,-1,1022.9205445816154,1011.0,-14.900680727019335,-2.980136145403867,-1
2025-12-22,1020.8,-1,1022.4964356652923,1020.8,-2.1205445816154906,-0.42410891632309816,-1
2025-12-23,1016.9,-1,1021.3771485322338,1016.9,-5.596435665292347,-1.1192871330584695,-1
2025-12-24,1015.0,-1,1020.1017188257871,1015.0,-6.377148532233832,-1.2754297064467666,-1
2025-12-26,1018.1,-1,1019.0813750606296,1015.0,-5.1017188257870885,-1.0203437651574176,-1
2025-12-29,1001.9,-1,1015.6451000485037,1001.9,-17.181375060629648,-3.43627501212593,-1
2025-12-30,1007.1,-1,1012.8960800388029,1001.9,-13.745100048503673,-2.7490200097007347,-1
2025-12-31,1015.1,-1,1011.7368640310423,1007.1,-5.79608003880287,-1.159216007760574,1
2026-01-01,1025.9,1,1014.5694912248339,1025.9,14.163135968957818,2.8326271937915637,1
2026-01-01,1025.9,1,1016.8355929798671,1025.9,11.330508775166209,2.2661017550332416,1
2026-01-01,1025.9,1,1018.6484743838937,1025.9,9.06440702013299,1.812881404026598,1
2026-01-01,1025.9,1,1020.098779507115,1025.9,7.251525616106392,1.4503051232212785,1
2026-01-01,1025.9,1,1021.2590236056919,1025.9,5.801220492885136,1.1602440985770273,1
2026-01-01,1025.9,1,1022.1872188845535,1025.9,4.640976394308154,0.9281952788616309,1
2026-01-01,1025.9,1,1022.9297751076429,1025.9,3.712781115446546,0.7425562230893092,1
2026-01-05,1030.5,1,1024.4438200861143,1030.5,7.570224892357146,1.5140449784714294,1
2026-01-06,1019.4,1,1025.6550560688916,1030.5,6.056179913885671,1.2112359827771344,-1
2026-01-07,1019.2,-1,1024.3640448551132,1019.2,-6.455056068891508,-1.2910112137783019,-1
2026-01-08,988.8,-1,1017.2512358840905,988.8,-35.56404485511325,-7.112808971022651,-1
2026-01-09,946.1,-1,1003.0209887072724,946.1,-71.15123588409051,-14.230247176818104,-1
2026-01-12,942.2,-1,990.8567909658179,942.2,-60.82098870727236,-12.164197741454473,-1
2026-01-13,936.7,-1,980.0254327726543,936.7,-54.15679096581789,-10.83135819316358,-1
2026-01-14,935.3,-1,971.0803462181234,935.3,-44.72543277265436,-8.945086554530873,-1
2026-01-16,930.1,-1,962.8842769744987,930.1,-40.98034621812337,-8.196069243624676,-1
2026-01-19,914.0,-1,953.107421579599,914.0,-48.884276974498675,-9.776855394899735,-1
2026-01-20,883.2,-1,939.1259372636791,883.2,-69.90742157959892,-13.981484315919785,-1
2026-01-21,878.7,-1,927.0407498109433,878.7,-60.42593726367909,-12.085187452735818,-1
2026-01-22,904.3,-1,917.3725998487547,878.7,-48.340749810943294,-9.668149962188659,-1
2026-01-23,772.8,-1,888.4580798790038,772.8,-144.57259984875475,-28.914519969750952,-1
2026-01-27,799.1,-1,865.326463903203,772.8,-115.65807987900382,-23.131615975800766,-1
2026-01-28,822.9,-1,852.0811711225624,799.1,-66.22646390320301,-13.245292780640604,-1
2026-01-29,858.8,-1,846.2449368980499,822.9,-29.181171122562432,-5.836234224512487,1
2026-01-30,852.3,1,847.4559495184399,852.3,6.055063101950054,1.211012620390011,1
