Date,Close_Price,Flg,p,EP,EP-Pt-1,XAF,Rev
2025-07-31,1139.8,1,1139.8,1139.8,0.1,0.1,1
2025-08-01,1079.8,1,1139.8,1139.8,0.0,0.0,-1
2025-08-04,1090.4,-1,1127.8,1079.8,-60.0,-12.0,-1
2025-08-05,1079.3,-1,1118.1,1079.3,-48.5,-9.700000000000001,-1
2025-08-06,1072.3,-1,1108.9399999999998,1072.3,-45.799999999999955,-9.159999999999991,-1
2025-08-07,1069.6,-1,1101.072,1069.6,-39.33999999999992,-7.867999999999984,-1
2025-08-08,1042.1,-1,1089.2776,1042.1,-58.97199999999998,-11.794399999999996,-1
2025-08-11,1052.9,-1,1079.84208,1042.1,-47.177599999999984,-9.435519999999997,-1
2025-08-12,1058.2,-1,1074.453664,1052.9,-26.942079999999805,-5.388415999999961,-1
2025-08-13,1078.2,-1,1071.2029312,1058.2,-16.253663999999844,-3.250732799999969,1
2025-08-14,1083.6,1,1073.68234496,1083.6,12.397068799999943,2.479413759999989,1
2025-08-18,1089.3,1,1076.805875968,1089.3,15.617655040000045,3.1235310080000094,1
2025-08-19,1089.7,1,1079.3847007744,1089.7,12.894124032000036,2.578824806400007,1
2025-08-20,1046.4,1,1081.44776061952,1089.7,10.315299225600029,2.063059845120006,-1
2025-08-21,1041.0,-1,1073.358208495616,1041.0,-40.44776061952007,-8.089552123904014,-1
2025-08-22,1050.4,-1,1066.8865667964928,1041.0,-32.358208495616054,-6.471641699123211,-1
2025-08-25,1067.4,-1,1063.5892534371942,1050.4,-16.486566796492752,-3.297313359298551,1
2025-08-26,1045.6,1,1060.9514027497553,1050.4,-13.189253437194111,-2.6378506874388226,-1
2025-08-28,1026.3,-1,1054.0211221998043,1026.3,-34.651402749755334,-6.930280549951068,-1
2025-08-29,1027.9,-1,1048.4768977598435,1026.3,-27.721122199804313,-5.544224439960863,-1
2025-08-28,1026.3,-1,1044.0415182078748,1026.3,-22.17689775984354,-4.435379551968708,-1
2025-08-29,1027.9,-1,1040.4932145663,1026.3,-17.741518207874833,-3.5483036415749667,-1
