Date,Close_Price,Flg,p,EP,EP-Pt-1,XAF,Rev
2025-07-31,1948.0,1,1948.0,1948.0,0.1,0.1,1
2025-08-01,1916.3,1,1948.0,1948.0,0.0,0.0,-1
2025-08-04,1933.6,-1,1941.66,1916.3,-31.700000000000045,-6.34000000000001,-1
2025-08-05,1939.4,-1,1940.048,1933.6,-8.060000000000173,-1.6120000000000347,-1
2025-08-06,1924.0,-1,1936.8384,1924.0,-16.048000000000002,-3.2096000000000005,-1
2025-08-07,1914.0,-1,1932.27072,1914.0,-22.838400000000092,-4.567680000000019,-1
2025-08-08,1919.2,-1,1928.616576,1914.0,-18.270719999999983,-3.654143999999997,-1
2025-08-11,1922.8,-1,1926.7332608,1919.2,-9.41657599999985,-1.88331519999997,-1
2025-08-12,1908.0,-1,1922.98660864,1908.0,-18.733260799999925,-3.7466521599999854,-1
2025-08-13,1914.4,-1,1919.989286912,1908.0,-14.986608639999986,-2.9973217279999975,-1
2025-08-14,1925.1,-1,1918.8714295296,1914.4,-5.589286911999807,-1.1178573823999614,1
2025-08-18,1993.5,1,1933.7971436236799,1993.5,74.62857047040006,14.925714094080014,1
2025-08-19,1972.2,1,1945.737714898944,1993.5,59.70285637632014,11.940571275264029,1
2025-08-20,1958.5,1,1955.2901719191552,1993.5,47.76228510105602,9.552457020211206,1
2025-08-21,1980.0,1,1962.9321375353243,1993.5,38.20982808084477,7.641965616168955,1
2025-08-22,1965.9,1,1969.0457100282595,1993.5,30.567862464675727,6.113572492935146,-1
2025-08-25,1963.8,-1,1967.9965680226076,1963.8,-5.245710028259509,-1.0491420056519019,-1
2025-08-26,1924.2,-1,1959.237254418086,1924.2,-43.79656802260752,-8.759313604521504,-1
2025-08-28,1917.6,-1,1950.9098035344687,1917.6,-41.63725441808606,-8.327450883617212,-1
2025-08-29,1913.5,-1,1943.427842827575,1913.5,-37.409803534468665,-7.481960706893734,-1
2025-08-28,1917.6,-1,1937.44227426206,1913.5,-29.927842827574977,-5.9855685655149955,-1
2025-08-29,1913.5,-1,1932.653819409648,1913.5,-23.942274262059982,-4.788454852411997,-1
2025-09-10,2038.2,-1,1928.8230555277182,1913.5,-19.153819409647895,-3.8307638819295793,1
2025-11-17,2079.6,1,1958.9784444221746,2079.6,150.77694447228168,30.155388894456337,1
2025-11-17,2079.6,1,1983.1027555377395,2079.6,120.62155557782535,24.12431111556507,1
2025-11-18,2050.2,1,2002.4022044301917,2079.6,96.49724446226037,19.299448892452077,1
2025-11-19,2050.2,1,2017.8417635441533,2079.6,77.19779556980825,15.43955911396165,1
2025-11-20,2095.6,1,2033.3934108353226,2095.6,77.7582364558466,15.55164729116932,1
2025-11-24,2030.8,1,2045.834728668258,2095.6,62.206589164677325,12.441317832935466,-1
2025-11-24,2030.8,-1,2042.8277829346064,2030.8,-15.03472866825814,-3.0069457336516283,-1
2025-11-25,2030.2,-1,2040.302226347685,2030.2,-12.62778293460633,-2.525556586921266,-1
2025-11-26,2085.1,-1,2038.281781078148,2030.2,-10.102226347685018,-2.020445269537004,1
2025-11-27,2103.2,1,2051.2654248625186,2103.2,64.9182189218518,12.983643784370361,1
2025-11-28,2094.0,1,2061.652339890015,2103.2,51.93457513748126,10.386915027496253,1
2025-12-01,2081.8,1,2069.9618719120117,2103.2,41.54766010998492,8.309532021996985,1
2025-12-02,2065.9,1,2076.609497529609,2103.2,33.238128087988116,6.647625617597623,-1
2025-12-03,2046.0,-1,2070.4875980236875,2046.0,-30.609497529609143,-6.121899505921829,-1
2025-12-04,2049.2,-1,2065.59007841895,2046.0,-24.487598023687497,-4.8975196047375,-1
2025-12-05,2096.5,-1,2062.31206273516,2049.2,-16.390078418949997,-3.2780156837899996,1
2025-12-08,2059.2,1,2061.689650188128,2059.2,-3.1120627351601797,-0.622412547032036,-1
2025-12-09,2069.5,-1,2061.191720150502,2059.2,-2.489650188128053,-0.4979300376256106,1
2025-12-10,2065.8,1,2062.113376120402,2065.8,4.608279849498103,0.9216559698996207,1
2025-12-11,2065.8,1,2062.8507008963215,2065.8,3.686623879598301,0.7373247759196602,1
2025-12-12,2083.1,1,2066.900560717057,2083.1,20.249299103678368,4.049859820735674,1
2025-12-15,2070.5,1,2070.1404485736457,2083.1,16.199439282942876,3.2398878565885756,1
2025-12-16,2035.2,1,2072.7323588589165,2083.1,12.95955142635421,2.591910285270842,-1
2025-12-17,2021.2,-1,2062.425887087133,2021.2,-51.532358858916496,-10.3064717717833,-1
2025-12-18,2026.3,-1,2054.1807096697066,2021.2,-41.22588708713306,-8.245177417426612,-1
2025-12-19,2043.8,-1,2048.604567735765,2026.3,-27.880709669706675,-5.576141933941336,-1
2025-12-22,2049.8,-1,2047.6436541886121,2043.8,-4.804567735765204,-0.9609135471530408,1
2025-12-23,2047.6,1,2047.6349233508897,2047.6,-0.0436541886122086,-0.008730837722441721,-1
2025-12-24,2035.7,-1,2045.2479386807117,2035.7,-11.934923350889676,-2.3869846701779354,-1
2025-12-26,2017.6,-1,2039.7183509445695,2017.6,-27.64793868071183,-5.529587736142367,-1
2025-12-29,2012.1,-1,2034.1946807556556,2012.1,-27.618350944569556,-5.523670188913911,-1
2025-12-30,2026.4,-1,2029.7757446045243,2012.1,-22.094680755655645,-4.418936151131129,-1
2025-12-31,2039.9,-1,2029.1005956836195,2026.4,-3.375744604524243,-0.6751489209048487,1
2026-01-01,2037.0,1,2030.6804765468955,2037.0,7.899404316380469,1.579880863276094,1
2026-01-01,2037.0,1,2031.9443812375164,2037.0,6.319523453104466,1.2639046906208933,1
2026-01-01,2037.0,1,2032.9555049900132,2037.0,5.055618762483618,1.0111237524967238,1
2026-01-01,2037.0,1,2033.7644039920106,2037.0,4.044495009986804,0.8088990019973608,1
2026-01-01,2037.0,1,2034.4115231936084,2037.0,3.235596007989443,0.6471192015978886,1
2026-01-01,2037.0,1,2034.9292185548868,2037.0,2.5884768063915544,0.517695361278311,1
2026-01-01,2037.0,1,2035.3433748439095,2037.0,2.070781445113198,0.4141562890226396,1
2026-01-05,2039.2,1,2036.1146998751276,2039.2,3.8566251560905584,0.7713250312181117,1
2026-01-06,2044.6,1,2037.811759900102,2044.6,8.48530012487231,1.697060024974462,1
2026-01-07,2031.9,1,2039.1694079200815,2044.6,6.788240099897848,1.3576480199795697,-1
2026-01-08,2008.9,-1,2033.1155263360652,2008.9,-30.26940792008145,-6.05388158401629,-1
2026-01-09,1992.4,-1,2024.972421068852,1992.4,-40.71552633606507,-8.143105267213015,-1
2026-01-12,1998.9,-1,2018.4579368550817,1992.4,-32.57242106885201,-6.514484213770402,-1
2026-01-13,2011.2,-1,2014.5463494840653,1998.9,-19.557936855081607,-3.9115873710163216,-1
2026-01-14,2000.9,-1,2011.8170795872522,2000.9,-13.64634948406524,-2.729269896813048,-1
2026-01-16,2002.5,-1,2009.6336636698018,2000.9,-10.917079587252147,-2.1834159174504295,-1
2026-01-19,2017.8,-1,2008.2069309358415,2002.5,-7.133663669801763,-1.4267327339603526,1
2026-01-20,1958.7,1,2007.0655447486731,2002.5,-5.706930935841456,-1.141386187168291,-1
2026-01-21,1959.9,-1,1997.3924357989385,1958.7,-48.365544748673074,-9.673108949734615,-1
2026-01-22,1993.1,-1,1989.893948639151,1959.9,-37.49243579893846,-7.498487159787692,1
2026-01-23,1949.0,1,1983.8951589113208,1959.9,-29.993948639150858,-5.998789727830172,-1
2026-01-27,1917.7,-1,1970.6561271290566,1917.7,-66.19515891132073,-13.239031782264147,-1
2026-01-28,1940.3,-1,1960.0649017032454,1917.7,-52.95612712905654,-10.59122542581131,-1
2026-01-29,1948.1,-1,1956.1119213625964,1940.3,-19.764901703245414,-3.952980340649083,-1
2026-01-30,1952.6,-1,1954.5095370900772,1948.1,-8.011921362596468,-1.6023842725192936,-1
2026-02-01,1908.8,-1,1945.3676296720616,1908.8,-45.70953709007722,-9.141907418015444,-1
2026-02-02,1930.1,-1,1938.0541037376493,1908.8,-36.567629672061685,-7.313525934412337,-1
2026-02-03,2012.7,-1,1936.4632829901193,1930.1,-7.954103737649348,-1.5908207475298697,1
2026-02-04,2019.6,1,1953.0906263920954,2019.6,83.13671700988061,16.627343401976123,1
2026-02-05,2000.1,1,1966.3925011136762,2019.6,66.50937360790454,13.301874721580909,1
2026-02-06,2024.2,1,1977.954000890941,2024.2,57.807498886323856,11.561499777264771,1
2026-02-09,2024.6,1,1987.2832007127527,2024.6,46.64599910905895,9.32919982181179,1
2026-02-10,2027.9,1,1995.4065605702021,2027.9,40.61679928724743,8.123359857449486,1
2026-02-11,2027.0,1,2001.9052484561616,2027.9,32.493439429797945,6.49868788595959,1
2026-02-12,2037.1,1,2008.9441987649293,2037.1,35.194751543838265,7.038950308767653,1
2026-02-13,2023.2,1,2014.5753590119434,2037.1,28.155801235070612,5.631160247014122,1
2026-02-16,2050.9,1,2021.8402872095548,2050.9,36.32464098805667,7.264928197611335,1
2026-02-17,2044.4,1,2027.6522297676438,2050.9,29.059712790445246,5.81194255808905,1
2026-02-18,2060.6,1,2034.241783814115,2060.6,32.947770232356106,6.589554046471221,1
2026-02-19,2033.2,1,2039.513427051292,2060.6,26.358216185884885,5.271643237176978,-1
2026-02-23,2051.6,-1,2038.2507416410335,2033.2,-6.31342705129191,-1.2626854102583822,1
2026-02-24,2043.3,1,2039.2605933128268,2043.3,5.049258358966426,1.0098516717932853,1
2026-02-25,2049.3,1,2041.2684746502614,2049.3,10.039406687173368,2.007881337434674,1
2026-02-26,2041.3,1,2042.874779720209,2049.3,8.031525349738786,1.6063050699477572,-1
2026-02-27,1993.4,-1,2032.9798237761672,1993.4,-49.47477972020897,-9.894955944041795,-1
2026-03-02,1941.9,-1,2014.7638590209338,1941.9,-91.07982377616713,-18.215964755233426,-1
2026-03-04,1889.3,-1,1989.671087216747,1889.3,-125.4638590209338,-25.09277180418676,-1
2026-03-05,1911.8,-1,1969.5968697733977,1889.3,-100.37108721674713,-20.074217443349426,-1
2026-03-09,1841.5,-1,1943.9774958187181,1841.5,-128.09686977339766,-25.61937395467953,-1
2026-03-10,1867.8,-1,1923.4819966549744,1841.5,-102.47749581871813,-20.495499163743627,-1
2026-03-11,1795.3,-1,1897.8455973239795,1795.3,-128.18199665497445,-25.63639933099489,-1
2026-03-12,1770.8,-1,1872.4364778591837,1770.8,-127.04559732397956,-25.409119464795914,-1
2026-03-13,1738.0,-1,1845.5491822873469,1738.0,-134.4364778591837,-26.88729557183674,-1
2026-03-16,1773.9,-1,1824.0393458298774,1738.0,-107.54918228734687,-21.509836457469376,-1
2026-03-17,1774.7,-1,1814.011476663902,1773.9,-50.13934582987736,-10.027869165975472,-1
2026-03-18,1791.8,-1,1806.1491813311216,1774.7,-39.311476663901885,-7.862295332780377,-1
2026-03-19,1714.9,-1,1787.8993450648973,1714.9,-91.24918133112146,-18.249836266224293,-1
2026-03-20,1710.3,-1,1772.379476051918,1710.3,-77.5993450648973,-15.519869012979463,-1
2026-03-23,1675.5,-1,1753.0035808415344,1675.5,-96.87947605191789,-19.37589521038358,-1
2026-03-24,1704.4,-1,1737.5028646732276,1675.5,-77.50358084153436,-15.500716168306873,-1
2026-03-25,1746.2,-1,1730.8822917385821,1704.4,-33.10286467322749,-6.620572934645498,1
2026-03-27,1694.7,1,1725.5858333908657,1704.4,-26.482291738582035,-5.296458347716407,-1
2026-03-30,1631.8,-1,1706.8286667126924,1631.8,-93.78583339086572,-18.757166678173146,-1
2026-04-01,1647.0,-1,1691.822933370154,1631.8,-75.02866671269248,-15.005733342538498,-1
2026-04-02,1640.7,-1,1681.5983466961231,1640.7,-51.12293337015399,-10.224586674030798,-1
2026-04-06,1672.3,-1,1673.4186773568986,1640.7,-40.8983466961231,-8.17966933922462,-1
2026-04-07,1684.4,-1,1673.1949418855188,1672.3,-1.1186773568986155,-0.2237354713797231,1
2026-04-08,1784.6,1,1695.475953508415,1784.6,111.40505811448111,22.281011622896223,1
2026-04-09,1767.7,1,1713.3007628067319,1784.6,89.12404649158498,17.824809298316996,1
2026-04-10,1809.2,1,1732.4806102453856,1809.2,95.89923719326816,19.179847438653635,1
2026-04-13,1788.3,1,1747.8244881963085,1809.2,76.71938975461444,15.343877950922888,1
2026-04-15,1825.8,1,1763.4195905570468,1825.8,77.97551180369146,15.595102360738293,1
2026-04-16,1829.9,1,1776.7156724456374,1829.9,66.48040944295326,13.296081888590653,1
2026-04-17,1838.9,1,1789.15253795651,1838.9,62.18432755436265,12.436865510872531,1
2026-04-20,1830.6,1,1799.102030365208,1838.9,49.74746204349003,9.949492408698006,1
2026-04-21,1851.4,1,1809.5616242921665,1851.4,52.297969634792025,10.459593926958405,1
2026-04-22,1842.9,1,1817.9292994337331,1851.4,41.83837570783362,8.367675141566725,1
2026-04-23,1792.6,1,1824.6234395469864,1851.4,33.47070056626694,6.694140113253389,-1
2026-04-24,1770.7,-1,1813.8387516375892,1770.7,-53.9234395469864,-10.784687909397281,-1
2026-04-27,1772.2,-1,1805.2110013100714,1770.7,-43.138751637589166,-8.627750327517834,-1
2026-04-28,1779.0,-1,1798.608801048057,1772.2,-33.01100131007138,-6.602200262014276,-1
2026-04-29,1764.2,-1,1791.7270408384456,1764.2,-34.40880104805706,-6.881760209611412,-1
2026-04-30,1747.2,-1,1782.8216326707566,1747.2,-44.5270408384456,-8.90540816768912,-1
2026-05-04,1770.4,-1,1775.6973061366052,1747.2,-35.621632670756526,-7.124326534151305,-1
2026-05-05,1794.6,-1,1774.6378449092842,1770.4,-5.29730613660513,-1.059461227321026,1
2026-05-06,1836.1,1,1786.9302759274274,1836.1,61.46215509071567,12.292431018143134,1
2026-05-07,1824.5,1,1796.764220741942,1836.1,49.169724072572535,9.833944814514508,1
2026-05-08,1818.3,1,1804.6313765935536,1836.1,39.33577925805798,7.867155851611597,1
2026-05-11,1794.2,1,1810.9251012748427,1836.1,31.46862340644634,6.293724681289269,-1
2026-05-12,1744.8,-1,1797.7000810198742,1744.8,-66.12510127484279,-13.225020254968559,-1
2026-05-13,1728.9,-1,1783.9400648158994,1728.9,-68.80008101987414,-13.760016203974828,-1
2026-05-14,1740.2,-1,1772.9320518527195,1728.9,-55.04006481589931,-11.008012963179864,-1
2026-05-15,1728.1,-1,1763.9656414821757,1728.1,-44.83205185271959,-8.966410370543917,-1
2026-05-18,1753.1,-1,1756.7925131857405,1728.1,-35.86564148217576,-7.173128296435152,-1
2026-05-19,1749.8,-1,1755.3940105485924,1749.8,-6.992513185740563,-1.3985026371481126,-1
2026-05-20,1772.0,-1,1754.275208438874,1749.8,-5.5940105485924505,-1.1188021097184901,1
2026-05-21,1752.2,1,1753.860166751099,1752.2,-2.075208438873915,-0.415041687774783,-1
2026-05-22,1766.0,-1,1753.5281334008794,1752.2,-1.660166751099041,-0.33203335021980823,1
2026-05-25,1807.4,1,1764.3025067207036,1807.4,53.87186659912072,10.774373319824145,1
2026-05-26,1800.7,1,1772.922005376563,1807.4,43.097493279296486,8.619498655859298,1
