Date,Close_Price,Flg,p,EP,EP-Pt-1,XAF,Rev
2025-10-15,4471.0,1,4471.0,4471.0,0.1,0.1,1
2025-10-16,4425.8,1,4471.0,4471.0,0.0,0.0,-1
2025-10-17,4418.5,-1,4460.5,4418.5,-52.5,-10.5,-1
2025-10-20,4343.0,-1,4437.0,4343.0,-117.5,-23.5,-1
2025-10-21,4395.9,-1,4418.2,4343.0,-94.0,-18.8,-1
2025-10-23,4397.0,-1,4413.74,4395.9,-22.300000000000182,-4.460000000000036,-1
2025-10-24,4438.1,-1,4410.392,4397.0,-16.73999999999978,-3.3479999999999563,1
2025-10-27,4420.3,1,4412.3736,4420.3,9.908000000000357,1.9816000000000713,1
2025-10-28,4324.2,1,4413.95888,4420.3,7.926400000000285,1.585280000000057,-1
2025-10-29,4312.5,-1,4393.667104,4312.5,-101.45888000000014,-20.291776000000027,-1
2025-10-30,4435.7,-1,4377.4336832,4312.5,-81.16710400000011,-16.233420800000022,1
2025-10-31,4399.8,1,4381.90694656,4399.8,22.366316800000277,4.473263360000056,1
2025-11-03,2187.0,1,4385.485557248,4399.8,17.893053440000585,3.578610688000117,-1
2025-11-04,2150.4,-1,3938.4684457984,2150.4,-2235.085557248,-447.0171114496,-1
2025-11-06,1986.8,-1,3548.13475663872,1986.8,-1951.6684457984,-390.33368915968003,-1
2025-11-07,2006.7,-1,3235.867805310976,1986.8,-1561.33475663872,-312.266951327744,-1
2025-11-10,2007.7,-1,2990.034244248781,2006.7,-1229.167805310976,-245.83356106219523,-1
2025-11-11,2018.1,-1,2793.5673953990245,2007.7,-982.3342442487808,-196.46684884975616,-1
2025-11-12,2009.2,-1,2636.6939163192196,2009.2,-784.3673953990244,-156.8734790798049,-1
2025-11-13,1985.1,-1,2506.3751330553755,1985.1,-651.5939163192197,-130.31878326384395,-1
2025-11-14,2009.8,-1,2402.1201064443003,1985.1,-521.2751330553756,-104.25502661107512,-1
2025-11-14,2009.8,-1,2323.6560851554405,2009.8,-392.32010644430034,-78.46402128886007,-1
2025-11-14,2009.8,-1,2260.8848681243526,2009.8,-313.8560851554405,-62.7712170310881,-1
2025-11-17,2008.7,-1,2210.447894499482,2008.7,-252.18486812435253,-50.43697362487051,-1
2025-11-17,2008.7,-1,2170.0983155995855,2008.7,-201.74789449948207,-40.349578899896414,-1
2025-11-18,1977.8,-1,2131.6386524796685,1977.8,-192.29831559958552,-38.45966311991711,-1
2025-11-19,1939.1,-1,2093.130921983735,1939.1,-192.5386524796686,-38.50773049593372,-1
2025-11-20,1965.8,-1,2062.324737586988,1939.1,-154.03092198373497,-30.806184396746996,-1
2025-11-24,1823.7,-1,2014.5997900695902,1823.7,-238.62473758698775,-47.72494751739755,-1
2025-11-24,1823.7,-1,1976.4198320556723,1823.7,-190.89979006959015,-38.17995801391803,-1
2025-11-25,1841.3,-1,1945.8758656445377,1823.7,-152.7198320556722,-30.543966411134445,-1
2025-11-26,1875.1,-1,1924.9606925156302,1841.3,-104.57586564453777,-20.915173128907554,-1
2025-11-27,1843.6,-1,1908.688554012504,1843.6,-81.36069251563026,-16.272138503126055,-1
2025-11-28,1828.0,-1,1892.5508432100032,1828.0,-80.68855401250403,-16.137710802500806,-1
2025-12-01,1817.7,-1,1877.5806745680027,1817.7,-74.85084321000318,-14.970168642000637,-1
2025-12-02,1793.0,-1,1860.6645396544022,1793.0,-84.58067456800268,-16.916134913600537,-1
2025-12-03,1774.0,-1,1843.3316317235217,1774.0,-86.66453965440223,-17.33290793088045,-1
2025-12-04,1765.3,-1,1827.7253053788174,1765.3,-78.03163172352174,-15.60632634470435,-1
2025-12-05,1710.3,-1,1804.240244303054,1710.3,-117.42530537881748,-23.485061075763497,-1
2025-12-08,1641.3,-1,1771.6521954424431,1641.3,-162.940244303054,-32.5880488606108,-1
2025-12-09,1683.6,-1,1745.5817563539545,1641.3,-130.3521954424432,-26.07043908848864,-1
2025-12-10,1675.4,-1,1731.5454050831636,1675.4,-70.18175635395437,-14.036351270790874,-1
2025-12-11,1678.4,-1,1720.3163240665308,1675.4,-56.145405083163496,-11.2290810166327,-1
2025-12-12,1690.4,-1,1711.9330592532247,1678.4,-41.916324066530706,-8.383264813306141,-1
2025-12-15,1740.4,-1,1707.6264474025797,1690.4,-21.533059253224565,-4.306611850644913,1
2025-12-16,1706.9,1,1707.4811579220639,1706.9,-0.7264474025796517,-0.14528948051593035,-1
2025-12-17,1684.8,-1,1702.9449263376512,1684.8,-22.681157922063903,-4.536231584412781,-1
2025-12-18,1666.9,-1,1695.735941070121,1666.9,-36.04492633765108,-7.208985267530216,-1
2025-12-19,1721.4,-1,1689.968752856097,1666.9,-28.835941070120953,-5.767188214024191,1
2025-12-22,1795.8,1,1711.1350022848776,1795.8,105.83124714390306,21.166249428780613,1
2025-12-23,1837.0,1,1736.308001827902,1837.0,125.8649977151224,25.17299954302448,1
2025-12-24,1867.9,1,1762.6264014623216,1867.9,131.5919981720981,26.31839963441962,1
2025-12-26,1877.0,1,1785.5011211698572,1877.0,114.37359853767839,22.87471970753568,1
2025-12-29,1859.4,1,1803.8008969358857,1877.0,91.49887883014276,18.299775766028553,1
2025-12-30,1832.6,1,1818.4407175487086,1877.0,73.1991030641143,14.63982061282286,1
2025-12-31,1859.9,1,1830.1525740389668,1877.0,58.55928245129144,11.711856490258288,1
2026-01-01,1847.4,1,1839.5220592311734,1877.0,46.847425961033196,9.36948519220664,1
2026-01-01,1847.4,1,1847.0176473849388,1877.0,37.47794076882656,7.495588153765311,1
2026-01-01,1847.4,1,1853.014117907951,1877.0,29.982352615061245,5.996470523012249,-1
2026-01-01,1847.4,-1,1851.8912943263608,1847.4,-5.614117907950913,-1.1228235815901826,-1
2026-01-01,1847.4,-1,1850.9930354610888,1847.4,-4.49129432636073,-0.8982588652721462,-1
2026-01-01,1847.4,-1,1850.274428368871,1847.4,-3.593035461088675,-0.7186070922177351,-1
2026-01-01,1847.4,-1,1849.6995426950969,1847.4,-2.8744283688708947,-0.574885673774179,-1
2026-01-05,1886.6,-1,1849.2396341560775,1847.4,-2.2995426950967612,-0.45990853901935225,1
2026-01-06,1851.9,1,1849.771707324862,1851.9,2.660365843922591,0.5320731687845183,1
2026-01-07,1860.9,1,1851.9973658598897,1860.9,11.128292675138027,2.2256585350276055,1
2026-01-08,1820.3,1,1853.7778926879118,1860.9,8.902634140110422,1.7805268280220845,-1
2026-01-09,1792.1,-1,1841.4423141503294,1792.1,-61.677892687911935,-12.335578537582387,-1
2026-01-12,1793.7,-1,1831.5738513202634,1792.1,-49.34231415032946,-9.868462830065893,-1
2026-01-13,1770.0,-1,1819.2590810562108,1770.0,-61.57385132026343,-12.314770264052687,-1
2026-01-14,1812.4,-1,1809.4072648449687,1770.0,-49.25908105621079,-9.85181621124216,1
2026-01-16,1789.5,1,1805.425811875975,1789.5,-19.907264844968722,-3.981452968993745,-1
2026-01-19,1771.2,-1,1798.5806495007798,1771.2,-34.22581187597484,-6.845162375194969,-1
2026-01-20,1715.8,-1,1782.0245196006238,1715.8,-82.78064950077987,-16.556129900155977,-1
2026-01-21,1677.3,-1,1761.079615680499,1677.3,-104.72451960062381,-20.944903920124762,-1
2026-01-22,1682.6,-1,1744.3236925443991,1677.3,-83.77961568049909,-16.75592313609982,-1
2026-01-23,1645.4,-1,1724.5389540355193,1645.4,-98.92369254439905,-19.784738508879812,-1
2026-01-27,1652.7,-1,1708.7111632284154,1645.4,-79.13895403551919,-15.827790807103838,-1
2026-01-28,1819.1,-1,1697.5089305827323,1652.7,-56.0111632284154,-11.20223264568308,1
2026-01-29,1778.8,1,1713.7671444661858,1778.8,81.29106941726764,16.25821388345353,1
2026-01-30,1794.9,1,1729.9937155729485,1794.9,81.13285553381434,16.22657110676287,1
2026-02-01,1687.6,1,1742.974972458359,1794.9,64.90628442705156,12.981256885410312,-1
2026-02-02,1736.4,-1,1731.8999779666872,1687.6,-55.374972458359025,-11.074994491671806,1
2026-02-03,1739.8,1,1733.4799823733497,1739.8,7.90002203331278,1.580004406662556,1
2026-02-04,1764.4,1,1739.6639858986798,1764.4,30.920017626650406,6.184003525330081,1
2026-02-05,1746.2,1,1744.6111887189438,1764.4,24.73601410132028,4.9472028202640566,1
