Date,Close_Price,Flg,p,EP,EP-Pt-1,XAF,Rev
2025-07-31,1169.1,1,1169.1,1169.1,0.1,0.1,1
2025-08-01,1146.1,1,1169.1,1169.1,0.0,0.0,-1
2025-08-04,1177.4,-1,1164.5,1146.1,-23.0,-4.6000000000000005,1
2025-08-05,1160.5,1,1163.7,1160.5,-4.0,-0.8,-1
2025-08-06,1139.4,-1,1158.8400000000001,1139.4,-24.299999999999955,-4.859999999999991,-1
2025-08-07,1161.6,-1,1154.9520000000002,1139.4,-19.440000000000055,-3.888000000000011,1
2025-08-08,1135.2,1,1151.8416000000002,1139.4,-15.552000000000135,-3.110400000000027,-1
2025-08-11,1165.9,-1,1148.5132800000001,1135.2,-16.641600000000153,-3.328320000000031,1
2025-08-12,1152.4,1,1149.2906240000002,1152.4,3.8867199999999684,0.7773439999999937,1
2025-08-13,1181.5,1,1155.7324992000001,1181.5,32.20937599999979,6.441875199999959,1
2025-08-14,1180.5,1,1160.8859993600001,1181.5,25.76750079999988,5.153500159999976,1
2025-08-18,1184.5,1,1165.6087994880002,1184.5,23.61400063999986,4.722800127999972,1
2025-08-19,1188.5,1,1170.1870395904002,1188.5,22.89120051199984,4.578240102399969,1
2025-08-20,1158.9,1,1173.8496316723201,1188.5,18.312960409599782,3.6625920819199567,-1
2025-08-21,1154.1,-1,1169.8997053378562,1154.1,-19.74963167232022,-3.949926334464044,-1
2025-08-22,1123.0,-1,1160.519764270285,1123.0,-46.899705337856176,-9.379941067571236,-1
2025-08-25,1139.4,-1,1153.015811416228,1123.0,-37.519764270284895,-7.50395285405698,-1
2025-08-26,1122.3,-1,1146.8726491329824,1122.3,-30.715811416228007,-6.143162283245601,-1
2025-08-28,1124.6,-1,1141.958119306386,1122.3,-24.572649132982406,-4.914529826596482,-1
2025-08-29,1106.7,-1,1134.9064954451087,1106.7,-35.25811930638588,-7.051623861277176,-1
2025-08-28,1124.6,-1,1129.265196356087,1106.7,-28.206495445108658,-5.641299089021732,-1
2025-08-29,1106.7,-1,1124.7521570848696,1106.7,-22.56519635608697,-4.513039271217394,-1
2025-09-10,1199.9,-1,1121.1417256678958,1106.7,-18.052157084869577,-3.6104314169739156,1
2025-11-17,1383.7,1,1173.6533805343167,1383.7,262.55827433210425,52.511654866420855,1
2025-11-17,1383.7,1,1215.6627044274535,1383.7,210.0466194656833,42.00932389313667,1
2025-11-18,1396.6,1,1251.8501635419627,1396.6,180.93729557254642,36.18745911450929,1
2025-11-19,1446.2,1,1290.7201308335702,1446.2,194.34983645803732,38.869967291607466,1
2025-11-20,1435.4,1,1321.8161046668563,1446.2,155.4798691664298,31.095973833285964,1
2025-11-24,1412.2,1,1346.6928837334851,1446.2,124.38389533314376,24.876779066628753,1
2025-11-24,1412.2,1,1366.594306986788,1446.2,99.50711626651491,19.901423253302983,1
2025-11-25,1409.7,1,1382.5154455894306,1446.2,79.60569301321198,15.921138602642396,1
2025-11-26,1431.3,1,1395.2523564715445,1446.2,63.68455441056949,12.736910882113898,1
2025-11-27,1433.4,1,1405.4418851772357,1446.2,50.9476435284555,10.189528705691101,1
2025-11-28,1433.8,1,1413.5935081417886,1446.2,40.758114822764355,8.151622964552871,1
2025-12-01,1433.0,1,1420.114806513431,1446.2,32.606491858211484,6.521298371642297,1
2025-12-02,1421.4,1,1425.3318452107449,1446.2,26.085193486569096,5.21703869731382,-1
2025-12-03,1406.7,-1,1421.605476168596,1406.7,-18.631845210744814,-3.726369042148963,-1
2025-12-04,1394.3,-1,1416.1443809348768,1394.3,-27.305476168595987,-5.461095233719198,-1
2025-12-05,1406.0,-1,1411.7755047479016,1394.3,-21.84438093487688,-4.368876186975377,-1
2025-12-08,1373.6,-1,1404.1404037983211,1373.6,-38.17550474790164,-7.635100949580329,-1
2025-12-09,1383.3,-1,1398.0323230386568,1373.6,-30.540403798321222,-6.108080759664245,-1
2025-12-10,1383.8,-1,1395.0858584309256,1383.3,-14.732323038656887,-2.9464646077313774,-1
2025-12-11,1407.4,-1,1392.8286867447405,1383.8,-11.2858584309256,-2.2571716861851203,1
2025-12-12,1426.6,1,1399.5829493957924,1426.6,33.77131325525943,6.754262651051886,1
2025-12-15,1414.1,1,1404.986359516634,1426.6,27.017050604207498,5.4034101208414995,1
2025-12-16,1417.4,1,1409.3090876133072,1426.6,21.613640483365998,4.3227280966732,1
2025-12-17,1413.3,1,1412.7672700906458,1426.6,17.290912386692753,3.4581824773385508,1
2025-12-18,1407.5,1,1415.5338160725166,1426.6,13.832729909354157,2.7665459818708316,-1
2025-12-19,1439.9,-1,1413.9270528580132,1407.5,-8.033816072516629,-1.606763214503326,1
2025-12-22,1456.2,1,1422.3816422864106,1456.2,42.27294714198683,8.454589428397368,1
2025-12-23,1460.2,1,1429.9453138291285,1460.2,37.81835771358942,7.563671542717884,1
2025-12-24,1450.5,1,1435.996251063303,1460.2,30.254686170871537,6.050937234174308,1
2025-12-26,1443.8,1,1440.8370008506424,1460.2,24.20374893669714,4.840749787339428,1
2025-12-29,1445.7,1,1444.7096006805139,1460.2,19.36299914935762,3.872599829871524,1
2025-12-30,1454.6,1,1447.8076805444111,1460.2,15.490399319486187,3.0980798638972376,1
2025-12-31,1470.4,1,1452.326144435529,1470.4,22.59231945558895,4.51846389111779,1
2026-01-01,1464.4,1,1455.9409155484232,1470.4,18.07385556447116,3.614771112894232,1
2026-01-01,1464.4,1,1458.8327324387385,1470.4,14.459084451576928,2.891816890315386,1
2026-01-01,1464.4,1,1461.146185950991,1470.4,11.567267561261588,2.3134535122523174,1
2026-01-01,1464.4,1,1462.9969487607927,1470.4,9.25381404900918,1.8507628098018358,1
2026-01-01,1464.4,1,1464.4775590086342,1470.4,7.403051239207343,1.4806102478414687,-1
2026-01-01,1464.4,-1,1464.4620472069073,1464.4,-0.07755900863412535,-0.015511801726825071,-1
2026-01-01,1464.4,-1,1464.449637765526,1464.4,-0.06204720690720933,-0.012409441381441866,-1
2026-01-05,1482.3,-1,1464.4397102124208,1464.4,-0.04963776552585841,-0.009927553105171683,1
2026-01-06,1474.7,1,1466.4917681699367,1474.7,10.260289787579268,2.0520579575158537,1
2026-01-07,1483.4,1,1469.8734145359495,1483.4,16.908231830063414,3.381646366012683,1
2026-01-08,1454.1,1,1472.5787316287597,1483.4,13.52658546405064,2.7053170928101284,-1
2026-01-09,1444.5,-1,1466.9629853030078,1444.5,-28.07873162875967,-5.615746325751934,-1
2026-01-12,1456.6,-1,1462.4703882424062,1444.5,-22.462985303007827,-4.4925970606015655,-1
2026-01-13,1460.3,-1,1461.296310593925,1456.6,-5.870388242406307,-1.1740776484812614,-1
2026-01-14,1447.2,-1,1458.47704847514,1447.2,-14.096310593924954,-2.819262118784991,-1
2026-01-16,1457.4,-1,1456.221638780112,1447.2,-11.277048475139964,-2.2554096950279927,1
2026-01-19,1415.1,1,1454.4173110240897,1447.2,-9.02163878011197,-1.8043277560223943,-1
2026-01-20,1394.1,-1,1442.3538488192717,1394.1,-60.317311024089804,-12.063462204817961,-1
2026-01-21,1380.0,-1,1429.8830790554173,1380.0,-62.35384881927166,-12.470769763854333,-1
2026-01-22,1431.5,-1,1419.9064632443337,1380.0,-49.883079055417284,-9.976615811083457,1
2026-01-23,1408.8,1,1417.685170595467,1408.8,-11.106463244333781,-2.2212926488667564,-1
2026-01-27,1418.5,-1,1415.9081364763736,1408.8,-8.885170595467116,-1.7770341190934233,1
2026-01-28,1459.1,1,1424.5465091810988,1459.1,43.19186352362635,8.63837270472527,1
2026-01-29,1437.9,1,1431.457207344879,1459.1,34.55349081890108,6.910698163780217,1
