Date,Close_Price,Flg,p,EP,EP-Pt-1,XAF,Rev
2025-07-31,238.45,1,238.45,238.45,0.1,0.1,1
2025-08-01,231.6,1,238.45,238.45,0.0,0.0,-1
2025-08-04,241.43,-1,237.07999999999998,231.6,-6.849999999999994,-1.369999999999999,1
2025-08-05,248.25,1,239.314,248.25,11.170000000000016,2.234000000000003,1
2025-08-06,239.83,1,241.1012,248.25,8.936000000000007,1.7872000000000015,-1
2025-08-07,227.97,-1,238.47496,227.97,-13.131200000000007,-2.6262400000000015,-1
2025-08-08,222.71,-1,235.321968,222.71,-15.764960000000002,-3.1529920000000007,-1
2025-08-11,221.46,-1,232.5495744,221.46,-13.86196799999999,-2.7723935999999982,-1
2025-08-12,222.87,-1,230.33165952000002,221.46,-11.089574400000004,-2.217914880000001,-1
2025-08-13,223.99,-1,228.83932761600002,222.87,-7.461659520000012,-1.4923319040000025,-1
2025-08-14,221.33,-1,227.33746209280002,221.33,-7.509327616000007,-1.5018655232000016,-1
2025-08-18,216.62,-1,225.19396967424,216.62,-10.71746209280002,-2.143492418560004,-1
2025-08-19,219.7,-1,223.47917573939202,216.62,-8.573969674240004,-1.714793934848001,-1
2025-08-20,220.67,-1,222.72334059151362,219.7,-3.7791757393920307,-0.7558351478784062,-1
2025-08-21,218.48,-1,221.8746724732109,218.48,-4.243340591513629,-0.8486681183027258,-1
2025-08-22,218.59,-1,221.1957379785687,218.48,-3.3946724732109033,-0.6789344946421807,-1
2025-08-25,216.51,-1,220.25859038285495,216.51,-4.68573797856871,-0.9371475957137421,-1
2025-08-26,211.5,-1,218.50687230628395,211.5,-8.758590382854948,-1.7517180765709897,-1
2025-08-28,208.51,-1,216.50749784502716,208.51,-9.996872306283962,-1.9993744612567923,-1
2025-08-29,208.01,-1,214.80799827602172,208.01,-8.49749784502717,-1.699499569005434,-1
2025-08-28,208.51,-1,213.4483986208174,208.01,-6.79799827602173,-1.3595996552043461,-1
2025-08-29,208.01,-1,212.3607188966539,208.01,-5.438398620817395,-1.087679724163479,-1
2025-09-10,220.03,-1,211.49057511732312,208.01,-4.350718896653916,-0.8701437793307832,1
2025-11-17,285.5,1,226.2924600938585,285.5,74.00942488267688,14.801884976535376,1
2025-11-17,285.5,1,238.13396807508678,285.5,59.207539906141506,11.841507981228302,1
2025-11-18,289.1,1,248.32717446006944,289.1,50.96603192491324,10.193206384982648,1
2025-11-19,289.2,1,256.50173956805554,289.2,40.872825539930545,8.17456510798611,1
2025-11-20,285.25,1,263.04139165444445,289.2,32.69826043194445,6.53965208638889,1
2025-11-24,277.9,1,268.27311332355555,289.2,26.158608345555535,5.231721669111107,1
2025-11-24,277.9,1,272.4584906588444,289.2,20.92688667644444,4.185377335288888,1
2025-11-25,282.9,1,275.8067925270755,289.2,16.741509341155563,3.348301868231113,1
2025-11-26,289.7,1,278.58543402166043,289.7,13.893207472924473,2.7786414945848947,1
2025-11-27,290.85,1,281.03834721732835,290.85,12.26456597833959,2.452913195667918,1
2025-11-28,290.85,1,283.00067777386266,290.85,9.811652782671672,1.9623305565343345,1
2025-12-01,291.0,1,284.60054221909013,291.0,7.999322226137338,1.5998644452274675,1
2025-12-02,285.5,1,285.8804337752721,291.0,6.39945778090987,1.2798915561819741,-1
2025-12-03,278.55,-1,284.4143470202177,278.55,-7.33043377527207,-1.466086755054414,-1
2025-12-04,275.75,-1,282.68147761617416,275.75,-8.66434702021769,-1.7328694040435382,-1
2025-12-05,277.75,-1,281.29518209293934,275.75,-6.931477616174163,-1.3862955232348328,-1
