Date,Close_Price,Flg,p,EP,EP-Pt-1,XAF,Rev
2025-07-31,391.4,1,391.4,391.4,0.1,0.1,1
2025-08-01,383.1,1,391.4,391.4,0.0,0.0,-1
2025-08-04,382.4,-1,389.59999999999997,382.4,-9.0,-1.8,-1
2025-08-05,372.35,-1,386.15,372.35,-17.249999999999943,-3.4499999999999886,-1
2025-08-06,360.4,-1,381.0,360.4,-25.75,-5.15,-1
2025-08-07,364.2,-1,376.88,360.4,-20.600000000000023,-4.1200000000000045,-1
2025-08-08,343.35,-1,370.174,343.35,-33.52999999999997,-6.705999999999995,-1
2025-08-11,342.1,-1,364.5592,342.1,-28.073999999999955,-5.614799999999992,-1
2025-08-12,354.9,-1,360.06736,342.1,-22.459199999999953,-4.491839999999991,-1
2025-08-13,360.25,-1,359.033888,354.9,-5.167360000000031,-1.0334720000000062,1
2025-08-14,359.25,1,359.0771104,359.25,0.21611200000000963,0.04322240000000193,1
2025-08-18,364.3,1,360.12168832,364.3,5.22288960000003,1.044577920000006,1
2025-08-19,363.85,1,360.95735065599996,364.3,4.178311680000036,0.8356623360000072,1
2025-08-20,359.45,1,361.6258805248,364.3,3.3426493440000513,0.6685298688000103,-1
2025-08-21,357.75,-1,360.85070441984,357.75,-3.8758805247999817,-0.7751761049599963,-1
2025-08-22,359.5,-1,360.23056353587197,357.75,-3.1007044198399853,-0.6201408839679972,-1
2025-08-25,359.95,-1,360.0844508286976,359.5,-0.7305635358719655,-0.14611270717439312,-1
2025-08-26,358.3,-1,359.72756066295807,358.3,-1.7844508286975724,-0.3568901657395145,-1
2025-08-28,353.25,-1,358.43204853036644,353.25,-6.477560662958069,-1.295512132591614,-1
2025-08-29,348.35,-1,356.4156388242932,348.35,-10.082048530366421,-2.016409706073284,-1
2025-08-28,353.25,-1,354.80251105943455,348.35,-8.06563882429316,-1.613127764858632,-1
2025-08-29,348.35,-1,353.51200884754763,348.35,-6.452511059434528,-1.2905022118869056,-1
2025-09-10,364.2,-1,352.4796070780381,348.35,-5.162008847547611,-1.0324017695095222,1
2025-11-17,420.95,1,366.1736856624305,420.95,68.47039292196189,13.69407858439238,1
2025-11-17,420.95,1,377.1289485299444,420.95,54.77631433756949,10.955262867513898,1
2025-11-18,421.6,1,386.02315882395555,421.6,44.47105147005561,8.894210294011122,1
2025-11-19,410.1,1,393.13852705916446,421.6,35.57684117604447,7.115368235208894,1
