Date,Close_Price,Flg,p,EP,EP-Pt-1,XAF,Rev
2025-10-15,203.9,1,203.9,203.9,0.1,0.1,1
2025-10-16,199.91,1,203.9,203.9,0.0,0.0,-1
2025-10-17,198.96,-1,202.912,198.96,-4.939999999999998,-0.9879999999999995,-1
2025-10-20,200.06,-1,202.1216,198.96,-3.951999999999998,-0.7903999999999997,-1
2025-10-21,200.46,-1,201.70928,200.06,-2.0615999999999985,-0.41231999999999974,-1
2025-10-23,200.3,-1,201.427424,200.3,-1.4092799999999954,-0.2818559999999991,-1
2025-10-24,199.49,-1,201.0399392,199.49,-1.937423999999993,-0.38748479999999863,-1
2025-10-27,197.69,-1,200.36995136,197.69,-3.3499391999999943,-0.6699878399999989,-1
2025-10-28,198.07,-1,199.833961088,197.69,-2.67995135999999,-0.5359902719999979,-1
2025-10-29,197.9,-1,199.4471688704,197.9,-1.9339610879999896,-0.38679221759999793,-1
2025-10-30,196.23,-1,198.80373509632,196.23,-3.217168870400002,-0.6434337740800005,-1
2025-10-31,195.01,-1,198.044988077056,195.01,-3.793735096320006,-0.7587470192640012,-1
2025-11-03,196.21,-1,197.4379904616448,195.01,-3.034988077055999,-0.6069976154111999,-1
2025-11-04,193.71,-1,196.69239236931585,193.71,-3.7279904616447936,-0.7455980923289588,-1
2025-11-06,190.36,-1,195.42591389545268,190.36,-6.332392369315841,-1.2664784738631683,-1
2025-11-07,191.1,-1,194.41273111636215,190.36,-5.065913895452667,-1.0131827790905334,-1
2025-11-10,191.12,-1,193.7501848930897,191.1,-3.3127311163621584,-0.6625462232724317,-1
2025-11-11,191.57,-1,193.22414791447176,191.12,-2.630184893089705,-0.5260369786179411,-1
2025-11-12,190.21,-1,192.6213183315774,190.21,-3.0141479144717493,-0.60282958289435,-1
2025-11-13,192.25,-1,192.13905466526194,190.21,-2.411318331577405,-0.48226366631548107,1
2025-11-14,192.5,1,192.21124373220954,192.5,0.36094533473806223,0.07218906694761244,1
2025-11-14,192.5,1,192.26899498576762,192.5,0.28875626779046115,0.057751253558092235,1
2025-11-14,192.5,1,192.3151959886141,192.5,0.2310050142323803,0.04620100284647606,1
2025-11-17,193.47,1,192.54615679089127,193.47,1.1548040113858917,0.23096080227717836,1
2025-11-17,193.47,1,192.730925432713,193.47,0.9238432091087247,0.18476864182174496,1
2025-11-18,191.23,1,192.87874034617042,193.47,0.7390745672869912,0.14781491345739825,-1
2025-11-19,190.87,-1,192.47699227693633,190.87,-2.0087403461704127,-0.40174806923408257,-1
2025-11-20,190.68,-1,192.11759382154906,190.68,-1.7969922769363222,-0.35939845538726445,-1
2025-11-24,194.01,-1,191.83007505723924,190.68,-1.4375938215490578,-0.28751876430981155,1
2025-11-24,194.01,1,192.2660600457914,194.01,2.179924942760749,0.43598498855214984,1
2025-11-25,191.64,1,192.6148480366331,194.01,1.7439399542085994,0.3487879908417199,-1
2025-11-26,192.0,-1,192.4198784293065,191.64,-0.9748480366331194,-0.19496960732662388,-1
2025-11-27,191.27,-1,192.1899027434452,191.27,-1.149878429306483,-0.2299756858612966,-1
2025-11-28,192.25,-1,192.00592219475615,191.27,-0.9199027434451921,-0.18398054868903843,1
2025-12-01,191.13,1,191.85873775580492,191.27,-0.7359221947561423,-0.14718443895122846,-1
2025-12-02,191.5,-1,191.71299020464394,191.13,-0.7287377558049286,-0.14574755116098573,-1
2025-12-03,192.0,-1,191.67039216371515,191.5,-0.21299020464394403,-0.042598040928788806,1
2025-12-04,191.28,1,191.63631373097212,191.5,-0.17039216371514954,-0.03407843274302991,-1
2025-12-05,191.23,-1,191.5550509847777,191.23,-0.40631373097212986,-0.08126274619442597,-1
2025-12-08,189.1,-1,191.06404078782217,189.1,-2.4550509847776993,-0.4910101969555399,-1
2025-12-09,188.71,-1,190.59323263025775,188.71,-2.354040787822157,-0.47080815756443145,-1
2025-12-10,186.63,-1,189.8005861042062,186.63,-3.9632326302577496,-0.79264652605155,-1
2025-12-11,183.86,-1,188.61246888336495,183.86,-5.940586104206176,-1.1881172208412352,-1
2025-12-12,183.98,-1,187.66197510669195,183.86,-4.752468883364941,-0.9504937766729882,-1
2025-12-15,183.63,-1,186.85558008535355,183.63,-4.031975106691959,-0.8063950213383919,-1
2025-12-16,182.66,-1,186.01646406828283,182.66,-4.195580085353555,-0.839116017070711,-1
2025-12-17,182.86,-1,185.34517125462625,182.66,-3.3564640682828326,-0.6712928136565666,-1
2025-12-18,183.34,-1,184.848137003701,182.86,-2.4851712546262377,-0.49703425092524756,-1
2025-12-19,182.82,-1,184.4425096029608,182.82,-2.028137003701005,-0.405627400740201,-1
2025-12-22,183.94,-1,184.11800768236864,182.82,-1.622509602960804,-0.3245019205921608,-1
2025-12-23,185.93,-1,184.0824061458949,183.94,-0.17800768236864428,-0.03560153647372886,1
2025-12-24,189.39,1,185.14392491671592,189.39,5.307593854105079,1.0615187708210159,1
2025-12-26,193.48,1,186.81113993337274,193.48,8.336075083284072,1.6672150166568145,1
2025-12-29,190.18,1,188.1449119466982,193.48,6.668860066627246,1.3337720133254494,1
2025-12-30,188.65,1,189.21192955735856,193.48,5.335088053301803,1.0670176106603606,-1
2025-12-31,192.55,-1,189.09954364588685,188.65,-0.5619295573585532,-0.11238591147171065,1
2026-01-01,190.79,1,189.43763491670947,190.79,1.690456354113138,0.33809127082262763,1
2026-01-01,190.79,1,189.7081079333676,190.79,1.3523650832905219,0.27047301665810436,1
2026-01-01,190.79,1,189.92448634669407,190.79,1.0818920666324061,0.21637841332648122,1
2026-01-01,190.79,1,190.09758907735525,190.79,0.8655136533059249,0.17310273066118498,1
2026-01-01,190.79,1,190.2360712618842,190.79,0.6924109226447399,0.13848218452894798,1
2026-01-01,190.79,1,190.34685700950737,190.79,0.5539287381157862,0.11078574762315725,1
2026-01-01,190.79,1,190.4354856076059,190.79,0.4431429904926176,0.08862859809852353,1
2026-01-05,191.64,1,190.6763884860847,191.64,1.2045143923940884,0.2409028784788177,1
2026-01-06,190.39,1,190.86911078886777,191.64,0.9636115139152821,0.19272230278305644,-1
2026-01-07,190.12,-1,190.71928863109423,190.12,-0.7491107888677675,-0.1498221577735535,-1
2026-01-08,188.72,-1,190.3194309048754,188.72,-1.999288631094231,-0.39985772621884624,-1
2026-01-09,188.65,-1,189.98554472390032,188.65,-1.6694309048753837,-0.3338861809750768,-1
2026-01-12,187.17,-1,189.42243577912026,187.17,-2.815544723900331,-0.5631089447800662,-1
2026-01-13,187.47,-1,188.9719486232962,187.17,-2.252435779120276,-0.45048715582405524,-1
2026-01-14,187.57,-1,188.67155889863696,187.47,-1.5019486232962151,-0.3003897246592431,-1
2026-01-16,185.28,-1,187.99324711890958,185.28,-3.3915588986369585,-0.6783117797273918,-1
2026-01-19,183.76,-1,187.14659769512767,183.76,-4.233247118909588,-0.8466494237819178,-1
2026-01-20,182.75,-1,186.26727815610212,182.75,-4.396597695127667,-0.8793195390255335,-1
2026-01-21,185.8,-1,185.5638225248817,182.75,-3.5172781561021225,-0.7034556312204245,1
2026-01-22,186.04,1,185.65905801990536,186.04,0.47617747511830544,0.09523549502366109,1
2026-01-23,183.68,1,185.73524641592428,186.04,0.380941980094633,0.0761883960189266,-1
2026-01-27,183.38,-1,185.2641971327394,183.38,-2.3552464159242845,-0.47104928318485695,-1
2026-01-28,185.3,-1,184.88735770619152,183.38,-1.8841971327394162,-0.37683942654788327,1
2026-01-29,184.57,1,184.82388616495322,184.57,-0.3173577061915296,-0.06347154123830592,-1
2026-01-30,184.15,-1,184.68910893196258,184.15,-0.6738861649532168,-0.13477723299064337,-1
2026-02-01,182.81,-1,184.31328714557006,182.81,-1.879108931962577,-0.3758217863925154,-1
2026-02-02,185.11,-1,184.01262971645605,182.81,-1.5032871455700558,-0.30065742911401117,1
2026-02-03,184.8,1,184.17010377316484,184.8,0.7873702835439644,0.1574740567087929,1
2026-02-04,187.39,1,184.81408301853187,187.39,3.2198962268351465,0.6439792453670293,1
2026-02-05,185.61,1,185.3292664148255,187.39,2.5759169814681115,0.5151833962936223,1
2026-02-06,185.23,1,185.74141313186038,187.39,2.0607335851744892,0.41214671703489786,-1
2026-02-09,189.05,-1,185.6391305054883,185.23,-0.5114131318603938,-0.10228262637207877,1
2026-02-10,187.83,1,186.07730440439065,187.83,2.190869494511702,0.43817389890234043,1
2026-02-11,186.88,1,186.4278435235125,187.83,1.7526955956093673,0.35053911912187347,1
2026-02-12,186.71,1,186.70827481881,187.83,1.4021564764875052,0.28043129529750105,1
2026-02-13,185.2,1,186.932619855048,187.83,1.1217251811900155,0.22434503623800311,-1
2026-02-16,186.29,-1,186.5860958840384,185.2,-1.732619855048,-0.34652397100960003,-1
2026-02-17,187.72,-1,186.5268767072307,186.29,-0.29609588403840803,-0.05921917680768161,1
2026-02-18,188.24,1,186.86950136578457,188.24,1.7131232927692963,0.34262465855385926,1
2026-02-19,187.65,1,187.14360109262765,188.24,1.370498634215437,0.2740997268430874,1
2026-02-23,187.3,1,187.36288087410213,188.24,1.096398907372361,0.21927978147447222,-1
2026-02-24,186.94,-1,187.2783046992817,186.94,-0.42288087410213393,-0.08457617482042679,-1
2026-02-25,186.83,-1,187.18864375942536,186.83,-0.44830469928169236,-0.08966093985633848,-1
2026-02-26,187.65,-1,187.11691500754029,186.83,-0.3586437594253482,-0.07172875188506965,1
2026-02-27,186.91,1,187.07553200603223,186.91,-0.2069150075402888,-0.041383001508057765,-1
2026-03-02,185.82,-1,186.8244256048258,185.82,-1.2555320060322401,-0.25110640120644806,-1
2026-03-04,185.17,-1,186.49354048386064,185.17,-1.6544256048258035,-0.3308851209651607,-1
2026-03-05,186.48,-1,186.22883238708852,185.17,-1.3235404838606541,-0.26470809677213086,1
2026-03-09,185.46,1,186.07506590967083,185.46,-0.7688323870885085,-0.15376647741770172,-1
2026-03-10,185.96,-1,185.95205272773666,185.46,-0.6150659096708182,-0.12301318193416365,1
2026-03-11,185.79,1,185.91964218218934,185.79,-0.1620527277366648,-0.03241054554733296,-1
2026-03-12,185.59,-1,185.85371374575146,185.59,-0.32964218218933183,-0.06592843643786638,-1
2026-03-13,186.22,-1,185.80097099660117,185.59,-0.2637137457514598,-0.05274274915029196,1
2026-03-16,186.34,1,185.90877679728092,186.34,0.5390290033988379,0.10780580067976758,1
2026-03-17,186.48,1,186.02302143782472,186.48,0.571223202719068,0.11424464054381361,1
2026-03-18,187.21,1,186.26041715025977,187.21,1.186978562175284,0.2373957124350568,1
2026-03-19,186.75,1,186.45033372020782,187.21,0.9495828497402385,0.18991656994804773,1
2026-03-20,187.34,1,186.62826697616626,187.34,0.8896662797921806,0.17793325595843612,1
2026-03-23,177.29,1,186.770613580933,187.34,0.7117330238337445,0.1423466047667489,-1
2026-03-24,173.78,-1,184.1724908647464,173.78,-12.990613580933001,-2.5981227161866003,-1
2026-03-25,178.04,-1,182.09399269179713,173.78,-10.392490864746406,-2.0784981729492813,-1
2026-03-27,175.08,-1,180.6911941534377,175.08,-7.013992691797114,-1.4027985383594228,-1
2026-03-30,173.52,-1,179.25695532275014,173.52,-7.171194153437682,-1.4342388306875364,-1
2026-04-01,176.32,-1,178.10956425820012,173.52,-5.736955322750134,-1.147391064550027,-1
2026-04-02,177.92,-1,177.7516514065601,176.32,-1.78956425820013,-0.35791285164002606,1
2026-04-06,179.14,1,178.02932112524806,179.14,1.3883485934399005,0.2776697186879801,1
2026-04-07,178.45,1,178.25145690019843,179.14,1.110678874751926,0.22213577495038522,1
2026-04-08,179.25,1,178.45116552015875,179.25,0.9985430998015659,0.1997086199603132,1
2026-04-09,179.42,1,178.644932416127,179.42,0.9688344798412345,0.19376689596824692,1
2026-04-10,179.42,1,178.7999459329016,179.42,0.7750675838729819,0.1550135167745964,1
2026-04-13,178.57,1,178.9239567463213,179.42,0.6200540670983798,0.12401081341967597,-1
2026-04-15,180.01,-1,178.85316539705704,178.57,-0.3539567463213018,-0.07079134926426037,1
2026-04-16,180.58,1,179.19853231764563,180.58,1.7268346029429722,0.3453669205885945,1
2026-04-17,182.27,1,179.8128258541165,182.27,3.071467682354381,0.6142935364708763,1
2026-04-20,182.17,1,180.30426068329322,182.27,2.4571741458834992,0.4914348291766999,1
2026-04-21,182.4,1,180.72340854663457,182.4,2.0957393167067835,0.41914786334135673,1
2026-04-22,183.34,1,181.24672683730765,183.34,2.61659145336543,0.5233182906730861,1
2026-04-23,183.85,1,181.76738146984613,183.85,2.6032731626923464,0.5206546325384693,1
2026-04-24,182.79,1,182.1839051758769,183.85,2.0826185301538658,0.41652370603077316,1
2026-04-27,184.51,1,182.64912414070153,184.51,2.326094824123089,0.4652189648246179,1
2026-04-28,183.81,1,183.0212993125612,184.51,1.86087585929846,0.372175171859692,1
2026-04-29,184.64,1,183.34503945004897,184.64,1.6187006874387748,0.323740137487755,1
2026-04-30,184.82,1,183.64003156003918,184.82,1.474960549951021,0.2949921099902042,1
2026-05-04,185.79,1,184.07002524803133,185.79,2.1499684399608157,0.42999368799216314,1
2026-05-05,184.76,1,184.41402019842505,185.79,1.719974751968664,0.3439949503937328,1
2026-05-06,186.05,1,184.74121615874003,186.05,1.6359798015749618,0.3271959603149924,1
2026-05-07,185.52,1,185.00297292699202,186.05,1.3087838412599808,0.2617567682519962,1
2026-05-08,184.88,1,185.21237834159362,186.05,1.047027073007996,0.20940541460159923,-1
2026-05-11,182.75,-1,184.7199026732749,182.75,-2.4623783415936202,-0.4924756683187241,-1
2026-05-12,181.3,-1,184.03592213861992,181.3,-3.4199026732748905,-0.6839805346549781,-1
2026-05-13,181.55,-1,183.48873771089595,181.3,-2.7359221386199124,-0.5471844277239825,-1
2026-05-14,181.78,-1,183.10099016871675,181.55,-1.9387377108959356,-0.38774754217918717,-1
2026-05-15,181.44,-1,182.7687921349734,181.44,-1.6609901687167508,-0.33219803374335016,-1
2026-05-18,182.22,-1,182.50303370797872,181.44,-1.328792134973412,-0.2657584269946824,-1
2026-05-19,183.02,-1,182.44642696638297,182.22,-0.2830337079787171,-0.056606741595743415,1
2026-05-20,182.32,1,182.42114157310638,182.32,-0.12642696638297934,-0.02528539327659587,-1
2026-05-21,182.24,-1,182.3849132584851,182.24,-0.18114157310637324,-0.03622831462127465,-1
2026-05-22,182.08,-1,182.32393060678808,182.08,-0.30491325848510087,-0.060982651697020177,-1
2026-05-25,182.75,-1,182.27514448543047,182.08,-0.24393060678806933,-0.04878612135761387,1
2026-05-26,184.02,1,182.62411558834438,184.02,1.7448555145695366,0.3489711029139073,1
