Date,Close_Price,Flg,p,EP,EP-Pt-1,XAF,Rev
2025-10-15,1795.2,1,1795.2,1795.2,0.1,0.1,1
2025-10-16,1791.0,1,1795.2,1795.2,0.0,0.0,-1
2025-10-17,1792.0,-1,1794.3600000000001,1791.0,-4.2000000000000455,-0.8400000000000092,-1
2025-10-20,1797.0,-1,1793.8880000000001,1792.0,-2.3600000000001273,-0.4720000000000255,1
2025-10-21,1808.8,1,1796.8704,1808.8,14.911999999999807,2.9823999999999615,1
2025-10-23,1792.4,1,1799.25632,1808.8,11.929599999999937,2.3859199999999876,-1
2025-10-24,1824.3,-1,1797.885056,1792.4,-6.856319999999869,-1.3712639999999738,1
2025-10-27,1820.2,1,1802.3480448,1820.2,22.31494399999997,4.4629887999999935,1
2025-10-28,1810.9,1,1805.91843584,1820.2,17.85195520000002,3.570391040000004,1
2025-10-29,1804.5,1,1808.774748672,1820.2,14.281564160000016,2.8563128320000035,-1
2025-10-30,1782.5,-1,1803.5197989376,1782.5,-26.274748671999987,-5.254949734399998,-1
2025-10-31,1789.5,-1,1799.31583915008,1782.5,-21.019798937599944,-4.203959787519989,-1
2025-11-03,1787.0,-1,1796.852671320064,1787.0,-12.31583915007991,-2.463167830015982,-1
2025-11-04,1768.7,-1,1791.2221370560512,1768.7,-28.152671320063973,-5.630534264012795,-1
2025-11-06,1702.7,-1,1773.517709644841,1702.7,-88.52213705605118,-17.704427411210236,-1
2025-11-07,1725.8,-1,1759.3541677158728,1702.7,-70.81770964484099,-14.163541928968199,-1
2025-11-10,1755.1,-1,1752.6433341726981,1725.8,-33.554167715872836,-6.710833543174568,1
2025-11-11,1754.5,1,1753.0146673381585,1754.5,1.8566658273018675,0.37133316546037354,1
2025-11-12,1792.0,1,1760.8117338705267,1792.0,38.98533266184154,7.797066532368309,1
2025-11-13,1707.3,1,1767.0493870964215,1792.0,31.188266129473277,6.237653225894656,-1
2025-11-14,1725.3,-1,1755.0995096771371,1707.3,-59.749387096421515,-11.949877419284304,-1
2025-11-14,1725.3,-1,1749.1396077417096,1725.3,-29.799509677137166,-5.959901935427434,-1
2025-11-14,1725.3,-1,1744.3716861933676,1725.3,-23.839607741709642,-4.767921548341929,-1
2025-11-17,1721.7,-1,1739.837348954694,1721.7,-22.671686193367577,-4.5343372386735155,-1
2025-11-17,1721.7,-1,1736.2098791637552,1721.7,-18.137348954694062,-3.6274697909388127,-1
2025-11-18,1710.0,-1,1730.9679033310042,1710.0,-26.209879163755204,-5.2419758327510415,-1
2025-11-19,1699.3,-1,1724.6343226648034,1699.3,-31.667903331004254,-6.333580666200851,-1
2025-11-20,1724.7,-1,1719.5674581318428,1699.3,-25.334322664803494,-5.066864532960699,1
2025-11-24,1667.4,1,1715.5139665054742,1699.3,-20.267458131842886,-4.053491626368578,-1
2025-11-24,1667.4,-1,1705.8911732043794,1667.4,-48.11396650547408,-9.622793301094816,-1
2025-11-25,1682.5,-1,1698.1929385635035,1667.4,-38.491173204379265,-7.698234640875853,-1
2025-11-26,1677.2,-1,1693.994350850803,1677.2,-20.992938563503458,-4.198587712700692,-1
2025-11-27,1676.0,-1,1690.3954806806423,1676.0,-17.994350850802903,-3.5988701701605805,-1
2025-11-28,1666.1,-1,1685.5363845445138,1666.1,-24.295480680642413,-4.859096136128483,-1
2025-12-01,1666.8,-1,1681.649107635611,1666.1,-19.436384544513885,-3.887276908902777,-1
2025-12-02,1639.9,-1,1673.2992861084888,1639.9,-41.749107635610926,-8.349821527122186,-1
2025-12-03,1622.4,-1,1663.119428886791,1622.4,-50.899286108488695,-10.17985722169774,-1
2025-12-04,1640.4,-1,1654.9755431094327,1622.4,-40.719428886790865,-8.143885777358173,-1
2025-12-05,1644.0,-1,1652.0604344875462,1640.4,-14.575543109432601,-2.9151086218865205,-1
2025-12-08,1616.0,-1,1644.848347590037,1616.0,-36.06043448754622,-7.212086897509244,-1
2025-12-09,1617.9,-1,1639.0786780720296,1616.0,-28.848347590037065,-5.769669518007413,-1
2025-12-10,1618.8,-1,1634.8429424576236,1617.9,-21.17867807202947,-4.235735614405894,-1
2025-12-11,1597.0,-1,1627.274353966099,1597.0,-37.84294245762362,-7.568588491524725,-1
2025-12-12,1599.1,-1,1621.219483172879,1597.0,-30.274353966098943,-6.054870793219789,-1
2025-12-15,1587.6,-1,1614.4955865383033,1587.6,-33.6194831728792,-6.723896634575841,-1
2025-12-16,1560.4,-1,1603.6764692306426,1560.4,-54.09558653830322,-10.819117307660646,-1
2025-12-17,1502.8,-1,1583.501175384514,1502.8,-100.87646923064267,-20.175293846128536,-1
2025-12-18,1506.1,-1,1567.3609403076111,1502.8,-80.70117538451404,-16.14023507690281,-1
2025-12-19,1548.3,-1,1555.108752246089,1506.1,-61.260940307611236,-12.252188061522247,-1
2025-12-22,1666.3,-1,1553.747001796871,1548.3,-6.808752246088943,-1.3617504492177888,1
2025-12-23,1646.8,1,1572.357601437497,1646.8,93.05299820312894,18.61059964062579,1
2025-12-24,1649.3,1,1587.7460811499975,1649.3,76.94239856250306,15.388479712500612,1
2025-12-26,1652.1,1,1600.616864919998,1652.1,64.3539188500024,12.87078377000048,1
2025-12-29,1637.4,1,1610.9134919359985,1652.1,51.48313508000183,10.296627016000366,1
2025-12-30,1614.4,1,1619.150793548799,1652.1,41.18650806400137,8.237301612800275,-1
2025-12-31,1620.1,-1,1618.2006348390391,1614.4,-4.750793548798811,-0.9501587097597621,1
2026-01-01,1622.6,1,1619.0805078712312,1622.6,4.39936516096077,0.879873032192154,1
2026-01-01,1622.6,1,1619.784406296985,1622.6,3.519492128768661,0.7038984257537323,1
2026-01-01,1622.6,1,1620.347525037588,1622.6,2.8155937030148834,0.5631187406029767,1
2026-01-01,1622.6,1,1620.7980200300703,1622.6,2.252474962411952,0.45049499248239044,1
2026-01-01,1622.6,1,1621.1584160240564,1622.6,1.8019799699295618,0.3603959939859124,1
2026-01-01,1622.6,1,1621.446732819245,1622.6,1.4415839759435585,0.2883167951887117,1
2026-01-01,1622.6,1,1621.677386255396,1622.6,1.1532671807549377,0.23065343615098755,1
2026-01-05,1630.0,1,1623.3419090043167,1630.0,8.322613744604041,1.6645227489208083,1
2026-01-06,1605.2,1,1624.6735272034534,1630.0,6.658090995683324,1.331618199136665,-1
2026-01-07,1608.2,-1,1620.7788217627628,1605.2,-19.473527203453386,-3.8947054406906774,-1
2026-01-08,1580.4,-1,1612.7030574102102,1580.4,-40.378821762762755,-8.075764352552552,-1
2026-01-09,1569.0,-1,1603.962445928168,1569.0,-43.70305741021025,-8.74061148204205,-1
2026-01-12,1562.6,-1,1595.6899567425344,1562.6,-41.3624459281682,-8.27248918563364,-1
2026-01-13,1547.3,-1,1586.0119653940276,1547.3,-48.38995674253442,-9.677991348506886,-1
2026-01-14,1534.4,-1,1575.689572315222,1534.4,-51.61196539402749,-10.322393078805499,-1
2026-01-16,1526.6,-1,1565.8716578521776,1526.6,-49.089572315222085,-9.817914463044417,-1
2026-01-19,1506.4,-1,1553.977326281742,1506.4,-59.471657852177486,-11.894331570435497,-1
2026-01-20,1436.9,-1,1530.5618610253937,1436.9,-117.07732628174199,-23.415465256348398,-1
