Date,Close_Price,Flg,p,EP,EP-Pt-1,XAF,Rev
2025-10-15,1087.6,1,1087.6,1087.6,0.1,0.1,1
2025-10-16,1095.25,1,1089.1299999999999,1095.25,7.650000000000091,1.5300000000000182,1
2025-10-17,1084.9,1,1090.3539999999998,1095.25,6.120000000000118,1.2240000000000237,-1
2025-10-20,1093.0,-1,1089.2631999999999,1084.9,-5.4539999999997235,-1.0907999999999447,1
2025-10-21,1097.9,1,1090.99056,1097.9,8.636800000000221,1.7273600000000444,1
2025-10-23,1049.45,1,1092.372448,1097.9,6.9094400000001315,1.3818880000000264,-1
2025-10-24,1037.3,-1,1081.3579584000001,1037.3,-55.07244800000012,-11.014489600000026,-1
2025-10-27,1052.55,-1,1072.5463667200002,1037.3,-44.05795840000019,-8.811591680000038,-1
2025-10-28,1057.0,-1,1068.547093376,1052.55,-19.996366720000196,-3.9992733440000396,-1
2025-10-29,1055.45,-1,1065.9276747008,1055.45,-13.097093375999975,-2.619418675199995,-1
2025-10-30,1044.6,-1,1061.66213976064,1044.6,-21.327674700800117,-4.265534940160023,-1
2025-10-31,1023.05,-1,1053.939711808512,1023.05,-38.61213976064005,-7.72242795212801,-1
2025-11-03,1030.7,-1,1047.7617694468095,1023.05,-30.889711808511947,-6.17794236170239,-1
2025-11-04,1019.1,-1,1042.0294155574475,1019.1,-28.661769446809444,-5.732353889361889,-1
2025-11-06,1009.9,-1,1035.603532445958,1009.9,-32.12941555744749,-6.425883111489497,-1
2025-11-07,1020.0,-1,1030.4628259567664,1009.9,-25.703532445958103,-5.140706489191621,-1
2025-11-10,992.7,-1,1022.9102607654131,992.7,-37.76282595676639,-7.5525651913532785,-1
2025-11-11,986.9,-1,1015.7082086123305,986.9,-36.010260765413136,-7.202052153082628,-1
2025-11-12,969.4,-1,1006.4465668898644,969.4,-46.30820861233053,-9.261641722466107,-1
2025-11-13,953.0,-1,995.7572535118915,953.0,-53.44656688986436,-10.689313377972873,-1
2025-11-14,937.7,-1,984.1458028095132,937.7,-58.05725351189142,-11.611450702378285,-1
2025-11-14,937.7,-1,974.8566422476106,937.7,-46.44580280951311,-9.289160561902623,-1
2025-11-14,937.7,-1,967.4253137980885,937.7,-37.156642247610534,-7.431328449522107,-1
2025-11-17,944.1,-1,961.4802510384708,937.7,-29.72531379808845,-5.945062759617691,-1
2025-11-17,944.1,-1,958.0042008307767,944.1,-17.38025103847076,-3.4760502076941524,-1
2025-11-18,928.1,-1,952.0233606646214,928.1,-29.90420083077663,-5.9808401661553265,-1
2025-11-19,922.9,-1,946.198688531697,922.9,-29.123360664621373,-5.824672132924275,-1
2025-11-20,935.4,-1,941.5389508253576,922.9,-23.298688531697053,-4.659737706339411,-1
2025-11-24,922.2,-1,937.6711606602861,922.2,-19.33895082535753,-3.867790165071506,-1
2025-11-24,922.2,-1,934.5769285282289,922.2,-15.471160660286046,-3.0942321320572095,-1
2025-11-25,920.4,-1,931.7415428225831,920.4,-14.176928528228927,-2.835385705645786,-1
2025-11-26,932.9,-1,929.4732342580666,920.4,-11.341542822583165,-2.268308564516633,1
2025-11-27,922.1,1,927.9985874064532,922.1,-7.373234258066532,-1.4746468516133064,-1
2025-11-28,919.1,-1,926.2188699251626,919.1,-8.898587406453203,-1.7797174812906407,-1
2025-12-01,904.85,-1,921.94509594013,904.85,-21.368869925162585,-4.273773985032517,-1
2025-12-02,915.75,-1,918.526076752104,904.85,-17.095095940130022,-3.4190191880260046,-1
2025-12-03,898.25,-1,914.4708614016832,898.25,-20.276076752104018,-4.055215350420804,-1
2025-12-04,888.55,-1,909.2866891213466,888.55,-25.920861401683283,-5.184172280336657,-1
2025-12-05,888.55,-1,905.1393512970773,888.55,-20.73668912134667,-4.147337824269335,-1
2025-12-08,860.8,-1,896.2714810376618,860.8,-44.339351297077314,-8.867870259415463,-1
