Date,Close_Price,Flg,p,EP,EP-Pt-1,XAF,Rev
2025-10-15,2135.6,1,2135.6,2135.6,0.1,0.1,1
2025-10-16,2205.3,1,2149.54,2205.3,69.70000000000027,13.940000000000055,1
2025-10-17,2236.2,1,2166.872,2236.2,86.65999999999985,17.331999999999972,1
2025-10-20,2291.8,1,2191.8576,2291.8,124.92800000000034,24.98560000000007,1
2025-10-21,2293.5,1,2212.18608,2293.5,101.64240000000018,20.328480000000038,1
2025-10-23,2278.8,1,2228.448864,2293.5,81.31392000000005,16.26278400000001,1
2025-10-24,2287.8,1,2241.4590912,2293.5,65.05113600000004,13.01022720000001,1
2025-10-27,2320.3,1,2257.22727296,2320.3,78.8409088000003,15.768181760000061,1
2025-10-28,2296.6,1,2269.841818368,2320.3,63.072727040000245,12.61454540800005,1
2025-10-29,2311.3,1,2279.9334546944,2320.3,50.458181632000105,10.091636326400021,1
2025-10-30,2298.9,1,2288.0067637555203,2320.3,40.366545305600084,8.073309061120018,1
2025-10-31,2288.0,1,2294.465411004416,2320.3,32.293236244479885,6.458647248895978,-1
2025-11-03,2307.5,-1,2293.1723288035328,2288.0,-6.4654110044161825,-1.2930822008832366,1
2025-11-04,2293.2,1,2293.177863042826,2293.2,0.02767119646705396,0.005534239293410792,1
2025-11-06,2193.7,1,2293.1822904342607,2293.2,0.022136957173643168,0.0044273914347286334,-1
2025-11-07,2142.7,-1,2263.0858323474085,2142.7,-150.4822904342609,-30.09645808685218,-1
2025-11-10,2167.7,-1,2239.008665877927,2142.7,-120.38583234740872,-24.077166469481746,-1
2025-11-11,2158.5,-1,2222.9069327023417,2158.5,-80.50866587792689,-16.101733175585377,-1
2025-11-12,2193.8,-1,2210.0255461618735,2158.5,-64.40693270234169,-12.88138654046834,-1
2025-11-13,2206.1,-1,2206.780436929499,2193.8,-16.225546161873353,-3.245109232374671,-1
2025-11-14,2195.8,-1,2204.5843495435993,2195.8,-10.980436929498865,-2.196087385899773,-1
2025-11-14,2195.8,-1,2202.8274796348796,2195.8,-8.784349543599092,-1.7568699087198185,-1
2025-11-14,2195.8,-1,2201.4219837079036,2195.8,-7.027479634879455,-1.405495926975891,-1
2025-11-17,2184.6,-1,2198.057586966323,2184.6,-16.821983707903655,-3.364396741580731,-1
2025-11-17,2184.6,-1,2195.366069573058,2184.6,-13.457586966323106,-2.6915173932646215,-1
2025-11-18,2150.8,-1,2186.4528556584464,2150.8,-44.56606957305803,-8.913213914611607,-1
2025-11-19,2130.4,-1,2175.242284526757,2130.4,-56.05285565844633,-11.210571131689267,-1
2025-11-20,2123.8,-1,2164.9538276214057,2123.8,-51.442284526756794,-10.28845690535136,-1
2025-11-24,2046.4,-1,2141.2430620971245,2046.4,-118.55382762140562,-23.710765524281125,-1
2025-11-24,2046.4,-1,2122.2744496776995,2046.4,-94.8430620971244,-18.968612419424883,-1
2025-11-25,2094.0,-1,2107.0995597421597,2046.4,-75.87444967769943,-15.174889935539888,-1
2025-11-26,2114.4,-1,2104.479647793728,2094.0,-13.099559742159727,-2.6199119484319455,1
2025-11-27,2096.3,1,2102.8437182349826,2096.3,-8.179647793727781,-1.6359295587455565,-1
2025-11-28,2114.6,-1,2101.534974587986,2096.3,-6.543718234982407,-1.3087436469964815,1
2025-12-01,2096.5,1,2100.527979670389,2096.5,-5.0349745879861985,-1.0069949175972397,-1
2025-12-02,2097.7,-1,2099.7223837363113,2096.5,-4.027979670388959,-0.8055959340777918,-1
2025-12-03,2067.8,-1,2093.337906989049,2067.8,-31.922383736311076,-6.384476747262216,-1
2025-12-04,2079.6,-1,2088.2303255912393,2067.8,-25.53790698904868,-5.107581397809736,-1
2025-12-05,2082.4,-1,2086.5042604729915,2079.6,-8.630325591239398,-1.7260651182478797,-1
2025-12-08,1975.1,-1,2064.2234083783933,1975.1,-111.40426047299161,-22.280852094598323,-1
2025-12-09,2043.0,-1,2046.3987267027146,1975.1,-89.12340837839338,-17.824681675678676,-1
2025-12-10,2014.3,-1,2039.9789813621717,2014.3,-32.09872670271466,-6.4197453405429314,-1
2025-12-11,2035.6,-1,2034.8431850897373,2014.3,-25.678981362171726,-5.135796272434345,1
2025-12-12,2075.1,1,2042.8945480717898,2075.1,40.25681491026262,8.051362982052524,1
2025-12-15,2067.8,1,2049.3356384574317,2075.1,32.205451928210096,6.44109038564202,1
2025-12-16,2023.6,1,2054.488510765945,2075.1,25.764361542568167,5.152872308513634,-1
2025-12-17,2014.9,-1,2046.570808612756,2014.9,-39.5885107659451,-7.917702153189021,-1
2025-12-18,1999.8,-1,2037.2166468902049,1999.8,-46.77080861275613,-9.354161722551225,-1
2025-12-19,2044.8,-1,2029.733317512164,1999.8,-37.4166468902049,-7.483329378040981,1
2025-12-22,2030.4,1,2029.866654009731,2030.4,0.6666824878361695,0.1333364975672339,1
2025-12-23,2019.5,1,2029.973323207785,2030.4,0.5333459902690265,0.10666919805380531,-1
2025-12-24,2006.1,-1,2025.198658566228,2006.1,-23.873323207785006,-4.774664641557002,-1
2025-12-26,2002.6,-1,2020.6789268529824,2002.6,-22.598658566228096,-4.519731713245619,-1
2025-12-29,1997.8,-1,2016.1031414823858,1997.8,-22.87892685298243,-4.575785370596487,-1
