Date,Close_Price,Flg,p,EP,EP-Pt-1,XAF,Rev
2025-07-31,4533.9,1,4533.9,4533.9,0.1,0.1,1
2025-08-01,4438.7,1,4533.9,4533.9,0.0,0.0,-1
2025-08-04,4537.9,-1,4514.86,4438.7,-95.19999999999982,-19.039999999999964,1
2025-08-05,4578.2,1,4527.527999999999,4578.2,63.340000000000146,12.66800000000003,1
2025-08-06,4538.6,1,4537.662399999999,4578.2,50.67200000000048,10.134400000000097,1
2025-08-07,4550.6,1,4545.76992,4578.2,40.537600000000566,8.107520000000113,1
2025-08-08,4440.6,1,4552.255936,4578.2,32.43008000000009,6.486016000000018,-1
2025-08-11,4444.9,-1,4529.9247488,4440.6,-111.6559359999992,-22.331187199999842,-1
2025-08-12,4409.4,-1,4505.81979904,4409.4,-120.52474880000045,-24.104949760000093,-1
2025-08-13,4524.4,-1,4486.535839232,4409.4,-96.41979904000073,-19.283959808000148,1
2025-08-14,4555.1,1,4500.248671385601,4555.1,68.56416076799997,13.712832153599994,1
2025-08-18,4514.3,1,4511.2189371084805,4555.1,54.85132861439979,10.970265722879958,1
2025-08-19,4452.6,1,4519.995149686784,4555.1,43.88106289151983,8.776212578303968,-1
2025-08-20,4468.4,-1,4506.516119749427,4452.6,-67.39514968678395,-13.479029937356792,-1
2025-08-21,4474.0,-1,4498.892895799541,4468.4,-38.116119749427526,-7.623223949885506,-1
2025-08-22,4473.0,-1,4493.714316639633,4473.0,-25.892895799541293,-5.178579159908259,-1
2025-08-25,4457.6,-1,4486.491453311706,4457.6,-36.11431663963231,-7.222863327926461,-1
2025-08-26,4383.6,-1,4465.913162649365,4383.6,-102.89145331170585,-20.57829066234117,-1
2025-08-28,4344.7,-1,4441.6705301194925,4344.7,-121.21316264936559,-24.24263252987312,-1
2025-08-29,4332.6,-1,4419.856424095594,4332.6,-109.0705301194921,-21.81410602389842,-1
2025-08-28,4344.7,-1,4402.405139276475,4332.6,-87.2564240955935,-17.4512848191187,-1
2025-08-29,4332.6,-1,4388.44411142118,4332.6,-69.80513927647462,-13.961027855294924,-1
2025-09-10,4557.5,-1,4377.275289136945,4332.6,-55.84411142118006,-11.168822284236013,1
2025-11-17,4795.2,1,4460.860231309555,4795.2,417.9247108630552,83.58494217261105,1
2025-11-17,4795.2,1,4527.728185047644,4795.2,334.33976869044454,66.86795373808891,1
2025-11-18,4807.9,1,4583.762548038115,4807.9,280.1718149523558,56.034362990471166,1
2025-11-19,4744.2,1,4628.590038430491,4807.9,224.13745196188484,44.82749039237697,1
2025-11-20,4716.6,1,4664.452030744393,4807.9,179.30996156950823,35.861992313901645,1
2025-11-24,4445.1,1,4693.141624595514,4807.9,143.44796925560695,28.68959385112139,-1
2025-11-24,4445.1,-1,4643.533299676412,4445.1,-248.0416245955139,-49.608324919102785,-1
2025-11-25,4441.6,-1,4603.14663974113,4441.6,-201.93329967641148,-40.386659935282296,-1
2025-11-26,4517.8,-1,4570.837311792904,4441.6,-161.54663974112918,-32.309327948225835,-1
2025-11-27,4483.2,-1,4553.309849434323,4483.2,-87.63731179290426,-17.527462358580852,-1
2025-11-28,4542.4,-1,4539.287879547458,4483.2,-70.10984943432322,-14.021969886864646,1
2025-12-01,4530.7,1,4537.570303637966,4530.7,-8.587879547458215,-1.717575909491643,-1
2025-12-02,4508.5,-1,4531.756242910373,4508.5,-29.07030363796639,-5.8140607275932785,-1
2025-12-03,4436.3,-1,4512.664994328298,4436.3,-95.45624291037257,-19.091248582074513,-1
2025-12-04,4496.8,-1,4497.391995462639,4436.3,-76.36499432829805,-15.272998865659611,-1
2025-12-05,4443.0,-1,4486.513596370111,4443.0,-54.39199546263899,-10.878399092527799,-1
2025-12-08,4287.1,-1,4446.6308770960895,4287.1,-199.413596370111,-39.88271927402221,-1
2025-12-09,4303.0,-1,4414.7247016768715,4287.1,-159.53087709608917,-31.906175419217835,-1
