Date,Close_Price,Flg,p,EP,EP-Pt-1,XAF,Rev
2025-07-31,1500.6,1,1500.6,1500.6,0.1,0.1,1
2025-08-01,1482.6,1,1500.6,1500.6,0.0,0.0,-1
2025-08-04,1508.6,-1,1497.0,1482.6,-18.0,-3.6,1
2025-08-05,1502.8,1,1498.16,1502.8,5.7999999999999545,1.159999999999991,1
2025-08-06,1488.7,1,1499.088,1502.8,4.639999999999873,0.9279999999999746,-1
2025-08-07,1494.7,-1,1497.0104,1488.7,-10.38799999999992,-2.077599999999984,-1
2025-08-08,1491.6,-1,1495.92832,1491.6,-5.4103999999999814,-1.0820799999999964,-1
2025-08-11,1474.2,-1,1491.582656,1474.2,-21.72831999999994,-4.345663999999988,-1
2025-08-12,1464.8,-1,1486.2261248,1464.8,-26.782656000000088,-5.356531200000018,-1
2025-08-13,1465.9,-1,1481.94089984,1464.8,-21.426124800000025,-4.285224960000005,-1
2025-08-14,1479.2,-1,1478.732719872,1465.9,-16.040899839999838,-3.2081799679999676,1
2025-08-18,1552.6,1,1493.5061758975999,1552.6,73.86728012799995,14.773456025599991,1
2025-08-19,1570.0,1,1508.80494071808,1570.0,76.49382410240014,15.298764820480029,1
2025-08-20,1567.9,1,1521.043952574464,1570.0,61.19505928192007,12.239011856384014,1
2025-08-21,1553.6,1,1530.835162059571,1570.0,48.9560474255361,9.79120948510722,1
2025-08-22,1556.0,1,1538.6681296476568,1570.0,39.164837940428924,7.832967588085785,1
2025-08-25,1562.0,1,1544.9345037181254,1570.0,31.33187035234323,6.266374070468647,1
2025-08-26,1517.9,1,1549.9476029745003,1570.0,25.06549628187463,5.013099256374926,-1
2025-08-28,1519.4,-1,1543.5380823796004,1517.9,-32.04760297450025,-6.409520594900051,-1
2025-08-29,1525.6,-1,1538.7104659036804,1519.4,-24.13808237960029,-4.827616475920059,-1
2025-08-28,1519.4,-1,1534.8483727229443,1519.4,-19.310465903680324,-3.862093180736065,-1
2025-08-29,1525.6,-1,1531.7586981783554,1519.4,-15.448372722944214,-3.089674544588843,-1
2025-09-10,1575.4,-1,1530.5269585426843,1525.6,-6.1586981783555075,-1.2317396356711017,1
2025-11-17,1480.4,1,1529.5415668341475,1525.6,-4.9269585426843605,-0.9853917085368722,-1
2025-11-17,1480.4,-1,1519.713253467318,1480.4,-49.1415668341474,-9.82831336682948,-1
2025-11-18,1468.0,-1,1509.3706027738544,1468.0,-51.713253467318054,-10.34265069346361,-1
2025-11-19,1440.4,-1,1495.5764822190836,1440.4,-68.97060277385435,-13.79412055477087,-1
2025-11-20,1448.5,-1,1484.541185775267,1440.4,-55.17648221908348,-11.035296443816698,-1
2025-11-24,1424.6,-1,1472.5529486202136,1424.6,-59.94118577526706,-11.988237155053412,-1
2025-11-24,1424.6,-1,1462.9623588961708,1424.6,-47.95294862021365,-9.59058972404273,-1
2025-11-25,1419.4,-1,1454.2498871169366,1419.4,-43.562358896170736,-8.712471779234148,-1
2025-11-26,1439.8,-1,1447.2799096935494,1419.4,-34.84988711693654,-6.969977423387309,-1
2025-11-27,1434.6,-1,1444.7439277548394,1434.6,-12.679909693549462,-2.5359819387098925,-1
2025-11-28,1441.9,-1,1442.7151422038714,1434.6,-10.143927754839524,-2.0287855509679047,-1
2025-12-01,1435.3,-1,1441.2321137630972,1435.3,-7.415142203871483,-1.4830284407742966,-1
2025-12-02,1422.5,-1,1437.4856910104777,1422.5,-18.73211376309723,-3.7464227526194467,-1
2025-12-03,1420.6,-1,1434.1085528083822,1420.6,-16.885691010477785,-3.377138202095557,-1
2025-12-04,1433.5,-1,1431.4068422467058,1420.6,-13.50855280838232,-2.701710561676464,1
2025-12-05,1436.5,1,1432.4254737973647,1436.5,5.093157753294236,1.0186315506588473,1
2025-12-08,1407.3,1,1433.2403790378917,1436.5,4.0745262026352975,0.8149052405270596,-1
2025-12-09,1419.8,-1,1428.0523032303133,1407.3,-25.940379037891717,-5.188075807578343,-1
2025-12-10,1389.9,-1,1420.4218425842507,1389.9,-38.15230323031324,-7.630460646062648,-1
2025-12-11,1402.4,-1,1414.3174740674006,1389.9,-30.521842584250635,-6.104368516850127,-1
2025-12-12,1409.6,-1,1411.9339792539204,1402.4,-11.917474067400462,-2.3834948134800924,-1
2025-12-15,1412.3,-1,1411.4671834031362,1409.6,-2.333979253920461,-0.4667958507840922,1
2025-12-16,1412.0,1,1411.573746722509,1412.0,0.5328165968637677,0.10656331937275354,1
2025-12-17,1397.0,1,1411.6589973780071,1412.0,0.42625327749101416,0.08525065549820283,-1
2025-12-18,1401.2,-1,1408.7271979024058,1397.0,-14.658997378007143,-2.9317994756014287,-1
2025-12-19,1416.9,-1,1407.2217583219247,1401.2,-7.52719790240576,-1.505439580481152,1
2025-12-22,1431.2,1,1412.0174066575398,1431.2,23.978241678075392,4.795648335615079,1
2025-12-23,1426.8,1,1415.853925326032,1431.2,19.182593342460223,3.8365186684920447,1
2025-12-24,1424.4,1,1418.9231402608254,1431.2,15.346074673968133,3.0692149347936266,1
2025-12-26,1418.2,1,1421.3785122086604,1431.2,12.276859739174597,2.4553719478349194,-1
2025-12-29,1415.2,-1,1420.1428097669284,1415.2,-6.178512208660322,-1.2357024417320646,-1
2025-12-30,1413.0,-1,1418.7142478135427,1413.0,-7.142809766928394,-1.428561953385679,-1
2025-12-31,1424.9,-1,1417.5713982508341,1413.0,-5.71424781354267,-1.142849562708534,1
2026-01-01,1417.5,1,1417.5571186006673,1417.5,-0.07139825083413598,-0.014279650166827196,-1
2026-01-01,1417.5,-1,1417.5456948805338,1417.5,-0.05711860066730878,-0.011423720133461757,-1
2026-01-01,1417.5,-1,1417.5365559044271,1417.5,-0.04569488053380155,-0.00913897610676031,-1
2026-01-01,1417.5,-1,1417.5292447235418,1417.5,-0.03655590442713219,-0.007311180885426438,-1
2026-01-05,1451.4,-1,1417.5233957788334,1417.5,-0.029244723541751227,-0.005848944708350246,1
2026-01-06,1501.7,1,1434.3587166230668,1501.7,84.1766042211666,16.83532084423332,1
2026-01-07,1496.2,1,1447.8269732984534,1501.7,67.34128337693323,13.468256675386648,1
2026-01-08,1483.7,1,1458.6015786387627,1501.7,53.87302670154668,10.774605340309336,1
2026-01-09,1464.9,1,1467.2212629110102,1501.7,43.09842136123734,8.619684272247468,-1
