Date,Close_Price,Flg,p,EP,EP-Pt-1,XAF,Rev
2025-07-31,2018.2,1,2018.2,2018.2,0.1,0.1,1
2025-08-01,2012.2,1,2018.2,2018.2,0.0,0.0,-1
2025-08-04,1992.0,-1,2012.96,1992.0,-26.200000000000045,-5.240000000000009,-1
2025-08-05,1977.6,-1,2005.888,1977.6,-35.36000000000013,-7.072000000000026,-1
2025-08-06,1985.3,-1,2000.2304,1977.6,-28.28800000000001,-5.657600000000002,-1
2025-08-07,1995.4,-1,1997.24432,1985.3,-14.930399999999963,-2.9860799999999927,-1
2025-08-08,1973.9,-1,1992.575456,1973.9,-23.344319999999925,-4.668863999999985,-1
2025-08-11,1995.6,-1,1988.8403648,1973.9,-18.67545599999994,-3.7350911999999883,1
2025-08-12,1969.9,1,1985.8522918400001,1973.9,-14.940364799999998,-2.98807296,-1
2025-08-13,1980.3,-1,1982.6618334720001,1969.9,-15.952291840000044,-3.1904583680000087,-1
2025-08-14,1991.1,-1,1982.1894667776,1980.3,-2.3618334720001712,-0.47236669440003426,1
2025-08-18,2003.6,1,1986.47157342208,2003.6,21.410533222399863,4.282106644479973,1
2025-08-19,1991.1,1,1989.8972587376638,2003.6,17.12842657791998,3.4256853155839964,1
2025-08-20,1988.2,1,1992.6378069901311,2003.6,13.702741262336076,2.7405482524672156,-1
2025-08-21,1991.2,-1,1991.7502455921049,1988.2,-4.437806990131094,-0.8875613980262188,-1
2025-08-22,1964.6,-1,1986.3201964736838,1964.6,-27.150245592104966,-5.430049118420993,-1
2025-08-25,1964.1,-1,1981.876157178947,1964.1,-22.220196473683927,-4.444039294736785,-1
2025-08-26,973.4,-1,1780.1809257431578,973.4,-1008.4761571789471,-201.69523143578942,-1
2025-08-28,957.8,-1,1615.7047405945261,957.8,-822.3809257431578,-164.47618514863157,-1
2025-08-29,951.6,-1,1482.8837924756208,951.6,-664.1047405945261,-132.82094811890522,-1
2025-08-28,957.8,-1,1376.6270339804967,951.6,-531.2837924756208,-106.25675849512416,-1
2025-08-29,951.6,-1,1291.6216271843973,951.6,-425.02703398049664,-85.00540679609934,-1
2025-09-10,965.9,-1,1223.6173017475178,951.6,-340.0216271843973,-68.00432543687945,-1
2025-11-17,996.55,-1,1172.0738413980143,965.9,-257.7173017475178,-51.54346034950356,-1
2025-11-17,996.55,-1,1136.9690731184114,996.55,-175.52384139801438,-35.10476827960288,-1
2025-11-18,992.45,-1,1108.065258494729,992.45,-144.51907311841137,-28.903814623682276,-1
2025-11-19,994.6,-1,1084.9422067957832,992.45,-115.615258494729,-23.1230516989458,-1
2025-11-20,1008.85,-1,1066.8737654366266,994.6,-90.34220679578323,-18.068441359156648,-1
2025-11-24,999.15,-1,1053.3290123493014,999.15,-67.72376543662665,-13.544753087325331,-1
2025-11-24,999.15,-1,1042.493209879441,999.15,-54.17901234930139,-10.835802469860278,-1
2025-11-25,989.8,-1,1031.954567903553,989.8,-52.693209879441156,-10.538641975888233,-1
