Date,Close_Price,Flg,p,EP,EP-Pt-1,XAF,Rev
2025-07-31,755.5,1,755.5,755.5,0.1,0.1,1
2025-08-01,741.7,1,755.5,755.5,0.0,0.0,-1
2025-08-04,739.8,-1,752.36,739.8,-15.700000000000045,-3.1400000000000095,-1
2025-08-05,738.5,-1,749.588,738.5,-13.860000000000014,-2.772000000000003,-1
2025-08-06,752.55,-1,747.3704,738.5,-11.087999999999965,-2.2175999999999934,1
2025-08-07,755.7,1,749.03632,755.7,8.329600000000028,1.6659200000000056,1
2025-08-08,761.55,1,751.5390560000001,761.55,12.513679999999908,2.502735999999982,1
2025-08-11,764.75,1,754.1812448000001,764.75,13.210943999999927,2.6421887999999853,1
2025-08-12,766.2,1,756.58499584,766.2,12.018755199999987,2.4037510399999977,1
2025-08-13,776.6,1,760.587996672,776.6,20.01500415999999,4.003000831999998,1
2025-08-14,788.75,1,766.2203973376,788.75,28.16200332799997,5.632400665599994,1
2025-08-18,791.0,1,771.1763178700801,791.0,24.779602662399952,4.955920532479991,1
2025-08-19,793.75,1,775.6910542960641,793.75,22.573682129919916,4.514736425983983,1
2025-08-20,796.55,1,779.8628434368512,796.55,20.858945703935888,4.171789140787178,1
2025-08-21,795.45,1,783.200274749481,796.55,16.687156563148733,3.3374313126297466,1
2025-08-22,788.75,1,785.8702197995848,796.55,13.349725250518986,2.6699450501037973,1
2025-08-25,787.0,1,788.0061758396678,796.55,10.679780200415166,2.1359560400830335,-1
2025-08-26,776.6,-1,785.7249406717342,776.6,-11.406175839667753,-2.2812351679335507,-1
2025-08-28,775.35,-1,783.6499525373873,775.35,-10.37494067173418,-2.074988134346836,-1
2025-08-29,772.05,-1,781.3299620299099,772.05,-11.599952537387367,-2.3199905074774736,-1
2025-08-28,775.35,-1,779.4739696239279,772.05,-9.279962029909939,-1.855992405981988,-1
2025-08-29,772.05,-1,777.9891756991424,772.05,-7.423969623927974,-1.4847939247855948,-1
2025-09-10,777.6,-1,776.8013405593139,772.05,-5.9391756991424245,-1.187835139828485,1
2025-11-17,770.25,1,775.8510724474511,772.05,-4.751340559313917,-0.9502681118627834,-1
2025-11-17,770.25,-1,774.7308579579609,770.25,-5.601072447451088,-1.1202144894902177,-1
2025-11-18,761.8,-1,772.1446863663687,761.8,-12.930857957960939,-2.586171591592188,-1
2025-11-19,761.1,-1,769.935749093095,761.1,-11.044686366368637,-2.2089372732737274,-1
2025-11-20,762.2,-1,768.1685992744759,761.1,-8.835749093094933,-1.7671498186189867,-1
2025-11-24,761.65,-1,766.8648794195807,761.65,-6.518599274475946,-1.3037198548951894,-1
2025-11-24,761.65,-1,765.8219035356645,761.65,-5.214879419580711,-1.0429758839161423,-1
2025-11-25,766.55,-1,764.9875228285316,761.65,-4.171903535664569,-0.8343807071329139,1
2025-11-26,787.55,1,769.5000182628253,787.55,22.562477171468345,4.512495434293669,1
2025-11-27,777.8,1,773.1100146102602,787.55,18.049981737174676,3.6099963474349352,1
2025-11-28,764.3,1,775.9980116882082,787.55,14.439985389739718,2.8879970779479436,-1
2025-12-01,766.75,-1,773.6584093505666,764.3,-11.698011688208226,-2.339602337641645,-1
2025-12-02,759.0,-1,770.7267274804533,759.0,-14.658409350566558,-2.931681870113312,-1
2025-12-03,751.95,-1,766.9713819843627,751.95,-18.776727480453246,-3.7553454960906496,-1
2025-12-04,760.8,-1,763.9671055874901,751.95,-15.02138198436262,-3.004276396872524,-1
2025-12-05,768.3,-1,763.333684469992,760.8,-3.1671055874901413,-0.6334211174980283,1
2025-12-08,764.05,1,763.4769475759936,764.05,0.7163155300079325,0.1432631060015865,1
2025-12-09,762.9,1,763.5915580607948,764.05,0.5730524240063914,0.11461048480127829,-1
2025-12-10,771.05,-1,763.4532464486358,762.9,-0.6915580607948186,-0.13831161215896373,1
2025-12-11,775.2,1,765.8025971589086,775.2,11.746753551364236,2.3493507102728475,1
2025-12-12,777.5,1,768.1420777271269,777.5,11.697402841091389,2.3394805682182778,1
2025-12-15,772.7,1,770.0136621817015,777.5,9.357922272873111,1.8715844545746223,1
2025-12-16,764.35,1,771.5109297453612,777.5,7.486337818298466,1.4972675636596933,-1
2025-12-17,753.5,-1,767.908743796289,753.5,-18.01092974536118,-3.6021859490722363,-1
2025-12-18,757.0,-1,765.0269950370312,753.5,-14.408743796288945,-2.881748759257789,-1
2025-12-19,766.45,-1,763.4215960296249,757.0,-8.026995037031156,-1.6053990074062314,1
2025-12-22,761.8,1,763.0972768236999,761.8,-1.621596029624925,-0.32431920592498503,-1
2025-12-23,763.95,-1,762.8378214589599,761.8,-1.2972768236999173,-0.2594553647399835,1
2025-12-24,755.35,1,762.6302571671679,761.8,-1.037821458959911,-0.20756429179198221,-1
2025-12-26,748.45,-1,759.7942057337343,748.45,-14.180257167167838,-2.8360514334335676,-1
2025-12-29,746.45,-1,757.1253645869874,746.45,-13.34420573373427,-2.6688411467468542,-1
2025-12-30,743.0,-1,754.3002916695899,743.0,-14.125364586987416,-2.8250729173974833,-1
2025-12-31,749.85,-1,752.0402333356719,743.0,-11.30029166958991,-2.260058333917982,-1
2026-01-01,750.1,-1,751.6021866685376,749.85,-2.1902333356719055,-0.4380466671343811,-1
2026-01-01,750.1,-1,751.3017493348301,750.1,-1.5021866685375471,-0.30043733370750947,-1
2026-01-01,750.1,-1,751.0613994678641,750.1,-1.2017493348300832,-0.24034986696601665,-1
2026-01-01,750.1,-1,750.8691195742913,750.1,-0.961399467864112,-0.1922798935728224,-1
2026-01-05,759.3,-1,750.7152956594331,750.1,-0.7691195742912669,-0.1538239148582534,1
2026-01-06,777.85,1,756.1422365275465,777.85,27.13470434056694,5.426940868113388,1
2026-01-07,772.35,1,760.4837892220372,777.85,21.707763472453507,4.3415526944907015,1
2026-01-08,758.15,1,763.9570313776297,777.85,17.366210777962806,3.4732421555925614,-1
2026-01-09,749.9,-1,761.1456251021037,749.9,-14.057031377629755,-2.8114062755259512,-1
2026-01-12,754.65,-1,758.896500081683,749.9,-11.245625102103759,-2.249125020420752,-1
2026-01-13,748.5,-1,756.8172000653465,748.5,-10.39650008168303,-2.079300016336606,-1
2026-01-14,743.2,-1,754.0937600522772,743.2,-13.617200065346424,-2.723440013069285,-1
2026-01-16,732.55,-1,749.7850080418217,732.55,-21.543760052277207,-4.308752010455442,-1
2026-01-19,736.8,-1,746.3380064334574,732.55,-17.235008041821743,-3.447001608364349,-1
2026-01-20,732.1,-1,743.490405146766,732.1,-14.238006433457372,-2.8476012866914746,-1
2026-01-21,724.35,-1,739.6623241174128,724.35,-19.140405146765943,-3.828081029353189,-1
2026-01-22,725.1,-1,736.5998592939303,724.35,-15.3123241174128,-3.06246482348256,-1
2026-01-23,712.1,-1,731.6998874351442,712.1,-24.499859293930285,-4.899971858786057,-1
2026-01-27,720.05,-1,727.7799099481153,712.1,-19.599887435144183,-3.9199774870288366,-1
2026-01-28,728.6,-1,726.2339279584922,720.05,-7.729909948115392,-1.5459819896230784,1
2026-01-29,727.1,1,726.4071423667938,727.1,0.8660720415077776,0.17321440830155554,1
2026-01-30,731.0,1,727.325713893435,731.0,4.592857633206222,0.9185715266412444,1
2026-02-01,715.3,1,728.060571114748,731.0,3.6742861065649777,0.7348572213129956,-1
2026-02-02,717.5,-1,725.5084568917983,715.3,-12.760571114748018,-2.5521142229496037,-1
2026-02-03,720.15,-1,723.9067655134387,717.5,-8.008456891798346,-1.6016913783596693,-1
2026-02-04,722.5,-1,723.155412410751,720.15,-3.7567655134387223,-0.7513531026877445,-1
2026-02-05,720.7,-1,722.6643299286008,720.7,-2.4554124107509097,-0.49108248215018196,-1
2026-02-06,703.5,-1,718.8314639428806,703.5,-19.16432992860075,-3.8328659857201504,-1
2026-02-09,707.9,-1,715.7651711543045,703.5,-15.331463942880646,-3.0662927885761295,-1
2026-02-10,703.95,-1,713.4021369234437,703.95,-11.815171154304494,-2.3630342308608987,-1
2026-02-11,701.1,-1,710.9417095387549,701.1,-12.30213692344364,-2.460427384688728,-1
2026-02-12,702.7,-1,708.973367631004,701.1,-9.841709538754913,-1.9683419077509825,-1
2026-02-13,696.8,-1,706.5386941048032,696.8,-12.173367631003998,-2.4346735262008,-1
2026-02-16,703.9,-1,704.5909552838425,696.8,-9.738694104803244,-1.947738820960649,-1
2026-02-17,705.8,-1,704.452764227074,703.9,-0.690955283842527,-0.1381910567685054,1
2026-02-18,729.6,1,709.4822113816592,729.6,25.147235772926024,5.029447154585205,1
2026-02-19,733.15,1,714.2157691053274,733.15,23.66778861834075,4.7335577236681505,1
2026-02-23,742.45,1,719.8626152842619,742.45,28.23423089467269,5.646846178934538,1
2026-02-24,734.75,1,724.3800922274095,742.45,22.587384715738153,4.5174769431476305,1
2026-02-25,735.25,1,727.9940737819276,742.45,18.069907772590568,3.613981554518114,1
2026-02-26,734.0,1,730.885259025542,742.45,14.455926218072477,2.891185243614496,1
2026-02-27,715.3,1,733.1982072204337,742.45,11.564740974458005,2.312948194891601,-1
2026-03-02,707.3,-1,728.0185657763469,707.3,-25.898207220433733,-5.179641444086747,-1
2026-03-04,684.6,-1,719.3348526210775,684.6,-43.418565776346895,-8.683713155269379,-1
2026-03-05,684.3,-1,712.327882096862,684.3,-35.03485262107756,-7.006970524215513,-1
2026-03-09,653.75,-1,700.6123056774896,653.75,-58.57788209686203,-11.715576419372406,-1
2026-03-10,656.1,-1,691.2398445419917,653.75,-46.862305677489644,-9.372461135497929,-1
2026-03-11,647.9,-1,682.5718756335933,647.9,-43.33984454199174,-8.667968908398349,-1
2026-03-12,645.7,-1,675.1975005068747,645.7,-36.87187563359328,-7.374375126718656,-1
2026-03-13,625.75,-1,665.3080004054998,625.75,-49.44750050687469,-9.889500101374939,-1
2026-03-16,626.0,-1,657.3964003243998,625.75,-39.5580004054998,-7.91160008109996,-1
2026-03-17,642.3,-1,651.1171202595199,626.0,-31.396400324399792,-6.279280064879959,-1
2026-03-18,643.35,-1,649.3536962076159,642.3,-8.817120259519925,-1.763424051903985,-1
2026-03-19,633.5,-1,646.1829569660928,633.5,-15.85369620761594,-3.1707392415231883,-1
2026-03-20,623.65,-1,641.6763655728743,623.65,-22.532956966092797,-4.506591393218559,-1
2026-03-23,592.1,-1,631.7610924582995,592.1,-49.57636557287424,-9.915273114574848,-1
2026-03-24,603.0,-1,623.8288739666395,592.1,-39.661092458299436,-7.932218491659888,-1
2026-03-25,612.9,-1,619.6630991733116,603.0,-20.82887396663955,-4.16577479332791,-1
2026-03-27,610.2,-1,617.7704793386492,610.2,-9.463099173311548,-1.8926198346623098,-1
2026-03-30,590.6,-1,612.3363834709194,590.6,-27.170479338649216,-5.434095867729844,-1
2026-04-01,572.95,-1,604.4591067767356,572.95,-39.38638347091933,-7.877276694183866,-1
2026-04-02,566.1,-1,596.7872854213884,566.1,-38.35910677673553,-7.671821355347106,-1
2026-04-06,580.4,-1,590.6498283371108,566.1,-30.687285421388424,-6.137457084277685,-1
2026-04-07,581.7,-1,588.5998626696886,580.4,-10.249828337110785,-2.049965667422157,-1
2026-04-08,598.3,-1,587.2198901357509,581.7,-6.899862669688559,-1.379972533937712,1
2026-04-09,591.2,1,588.0159121086008,591.2,3.9801098642491297,0.796021972849826,1
2026-04-10,604.15,1,591.2427296868806,604.15,16.13408789139919,3.2268175782798383,1
2026-04-13,619.1,1,596.8141837495044,619.1,27.857270313119443,5.571454062623889,1
2026-04-15,640.45,1,605.5413469996035,640.45,43.63581625049562,8.727163250099125,1
2026-04-16,631.5,1,612.5230775996829,640.45,34.9086530003965,6.9817306000793,1
2026-04-17,616.45,1,618.1084620797463,640.45,27.926922400317153,5.585384480063431,-1
2026-04-20,609.75,-1,616.4367696637971,609.75,-8.358462079746346,-1.6716924159492692,-1
2026-04-21,614.2,-1,615.0994157310377,609.75,-6.686769663797122,-1.3373539327594246,-1
2026-04-22,604.05,-1,612.8895325848301,604.05,-11.049415731037698,-2.2098831462075395,-1
2026-04-23,598.65,-1,610.0416260678641,598.65,-14.239532584830158,-2.847906516966032,-1
2026-04-24,588.2,-1,605.6733008542913,588.2,-21.841626067864013,-4.368325213572803,-1
2026-04-27,597.3,-1,602.1786406834331,588.2,-17.47330085429121,-3.4946601708582423,-1
2026-04-28,590.15,-1,599.7729125467464,590.15,-12.028640683433082,-2.4057281366866166,-1
2026-04-29,594.4,-1,597.8483300373971,590.15,-9.62291254674642,-1.924582509349284,-1
2026-04-30,586.9,-1,595.6586640299176,586.9,-10.948330037397113,-2.1896660074794227,-1
2026-05-04,588.35,-1,593.9069312239341,586.9,-8.758664029917668,-1.7517328059835338,-1
