Date,Close_Price,Flg,p,EP,EP-Pt-1,XAF,Rev
2025-12-04,447.95,1,447.95,447.95,0.1,0.1,1
2025-12-05,450.35,1,448.43,450.35,2.400000000000034,0.48000000000000687,1
2025-12-08,445.95,1,448.814,450.35,1.920000000000016,0.3840000000000032,-1
2025-12-09,448.75,-1,448.2412,445.95,-2.8640000000000327,-0.5728000000000065,1
2025-12-10,449.5,1,448.49296,449.5,1.258800000000008,0.2517600000000016,1
2025-12-11,448.05,1,448.694368,449.5,1.0070400000000177,0.20140800000000356,-1
2025-12-12,459.9,-1,448.5654944,448.05,-0.6443679999999858,-0.12887359999999717,1
2025-12-15,466.15,1,452.08239552,466.15,17.5845056,3.51690112,1
2025-12-16,465.35,1,454.895916416,466.15,14.06760448,2.813520896,1
2025-12-17,465.45,1,457.14673313279997,466.15,11.254083584,2.2508167168,1
2025-12-18,464.0,1,458.94738650624,466.15,9.003266867200011,1.8006533734400023,1
2025-12-19,469.75,1,461.107909204992,469.75,10.80261349376002,2.160522698752004,1
2025-12-22,475.55,1,463.9963273639936,475.55,14.442090795008028,2.888418159001606,1
2025-12-23,475.1,1,466.3070618911949,475.55,11.55367263600641,2.3107345272012823,1
2025-12-24,470.7,1,468.1556495129559,475.55,9.242938108805106,1.8485876217610213,1
2025-12-26,467.7,1,469.63451961036475,475.55,7.3943504870441075,1.4788700974088216,-1
2025-12-29,474.15,-1,469.2476156882918,467.7,-1.9345196103647595,-0.38690392207295193,1
2025-12-30,468.75,1,469.1480925506334,468.75,-0.4976156882917735,-0.0995231376583547,-1
2025-12-31,499.05,-1,469.0684740405067,468.75,-0.3980925506334074,-0.07961851012668149,1
2026-01-01,498.6,1,474.97477923240535,498.6,29.531525959493308,5.906305191898662,1
2026-01-02,495.85,1,479.6998233859243,498.6,23.62522076759467,4.725044153518934,1
2026-01-02,495.85,1,483.4798587087394,498.6,18.900176614075747,3.7800353228151495,1
2026-01-01,498.6,1,486.50388696699156,498.6,15.120141291260609,3.024028258252122,1
2026-01-01,498.6,1,488.92310957359325,498.6,12.096113033008464,2.419222606601693,1
2026-01-05,492.4,1,490.8584876588746,498.6,9.676890426406771,1.9353780852813545,1
2026-01-06,482.35,1,492.40679012709967,498.6,7.7415123411254285,1.5483024682250859,-1
2026-01-07,476.45,-1,489.2154321016797,476.45,-15.95679012709968,-3.191358025419936,-1
2026-01-08,452.2,-1,481.81234568134374,452.2,-37.01543210167972,-7.403086420335945,-1
2026-01-09,448.75,-1,475.19987654507497,448.75,-33.06234568134374,-6.612469136268749,-1
2026-01-12,451.05,-1,469.90990123605997,448.75,-26.44987654507497,-5.289975309014995,-1
2026-01-13,448.85,-1,465.69792098884795,448.85,-21.059901236059943,-4.211980247211989,-1
2026-01-14,440.15,-1,460.58833679107835,440.15,-25.547920988847977,-5.109584197769596,-1
2026-01-16,457.9,-1,456.50066943286265,440.15,-20.43833679107837,-4.087667358215675,1
2026-01-19,453.2,1,455.84053554629014,453.2,-3.3006694328626622,-0.6601338865725325,-1
2026-01-20,438.6,-1,452.3924284370321,438.6,-17.24053554629012,-3.4481071092580238,-1
2026-01-21,429.05,-1,447.7239427496257,429.05,-23.342428437032083,-4.668485687406417,-1
2026-01-22,427.7,-1,443.71915419970054,427.7,-20.02394274962569,-4.004788549925138,-1
2026-01-23,414.85,-1,437.94532335976044,414.85,-28.869154199700517,-5.7738308399401035,-1
2026-01-27,419.35,-1,433.3262586878084,414.85,-23.095323359760414,-4.619064671952083,-1
2026-01-28,433.25,-1,430.5310069502467,419.35,-13.976258687808354,-2.795251737561671,1
2026-01-29,432.6,1,430.9448055601974,432.6,2.068993049753317,0.4137986099506634,1
2026-01-30,427.0,1,431.2758444481579,432.6,1.6551944398026421,0.33103888796052844,-1
2026-02-01,431.45,-1,430.42067555852634,427.0,-4.275844448157898,-0.8551688896315796,1
2026-02-02,453.25,1,434.9865404468211,453.25,22.82932444147366,4.565864888294732,1
2026-02-03,450.7,1,438.6392323574569,453.25,18.263459553178905,3.652691910635781,1
2026-02-04,458.85,1,442.6813858859655,458.85,20.210767642543146,4.04215352850863,1
2026-02-05,458.85,1,445.9151087087724,458.85,16.16861411403454,3.233722822806908,1
2026-02-06,463.15,1,449.3620869670179,463.15,17.234891291227598,3.4469782582455197,1
2026-02-09,463.65,1,452.2196695736143,463.65,14.28791303298209,2.8575826065964183,1
2026-02-10,461.25,1,454.5057356588914,463.65,11.430330426385694,2.286066085277139,1
2026-02-11,461.75,1,456.3345885271131,463.65,9.144264341108567,1.8288528682217136,1
2026-02-12,452.35,1,457.7976708216905,463.65,7.315411472886865,1.4630822945773732,-1
2026-02-13,450.2,-1,456.2781366573524,450.2,-7.597670821690485,-1.519534164338097,-1
2026-02-16,452.05,-1,455.0625093258819,450.2,-6.078136657352388,-1.2156273314704777,-1
2026-02-17,454.25,-1,454.4600074607055,452.05,-3.012509325881865,-0.602501865176373,-1
2026-02-18,457.05,-1,454.41800596856444,454.25,-0.21000746070552623,-0.04200149214110525,1
2026-02-19,434.35,1,454.38440477485153,454.25,-0.16800596856444372,-0.03360119371288874,-1
2026-02-23,438.5,-1,450.3775238198812,434.35,-20.03440477485151,-4.006880954970302,-1
2026-02-24,447.05,-1,448.00201905590495,438.5,-11.877523819881219,-2.375504763976244,-1
2026-02-25,436.7,-1,445.74161524472396,436.7,-11.302019055904964,-2.2604038111809928,-1
2026-02-26,444.0,-1,443.9332921957792,436.7,-9.041615244723971,-1.8083230489447943,1
2026-02-27,438.75,1,442.8966337566234,438.75,-5.183292195779188,-1.0366584391558378,-1
2026-03-02,424.5,-1,439.2173070052987,424.5,-18.396633756623373,-3.679326751324675,-1
2026-03-04,401.45,-1,431.663845604239,401.45,-37.76730700529873,-7.553461401059747,-1
2026-03-05,418.4,-1,425.62107648339116,401.45,-30.213845604238998,-6.0427691208478,-1
2026-03-09,384.55,-1,417.40686118671294,384.55,-41.07107648339115,-8.214215296678232,-1
2026-03-10,387.35,-1,410.83548894937036,384.55,-32.85686118671293,-6.571372237342587,-1
2026-03-11,384.25,-1,405.5183911594963,384.25,-26.585488949370358,-5.317097789874072,-1
2026-03-12,384.35,-1,401.26471292759703,384.25,-21.268391159496275,-4.253678231899255,-1
2026-03-13,368.75,-1,394.7617703420776,368.75,-32.51471292759703,-6.502942585519406,-1
2026-03-16,353.8,-1,386.5694162736621,353.8,-40.961770342077614,-8.192354068415524,-1
2026-03-17,346.2,-1,378.4955330189297,346.2,-40.369416273662125,-8.073883254732426,-1
2026-03-18,349.35,-1,372.03642641514375,346.2,-32.29553301892969,-6.459106603785938,-1
2026-03-19,324.8,-1,362.589141132115,324.8,-47.23642641514374,-9.447285283028748,-1
2026-03-20,336.3,-1,355.031312905692,324.8,-37.78914113211499,-7.557828226422998,-1
2026-03-23,319.15,-1,347.8550503245536,319.15,-35.88131290569203,-7.176262581138406,-1
