Date,Close_Price,Flg,p,EP,EP-Pt-1,XAF,Rev
2025-10-15,6501.0,1,6501.0,6501.0,0.1,0.1,1
2025-10-16,6555.0,1,6511.8,6555.0,54.0,10.8,1
2025-10-17,6490.0,1,6520.4400000000005,6555.0,43.19999999999982,8.639999999999963,-1
2025-10-20,6428.5,-1,6502.052000000001,6428.5,-91.94000000000051,-18.3880000000001,-1
2025-10-21,6466.0,-1,6487.341600000001,6428.5,-73.55200000000059,-14.710400000000119,-1
2025-10-23,6359.0,-1,6461.673280000001,6359.0,-128.34160000000065,-25.668320000000133,-1
2025-10-24,6257.5,-1,6420.838624000001,6257.5,-204.1732800000009,-40.83465600000018,-1
2025-10-27,6399.0,-1,6388.1708992,6257.5,-163.3386240000009,-32.66772480000018,1
2025-10-28,6420.5,1,6394.63671936,6420.5,32.32910079999965,6.4658201599999305,1
2025-10-29,6332.5,1,6399.809375488,6420.5,25.863280640000085,5.172656128000018,-1
2025-10-30,6245.5,-1,6368.9475003904,6245.5,-154.30937548800011,-30.861875097600024,-1
2025-10-31,6214.0,-1,6337.95800031232,6214.0,-154.9475003903999,-30.989500078079985,-1
2025-11-03,5899.5,-1,6250.266400249856,5899.5,-438.4580003123201,-87.69160006246403,-1
2025-11-04,5775.5,-1,6155.313120199885,5775.5,-474.7664002498559,-94.95328004997118,-1
2025-11-06,5702.0,-1,6064.650496159908,5702.0,-453.3131201998849,-90.66262403997699,-1
2025-11-07,5636.0,-1,5978.920396927926,5636.0,-428.65049615990756,-85.73009923198151,-1
2025-11-10,5611.0,-1,5905.336317542341,5611.0,-367.92039692792605,-73.58407938558521,-1
2025-11-11,5526.5,-1,5829.569054033873,5526.5,-378.836317542341,-75.7672635084682,-1
2025-11-12,5500.5,-1,5763.755243227099,5500.5,-329.0690540338728,-65.81381080677457,-1
2025-11-13,5626.5,-1,5711.104194581679,5500.5,-263.2552432270986,-52.65104864541973,-1
2025-11-14,5556.0,-1,5680.083355665343,5556.0,-155.1041945816787,-31.020838916335745,-1
2025-11-14,5556.0,-1,5655.266684532275,5556.0,-124.08335566534333,-24.816671133068667,-1
2025-11-14,5556.0,-1,5635.413347625819,5556.0,-99.26668453227467,-19.853336906454935,-1
2025-11-17,5606.5,-1,5619.530678100656,5556.0,-79.41334762581937,-15.882669525163875,-1
2025-11-17,5606.5,-1,5616.924542480525,5606.5,-13.030678100655678,-2.606135620131136,-1
2025-11-18,5487.0,-1,5590.93963398442,5487.0,-129.9245424805249,-25.984908496104982,-1
2025-11-19,5707.0,-1,5570.151707187536,5487.0,-103.93963398441974,-20.78792679688395,1
2025-11-20,5633.5,1,5582.821365750029,5633.5,63.348292812464024,12.669658562492806,1
2025-11-24,5553.0,1,5592.957092600023,5633.5,50.678634249970855,10.135726849994171,-1
