Date,Close_Price,Flg,p,EP,EP-Pt-1,XAF,Rev
2025-07-31,1048.3,1,1048.3,1048.3,0.1,0.1,1
2025-08-01,1027.8,1,1048.3,1048.3,0.0,0.0,-1
2025-08-04,1055.9,-1,1044.2,1027.8,-20.5,-4.1000000000000005,1
2025-08-05,1053.4,1,1046.04,1053.4,9.200000000000045,1.8400000000000092,1
2025-08-06,1052.6,1,1047.512,1053.4,7.360000000000127,1.4720000000000255,1
2025-08-07,1064.8,1,1050.9696,1064.8,17.28800000000001,3.4576000000000024,1
2025-08-08,1049.2,1,1053.73568,1064.8,13.830400000000054,2.766080000000011,-1
2025-08-11,1052.7,-1,1052.828544,1049.2,-4.535679999999957,-0.9071359999999914,-1
2025-08-12,1048.2,-1,1051.9028352,1048.2,-4.62854399999992,-0.925708799999984,-1
2025-08-13,1053.7,-1,1051.16226816,1048.2,-3.7028351999999813,-0.7405670399999963,1
2025-08-14,1045.5,1,1050.569814528,1048.2,-2.962268159999894,-0.5924536319999788,-1
2025-08-18,1079.8,-1,1049.5558516224,1045.5,-5.069814528000052,-1.0139629056000103,1
2025-08-19,1073.4,1,1054.32468129792,1073.4,23.84414837760005,4.76882967552001,1
2025-08-20,1082.6,1,1059.979745038336,1082.6,28.275318702079858,5.655063740415972,1
2025-08-21,1071.8,1,1064.5037960306688,1082.6,22.62025496166393,4.5240509923327865,1
2025-08-22,1054.6,1,1068.1230368245351,1082.6,18.0962039693311,3.6192407938662203,-1
2025-08-25,1057.8,-1,1065.418429459628,1054.6,-13.523036824535211,-2.7046073649070426,-1
2025-08-26,1047.1,-1,1061.7547435677025,1047.1,-18.318429459628078,-3.6636858919256157,-1
2025-08-28,1035.8,-1,1056.5637948541619,1035.8,-25.954743567702508,-5.190948713540502,-1
2025-08-29,1026.6,-1,1050.5710358833294,1026.6,-29.96379485416196,-5.9927589708323925,-1
2025-08-28,1035.8,-1,1045.7768287066635,1026.6,-23.971035883329478,-4.794207176665895,-1
2025-08-29,1026.6,-1,1041.9414629653309,1026.6,-19.176828706663628,-3.835365741332726,-1
2025-09-10,1101.2,-1,1038.8731703722647,1026.6,-15.341462965330948,-3.0682925930661895,1
2025-11-17,1175.5,1,1066.1985362978116,1175.5,136.62682962773533,27.325365925547068,1
2025-11-17,1175.5,1,1088.0588290382493,1175.5,109.30146370218836,21.86029274043767,1
2025-11-18,1163.0,1,1105.5470632305994,1175.5,87.44117096175069,17.488234192350138,1
2025-11-19,1164.9,1,1119.5376505844795,1175.5,69.9529367694006,13.99058735388012,1
2025-11-20,1170.0,1,1130.7301204675837,1175.5,55.96234941552052,11.192469883104105,1
2025-11-24,1106.0,1,1139.684096374067,1175.5,44.769879532416326,8.953975906483265,-1
2025-11-24,1106.0,-1,1132.9472770992536,1106.0,-33.68409637406694,-6.736819274813389,-1
2025-11-25,1112.0,-1,1127.5578216794029,1106.0,-26.947277099253597,-5.389455419850719,-1
2025-11-26,1154.4,-1,1124.4462573435223,1112.0,-15.557821679402878,-3.111564335880576,1
2025-11-27,1160.6,1,1131.677005874818,1160.6,36.15374265647756,7.230748531295513,1
2025-11-28,1160.3,1,1137.4616046998544,1160.6,28.92299412518196,5.784598825036392,1
2025-12-01,1168.4,1,1143.6492837598835,1168.4,30.938395300145658,6.187679060029132,1
2025-12-02,1162.0,1,1148.5994270079068,1168.4,24.750716240116617,4.950143248023323,1
2025-12-03,1143.6,1,1152.5595416063254,1168.4,19.800572992093294,3.960114598418659,-1
2025-12-04,1150.6,-1,1150.7676332850604,1143.6,-8.959541606325502,-1.7919083212651004,-1
2025-12-05,1162.2,-1,1150.7341066280483,1150.6,-0.16763328506044672,-0.033526657012089345,1
2025-12-08,1119.1,1,1150.7072853024385,1150.6,-0.13410662804835738,-0.026821325609671477,-1
2025-12-09,1107.8,-1,1142.1258282419508,1107.8,-42.907285302438595,-8.58145706048772,-1
2025-12-10,1096.8,-1,1133.0606625935607,1096.8,-45.32582824195083,-9.065165648390167,-1
2025-12-11,1105.4,-1,1125.8085300748485,1096.8,-36.26066259356071,-7.252132518712142,-1
2025-12-12,1125.5,-1,1121.7268240598787,1105.4,-20.408530074848386,-4.0817060149696776,1
2025-12-15,1114.8,1,1120.341459247903,1114.8,-6.926824059878754,-1.385364811975751,-1
2025-12-16,1082.6,-1,1112.7931673983223,1082.6,-37.741459247903094,-7.548291849580619,-1
2025-12-17,1079.3,-1,1106.0945339186578,1079.3,-33.493167398322385,-6.698633479664477,-1
2025-12-18,1082.2,-1,1100.7356271349263,1079.3,-26.794533918657862,-5.358906783731573,-1
2025-12-19,1079.6,-1,1096.508501707941,1079.6,-21.13562713492638,-4.2271254269852765,-1
2025-12-22,1094.9,-1,1093.1268013663528,1079.6,-16.908501707941014,-3.381700341588203,1
2025-12-23,1096.8,1,1093.8614410930822,1096.8,3.673198633647189,0.7346397267294379,1
2025-12-24,1091.3,1,1094.4491528744659,1096.8,2.938558906917706,0.5877117813835412,-1
2025-12-26,1094.4,-1,1093.8193222995726,1091.3,-3.1491528744659263,-0.6298305748931853,1
2025-12-29,1092.6,1,1093.5754578396582,1092.6,-1.2193222995726956,-0.24386445991453912,-1
2025-12-30,1111.6,-1,1093.3803662717264,1092.6,-0.9754578396582474,-0.1950915679316495,1
2025-12-31,1164.8,1,1107.6642930173812,1164.8,71.41963372827354,14.283926745654709,1
2026-01-01,1171.5,1,1120.431434413905,1171.5,63.83570698261883,12.767141396523767,1
2026-01-01,1171.5,1,1130.645147531124,1171.5,51.06856558609502,10.213713117219005,1
2026-01-01,1171.5,1,1138.8161180248992,1171.5,40.85485246887606,8.170970493775213,1
2026-01-05,1185.9,1,1148.2328944199194,1185.9,47.083881975100894,9.416776395020179,1
2026-01-06,1176.3,1,1155.7663155359355,1185.9,37.667105580080715,7.533421116016143,1
2026-01-07,1189.8,1,1162.5730524287485,1189.8,34.033684464064436,6.8067368928128875,1
2026-01-08,1155.9,1,1168.0184419429988,1189.8,27.226947571251458,5.445389514250292,-1
2026-01-09,1158.8,-1,1165.5947535543992,1155.9,-12.118441942998743,-2.4236883885997487,-1
2026-01-12,1182.7,-1,1164.2358028435194,1158.8,-6.794753554399222,-1.3589507108798444,1
2026-01-13,1178.1,1,1167.0086422748154,1178.1,13.864197156480486,2.7728394312960973,1
2026-01-14,1181.8,1,1169.9669138198524,1181.8,14.791357725184525,2.9582715450369053,1
2026-01-16,1187.3,1,1173.433531055882,1187.3,17.333086180147575,3.4666172360295153,1
2026-01-19,1184.1,1,1176.2068248447056,1187.3,13.866468944117969,2.773293788823594,1
