Date,Close_Price,Flg,p,EP,EP-Pt-1,XAF,Rev
2025-07-31,1226.4,1,1226.4,1226.4,0.1,0.1,1
2025-08-01,1206.5,1,1226.4,1226.4,0.0,0.0,-1
2025-08-04,1217.0,-1,1222.42,1206.5,-19.90000000000009,-3.980000000000018,-1
2025-08-05,1210.3,-1,1219.996,1210.3,-12.120000000000118,-2.424000000000024,-1
2025-08-06,1209.0,-1,1217.7968,1209.0,-10.996000000000095,-2.199200000000019,-1
2025-08-07,1209.5,-1,1216.03744,1209.0,-8.796800000000076,-1.7593600000000151,-1
2025-08-08,1190.8,-1,1210.9899520000001,1190.8,-25.237440000000106,-5.047488000000022,-1
2025-08-11,1199.1,-1,1206.9519616,1190.8,-20.189952000000176,-4.0379904000000355,-1
2025-08-12,1219.4,-1,1205.38156928,1199.1,-7.851961600000095,-1.5703923200000192,1
2025-08-13,1216.0,1,1207.5052554239999,1216.0,10.618430720000106,2.1236861440000214,1
2025-08-14,1213.0,1,1209.2042043391998,1216.0,8.49474457600013,1.698948915200026,1
2025-08-18,1208.5,1,1210.56336347136,1216.0,6.795795660800195,1.3591591321600391,-1
2025-08-19,1199.5,-1,1208.350690777088,1199.5,-11.063363471359935,-2.212672694271987,-1
2025-08-20,1214.6,-1,1206.5805526216704,1199.5,-8.850690777087948,-1.7701381554175897,1
2025-08-21,1214.1,1,1208.0844420973363,1214.1,7.51944737832946,1.503889475665892,1
2025-08-22,1196.6,1,1209.287553677869,1214.1,6.015557902663659,1.203111580532732,-1
2025-08-25,1203.0,-1,1206.7500429422953,1196.6,-12.687553677869118,-2.537510735573824,-1
2025-08-26,1200.1,-1,1205.4200343538362,1200.1,-6.650042942295386,-1.3300085884590773,-1
2025-08-28,1184.4,-1,1201.216027483069,1184.4,-21.02003435383608,-4.204006870767216,-1
2025-08-29,1190.5,-1,1197.8528219864552,1184.4,-16.816027483068865,-3.363205496613773,-1
2025-08-28,1184.4,-1,1195.1622575891643,1184.4,-13.452821986455092,-2.6905643972910185,-1
2025-08-29,1190.5,-1,1193.0098060713315,1184.4,-10.762257589164165,-2.152451517832833,-1
2025-09-10,1288.5,-1,1192.5078448570653,1190.5,-2.509806071331468,-0.5019612142662936,1
2025-11-17,1216.0,1,1197.2062758856523,1216.0,23.492155142934735,4.698431028586947,1
2025-11-17,1216.0,1,1200.965020708522,1216.0,18.793724114347697,3.7587448228695397,1
2025-11-18,1195.1,1,1203.9720165668175,1216.0,15.034979291478066,3.0069958582956136,-1
2025-11-19,1203.1,-1,1202.197613253454,1195.1,-8.872016566817592,-1.7744033133635186,1
2025-11-20,1196.6,1,1201.078090602763,1196.6,-5.597613253454028,-1.1195226506908058,-1
2025-11-24,1198.2,-1,1200.1824724822104,1196.6,-4.478090602763132,-0.8956181205526264,-1
2025-11-24,1198.2,-1,1199.7859779857683,1198.2,-1.982472482210369,-0.3964944964420738,-1
2025-11-25,1172.0,-1,1194.2287823886147,1172.0,-27.78597798576834,-5.557195597153669,-1
2025-11-26,1194.9,-1,1189.7830259108919,1172.0,-22.228782388614718,-4.445756477722944,1
2025-11-27,1218.9,1,1195.6064207287136,1218.9,29.116974089108226,5.8233948178216455,1
2025-11-28,1222.4,1,1200.965136582971,1222.4,26.79357927128649,5.358715854257298,1
