Date,Close_Price,Flg,p,EP,EP-Pt-1,XAF,Rev
2025-07-31,409.95,1,409.95,409.95,0.1,0.1,1
2025-08-01,403.85,1,409.95,409.95,0.0,0.0,-1
2025-08-04,413.75,-1,408.73,403.85,-6.099999999999966,-1.2199999999999933,1
2025-08-05,413.5,1,409.684,413.5,4.769999999999982,0.9539999999999964,1
2025-08-06,415.75,1,410.8972,415.75,6.065999999999974,1.213199999999995,1
2025-08-07,408.95,1,411.86776,415.75,4.852800000000002,0.9705600000000004,-1
2025-08-08,404.65,-1,410.42420799999996,404.65,-7.217759999999998,-1.4435519999999997,-1
2025-08-11,418.8,-1,409.26936639999997,404.65,-5.774207999999987,-1.1548415999999975,1
2025-08-12,415.7,1,410.55549312,415.7,6.4306336000000215,1.2861267200000044,1
2025-08-13,417.75,1,411.994394496,417.75,7.194506880000006,1.4389013760000013,1
2025-08-14,416.5,1,413.1455155968,417.75,5.755605504000016,1.1511211008000033,1
2025-08-18,408.7,1,414.06641247744,417.75,4.60448440319999,0.9208968806399981,-1
2025-08-19,410.0,-1,412.993129981952,408.7,-5.366412477440008,-1.0732824954880016,-1
2025-08-20,403.4,-1,411.0745039855616,403.4,-9.593129981952018,-1.9186259963904035,-1
2025-08-21,400.25,-1,408.9096031884493,400.25,-10.824503985561591,-2.164900797112318,-1
2025-08-22,399.85,-1,407.09768255075943,399.85,-9.059603188449273,-1.8119206376898547,-1
2025-08-25,399.3,-1,405.53814604060756,399.3,-7.7976825507594185,-1.5595365101518839,-1
2025-08-26,388.55,-1,402.14051683248607,388.55,-16.988146040607546,-3.3976292081215096,-1
2025-08-28,381.75,-1,398.06241346598887,381.75,-20.39051683248607,-4.078103366497214,-1
2025-08-29,379.7,-1,394.3899307727911,379.7,-18.36241346598888,-3.672482693197776,-1
2025-08-28,381.75,-1,391.45194461823286,379.7,-14.689930772791115,-2.937986154558223,-1
2025-08-29,379.7,-1,389.1015556945863,379.7,-11.75194461823287,-2.350388923646574,-1
2025-09-10,398.0,-1,387.22124455566905,379.7,-9.401555694586307,-1.8803111389172615,1
2025-11-17,376.4,1,385.71699564453525,379.7,-7.521244555669057,-1.5042489111338115,-1
2025-11-17,376.4,-1,383.85359651562817,376.4,-9.316995644535268,-1.8633991289070537,-1
2025-11-18,374.6,-1,382.00287721250254,374.6,-9.253596515628146,-1.8507193031256293,-1
2025-11-19,373.65,-1,380.332301770002,373.65,-8.352877212502563,-1.6705754425005126,-1
2025-11-20,372.75,-1,378.8158414160016,372.75,-7.582301770002005,-1.516460354000401,-1
2025-11-24,362.65,-1,375.5826731328013,362.65,-16.165841416001626,-3.2331682832003255,-1
2025-11-24,362.65,-1,372.99613850624104,362.65,-12.932673132801312,-2.5865346265602627,-1
2025-11-25,361.4,-1,370.6769108049928,361.4,-11.596138506241061,-2.3192277012482125,-1
2025-11-26,362.4,-1,368.82152864399427,361.4,-9.276910804992838,-1.8553821609985677,-1
2025-11-27,365.15,-1,367.5372229151954,362.4,-6.421528643994293,-1.2843057287988586,-1
2025-11-28,362.7,-1,366.5697783321563,362.7,-4.837222915195412,-0.9674445830390823,-1
2025-12-01,360.95,-1,365.4458226657251,360.95,-5.619778332156329,-1.123955666431266,-1
2025-12-02,360.3,-1,364.41665813258004,360.3,-5.145822665725063,-1.0291645331450128,-1
2025-12-03,351.95,-1,361.92332650606403,351.95,-12.46665813258005,-2.49333162651601,-1
2025-12-04,352.05,-1,359.9286612048512,351.95,-9.97332650606404,-1.9946653012128082,-1
2025-12-05,352.65,-1,358.35292896388097,352.05,-7.878661204851198,-1.5757322409702397,-1
2025-12-08,342.45,-1,355.1723431711048,342.45,-15.902928963880981,-3.1805857927761965,-1
2025-12-09,342.5,-1,352.62787453688384,342.45,-12.722343171104797,-2.5444686342209595,-1
2025-12-10,343.85,-1,350.60229962950706,342.5,-10.127874536883837,-2.0255749073767677,-1
2025-12-11,342.55,-1,348.99183970360565,342.55,-8.052299629507047,-1.6104599259014094,-1
2025-12-12,344.2,-1,347.70347176288453,342.55,-6.441839703605638,-1.2883679407211277,-1
2025-12-15,341.2,-1,346.40277741030764,341.2,-6.503471762884544,-1.300694352576909,-1
2025-12-16,336.15,-1,344.3522219282461,336.15,-10.252777410307658,-2.0505554820615317,-1
2025-12-17,335.65,-1,342.6117775425969,335.65,-8.702221928246104,-1.7404443856492209,-1
2025-12-18,335.05,-1,341.0994220340775,335.05,-7.561777542596872,-1.5123555085193745,-1
2025-12-19,338.7,-1,339.88953762726203,335.05,-6.049422034077509,-1.209884406815502,-1
2025-12-22,343.4,-1,339.65163010180964,338.7,-1.189537627262041,-0.23790752545240823,1
2025-12-23,354.9,1,342.7013040814477,354.9,15.248369898190333,3.049673979638067,1
2025-12-24,352.3,1,345.14104326515815,354.9,12.19869591855229,2.439739183710458,1
2025-12-26,354.6,1,347.0928346121265,354.9,9.758956734841831,1.9517913469683663,1
2025-12-29,351.55,1,348.6542676897012,354.9,7.807165387873454,1.5614330775746907,1
2025-12-30,349.35,1,349.90341415176096,354.9,6.245732310298763,1.2491464620597528,-1
2025-12-31,355.4,-1,349.7927313214088,349.35,-0.5534141517609328,-0.11068283035218657,1
2026-01-01,363.15,1,352.464185057127,363.15,13.357268678591197,2.6714537357182397,1
2026-01-01,363.15,1,354.60134804570157,363.15,10.68581494287298,2.137162988574596,1
