Date,Close_Price,Flg,p,EP,EP-Pt-1,XAF,Rev
2025-07-31,2869.8,1,2869.8,2869.8,0.1,0.1,1
2025-08-01,2858.9,1,2869.8,2869.8,0.0,0.0,-1
2025-08-04,2951.8,-1,2867.6200000000003,2858.9,-10.900000000000091,-2.1800000000000184,1
2025-08-05,2997.6,1,2893.6160000000004,2997.6,129.97999999999956,25.995999999999913,1
2025-08-06,3041.8,1,2923.2528,3041.8,148.18399999999974,29.63679999999995,1
2025-08-07,3050.8,1,2948.76224,3050.8,127.54719999999998,25.509439999999998,1
2025-08-08,3081.3,1,2975.269792,3081.3,132.53776000000016,26.507552000000032,1
2025-08-11,3096.8,1,2999.5758336,3096.8,121.53020800000013,24.30604160000003,1
2025-08-12,3101.5,1,3019.9606668799997,3101.5,101.9241664000001,20.384833280000024,1
2025-08-13,3061.9,1,3036.2685335039996,3101.5,81.53933312000026,16.307866624000052,1
2025-08-14,3085.4,1,3049.3148268031996,3101.5,65.2314664960004,13.04629329920008,1
2025-08-18,3076.9,1,3059.75186144256,3101.5,52.185173196800406,10.437034639360082,1
2025-08-19,3095.2,1,3068.101489154048,3101.5,41.74813855744014,8.34962771148803,1
2025-08-20,3084.6,1,3074.7811913232385,3101.5,33.39851084595193,6.679702169190387,1
2025-08-21,3079.0,1,3080.124953058591,3101.5,26.718808676761455,5.343761735352292,-1
2025-08-22,3087.2,-1,3079.899962446873,3079.0,-1.124953058591018,-0.2249906117182036,1
2025-08-25,3107.0,1,3085.3199699574984,3107.0,27.100037553127095,5.420007510625419,1
2025-08-26,3100.4,1,3089.6559759659986,3107.0,21.680030042501585,4.336006008500317,1
2025-08-28,3062.9,1,3093.1247807727987,3107.0,17.34402403400145,3.46880480680029,-1
2025-08-29,3050.3,-1,3084.559824618239,3050.3,-42.824780772798476,-8.564956154559695,-1
2025-08-28,3062.9,-1,3077.707859694591,3050.3,-34.25982461823878,-6.851964923647756,-1
2025-08-29,3050.3,-1,3072.226287755673,3050.3,-27.407859694591025,-5.481571938918205,-1
2025-09-10,3070.6,-1,3067.8410302045386,3050.3,-21.926287755673002,-4.3852575511346,1
2025-11-17,1475.5,1,3064.332824163631,3050.3,-17.5410302045384,-3.5082060409076803,-1
2025-11-17,1475.5,-1,2746.566259330905,1475.5,-1588.832824163631,-317.7665648327262,-1
2025-11-18,1491.0,-1,2492.3530074647238,1475.5,-1271.0662593309048,-254.21325186618097,-1
2025-11-19,1476.7,-1,2289.222405971779,1476.7,-1015.6530074647237,-203.13060149294475,-1
2025-11-20,1489.0,-1,2126.7179247774234,1476.7,-812.5224059717791,-162.50448119435583,-1
2025-11-24,1463.0,-1,1993.9743398219387,1463.0,-663.7179247774234,-132.7435849554847,-1
2025-11-24,1463.0,-1,1887.779471857551,1463.0,-530.9743398219387,-106.19486796438774,-1
2025-11-25,1466.6,-1,1802.823577486041,1463.0,-424.779471857551,-84.95589437151021,-1
2025-11-26,1484.4,-1,1735.5788619888326,1466.6,-336.223577486041,-67.2447154972082,-1
2025-11-27,1472.3,-1,1682.9230895910662,1472.3,-263.27886198883266,-52.65577239776653,-1
2025-11-28,1469.8,-1,1640.2984716728529,1469.8,-213.12308959106622,-42.62461791821325,-1
2025-12-01,1468.6,-1,1605.9587773382823,1468.6,-171.69847167285297,-34.339694334570595,-1
2025-12-02,1468.9,-1,1578.4870218706258,1468.6,-137.35877733828238,-27.47175546765648,-1
2025-12-03,1478.6,-1,1556.5696174965005,1468.9,-109.58702187062568,-21.917404374125137,-1
2025-12-04,1484.7,-1,1540.9756939972003,1478.6,-77.96961749650063,-15.593923499300127,-1
2025-12-05,1475.1,-1,1527.8005551977603,1475.1,-65.87569399720041,-13.175138799440084,-1
2025-12-08,1456.1,-1,1513.4604441582082,1456.1,-71.70055519776042,-14.340111039552085,-1
2025-12-09,1459.8,-1,1501.9883553265665,1456.1,-57.36044415820834,-11.472088831641669,-1
2025-12-10,1455.7,-1,1492.7306842612531,1455.7,-46.28835532656649,-9.257671065313298,-1
2025-12-11,1467.4,-1,1485.3245474090024,1455.7,-37.0306842612531,-7.40613685225062,-1
2025-12-12,1476.8,-1,1481.739637927202,1467.4,-17.924547409002344,-3.584909481800469,-1
2025-12-15,1479.4,-1,1480.7517103417615,1476.8,-4.939637927202057,-0.9879275854404114,-1
2025-12-16,1473.1,-1,1479.221368273409,1473.1,-7.6517103417616,-1.5303420683523201,-1
2025-12-17,1450.7,-1,1473.5170946187272,1450.7,-28.521368273409053,-5.704273654681811,-1
2025-12-18,1451.6,-1,1468.9536756949817,1450.7,-22.817094618727197,-4.56341892374544,-1
2025-12-19,1458.3,-1,1465.4829405559854,1451.6,-17.353675694981803,-3.4707351389963605,-1
2025-12-22,1459.2,-1,1464.0463524447882,1458.3,-7.182940555985397,-1.4365881111970795,-1
2025-12-23,1462.1,-1,1463.0770819558306,1459.2,-4.846352444788181,-0.9692704889576362,-1
2025-12-24,1446.6,-1,1459.7816655646645,1446.6,-16.477081955830727,-3.2954163911661456,-1
2025-12-26,1458.6,-1,1457.1453324517315,1446.6,-13.181665564664627,-2.6363331129329257,1
2025-12-29,1452.8,1,1456.2762659613852,1452.8,-4.345332451731565,-0.869066490346313,-1
2025-12-30,1450.9,-1,1455.2010127691083,1450.9,-5.376265961385116,-1.0752531922770232,-1
2025-12-31,1482.4,-1,1454.3408102152866,1450.9,-4.301012769108183,-0.8602025538216367,1
2026-01-01,1469.3,1,1457.3326481722293,1469.3,14.959189784713317,2.9918379569426636,1
2026-01-01,1469.3,1,1459.7261185377833,1469.3,11.967351827770699,2.39347036555414,1
2026-01-01,1469.3,1,1461.6408948302267,1469.3,9.573881462216605,1.914776292443321,1
2026-01-05,1505.0,1,1470.3127158641814,1505.0,43.35910516977333,8.671821033954666,1
2026-01-06,1505.0,1,1477.2501726913451,1505.0,34.68728413581857,6.9374568271637145,1
2026-01-07,1514.8,1,1484.760138153076,1514.8,37.54982730865481,7.509965461730963,1
2026-01-08,1500.8,1,1490.7681105224608,1514.8,30.03986184692394,6.007972369384788,1
2026-01-09,1484.3,1,1495.5744884179687,1514.8,24.031889477539153,4.806377895507831,-1
2026-01-12,1500.8,-1,1493.319590734375,1484.3,-11.274488417968769,-2.2548976835937538,1
2026-01-13,1498.9,1,1494.4356725875,1498.9,5.580409265625121,1.1160818531250243,1
2026-01-14,1495.3,1,1495.32853807,1498.9,4.464327412500097,0.8928654825000195,-1
2026-01-16,1476.6,-1,1491.582830456,1476.6,-18.728538070000013,-3.7457076140000027,-1
2026-01-19,1474.8,-1,1488.2262643648,1474.8,-16.782830456000056,-3.3565660912000115,-1
2026-01-20,1435.2,-1,1477.6210114918401,1435.2,-53.0262643648,-10.605252872960001,-1
2026-01-21,1421.8,-1,1466.456809193472,1421.8,-55.82101149184018,-11.164202298368037,-1
2026-01-22,1452.8,-1,1457.5254473547777,1421.8,-44.6568091934721,-8.93136183869442,-1
2026-01-23,1447.9,-1,1455.6003578838222,1447.9,-9.625447354777634,-1.9250894709555268,-1
2026-01-27,1447.2,-1,1453.9202863070577,1447.2,-8.400357883822153,-1.6800715767644308,-1
2026-01-28,1460.7,-1,1452.5762290456462,1447.2,-6.720286307057677,-1.3440572614115354,1
2026-01-29,1429.6,1,1451.500983236517,1447.2,-5.3762290456461415,-1.0752458091292283,-1
2026-01-30,1431.1,-1,1447.1207865892136,1429.6,-21.90098323651705,-4.38019664730341,-1
2026-02-01,1423.8,-1,1442.456629271371,1423.8,-23.32078658921364,-4.6641573178427285,-1
2026-02-02,1412.0,-1,1436.3653034170968,1412.0,-30.456629271370957,-6.091325854274192,-1
2026-02-03,1427.8,-1,1431.4922427336774,1412.0,-24.36530341709681,-4.873060683419363,-1
