Date,Close_Price,Flg,p,EP,EP-Pt-1,XAF,Rev
2025-10-15,1655.1,1,1655.1,1655.1,0.1,0.1,1
2025-10-16,1659.0,1,1655.8799999999999,1659.0,3.900000000000091,0.7800000000000182,1
2025-10-17,1679.1,1,1660.524,1679.1,23.220000000000027,4.6440000000000055,1
2025-10-20,1688.6,1,1666.1391999999998,1688.6,28.076000000000022,5.615200000000005,1
2025-10-21,1690.5,1,1671.01136,1690.5,24.360800000000154,4.872160000000031,1
2025-10-23,1689.9,1,1674.9090879999999,1690.5,19.488640000000032,3.8977280000000065,1
2025-10-24,1699.0,1,1679.7272704,1699.0,24.090912000000117,4.8181824000000235,1
2025-10-27,1693.6,1,1683.58181632,1699.0,19.272729600000048,3.85454592000001,1
2025-10-28,1687.0,1,1686.665453056,1699.0,15.418183680000084,3.0836367360000168,1
2025-10-29,1715.9,1,1692.5123624448,1715.9,29.234546944000158,5.846909388800032,1
2025-10-30,1703.4,1,1697.18988995584,1715.9,23.387637555200172,4.677527511040035,1
2025-10-31,1690.7,1,1700.931911964672,1715.9,18.710110044160047,3.7420220088320093,-1
2025-11-03,1706.4,-1,1698.8855295717376,1690.7,-10.231911964672008,-2.046382392934402,1
2025-11-04,1690.0,1,1697.24842365739,1690.7,-8.185529571737561,-1.6371059143475124,-1
2025-11-06,1685.9,-1,1694.978738925912,1685.9,-11.348423657389958,-2.2696847314779918,-1
2025-11-07,1691.4,-1,1693.1629911407297,1685.9,-9.07873892591192,-1.8157477851823842,-1
2025-11-10,1697.8,-1,1692.8103929125837,1691.4,-1.7629911407295822,-0.35259822814591646,1
2025-11-11,1716.1,1,1697.468314330067,1716.1,23.289607087416243,4.657921417483249,1
2025-11-12,1732.1,1,1704.3946514640536,1732.1,34.63168566993295,6.92633713398659,1
2025-11-13,1737.4,1,1710.9957211712428,1737.4,33.005348535946496,6.6010697071893,1
2025-11-14,1757.1,1,1720.2165769369942,1757.1,46.10427882875706,9.220855765751413,1
2025-11-14,1757.1,1,1727.5932615495954,1757.1,36.883423063005694,7.376684612601139,1
2025-11-14,1757.1,1,1733.4946092396763,1757.1,29.506738450404555,5.901347690080911,1
2025-11-17,1763.9,1,1739.575687391741,1763.9,30.405390760323826,6.081078152064766,1
2025-11-17,1763.9,1,1744.4405499133927,1763.9,24.324312608259106,4.864862521651822,1
2025-11-18,1758.8,1,1748.3324399307141,1763.9,19.459450086607376,3.8918900173214754,1
