Date,Close_Price,Flg,p,EP,EP-Pt-1,XAF,Rev
2025-07-31,982.55,1,982.55,982.55,0.1,0.1,1
2025-08-01,956.5,1,982.55,982.55,0.0,0.0,-1
2025-08-04,973.4,-1,977.3399999999999,956.5,-26.049999999999955,-5.209999999999991,-1
2025-08-05,964.25,-1,974.722,964.25,-13.089999999999918,-2.617999999999984,-1
2025-08-06,949.55,-1,969.6876,949.55,-25.172000000000025,-5.034400000000005,-1
2025-08-07,959.0,-1,965.66008,949.55,-20.13760000000002,-4.027520000000004,-1
2025-08-08,946.3,-1,961.788064,946.3,-19.36008000000004,-3.872016000000008,-1
2025-08-11,952.4,-1,958.6904512,946.3,-15.488064000000008,-3.097612800000002,-1
2025-08-12,945.2,-1,955.99236096,945.2,-13.490451199999939,-2.698090239999988,-1
2025-08-13,941.4,-1,953.0738887680001,941.4,-14.592360960000065,-2.918472192000013,-1
2025-08-14,933.5,-1,949.1591110144001,933.5,-19.573888768000074,-3.9147777536000152,-1
2025-08-18,945.85,-1,946.0272888115201,933.5,-15.659111014400082,-3.1318222028800164,-1
2025-08-19,947.6,-1,945.9918310492161,945.85,-0.17728881152004305,-0.035457762304008614,1
2025-08-20,944.65,1,945.9634648393729,945.85,-0.14183104921607992,-0.028366209843215986,-1
2025-08-21,940.2,-1,944.8107718714983,940.2,-5.763464839372887,-1.1526929678745774,-1
2025-08-22,938.05,-1,943.4586174971987,938.05,-6.7607718714983775,-1.3521543742996756,-1
2025-08-25,950.25,-1,942.376893997759,938.05,-5.4086174971987475,-1.0817234994397495,1
2025-08-26,935.3,1,941.5115151982072,938.05,-4.3268939977590435,-0.8653787995518087,-1
2025-08-28,917.8,-1,936.7692121585658,917.8,-23.71151519820728,-4.742303039641456,-1
2025-08-29,920.7,-1,932.9753697268526,917.8,-18.969212158565824,-3.793842431713165,-1
2025-08-28,917.8,-1,929.9402957814821,917.8,-15.175369726852637,-3.0350739453705273,-1
2025-08-29,920.7,-1,927.5122366251857,917.8,-12.14029578148211,-2.428059156296422,-1
2025-09-10,945.0,-1,926.1497893001485,920.7,-6.812236625185619,-1.3624473250371238,1
2025-11-17,834.45,1,925.0598314401188,920.7,-5.449789300148495,-1.089957860029699,-1
2025-11-17,834.45,-1,906.9378651520951,834.45,-90.6098314401188,-18.12196628802376,-1
2025-11-18,826.7,-1,890.8902921216761,826.7,-80.23786515209508,-16.047573030419017,-1
2025-11-19,819.4,-1,876.5922336973409,819.4,-71.49029212167613,-14.298058424335228,-1
2025-11-20,818.9,-1,865.0537869578727,818.9,-57.69223369734095,-11.538446739468192,-1
2025-11-24,804.1,-1,852.8630295662982,804.1,-60.953786957872694,-12.19075739157454,-1
2025-11-24,804.1,-1,843.1104236530385,804.1,-48.7630295662982,-9.752605913259641,-1
2025-11-25,803.9,-1,835.2683389224309,803.9,-39.21042365303856,-7.842084730607713,-1
2025-11-26,815.0,-1,828.9946711379447,803.9,-31.368338922430894,-6.273667784486179,-1
2025-11-27,808.25,-1,824.8457369103558,808.25,-20.744671137944692,-4.1489342275889385,-1
2025-11-28,800.4,-1,819.9565895282846,800.4,-24.445736910355777,-4.8891473820711555,-1
2025-12-01,795.4,-1,815.0452716226276,795.4,-24.556589528284576,-4.911317905656915,-1
2025-12-02,789.8,-1,809.9962172981021,789.8,-25.245271622627683,-5.049054324525537,-1
2025-12-03,783.1,-1,804.6169738384817,783.1,-26.8962172981021,-5.379243459620421,-1
2025-12-04,782.1,-1,800.1135790707854,782.1,-22.516973838481704,-4.503394767696341,-1
2025-12-05,774.05,-1,794.9008632566283,774.05,-26.06357907078541,-5.212715814157082,-1
2025-12-08,762.95,-1,788.5106906053027,762.95,-31.95086325662828,-6.390172651325656,-1
2025-12-09,749.4,-1,780.6885524842421,749.4,-39.11069060530269,-7.822138121060539,-1
2025-12-10,752.6,-1,774.4308419873937,749.4,-31.288552484242132,-6.257710496848427,-1
2025-12-11,753.8,-1,770.064673589915,752.6,-21.830841987393683,-4.366168397478737,-1
2025-12-12,758.85,-1,766.811738871932,753.8,-16.26467358991499,-3.2529347179829986,-1
2025-12-15,765.9,-1,765.2193910975456,758.85,-7.961738871931971,-1.5923477743863943,1
2025-12-16,755.9,1,763.9455128780364,758.85,-6.369391097545531,-1.2738782195091063,-1
2025-12-17,751.65,-1,761.4864103024291,751.65,-12.295512878036448,-2.4591025756072895,-1
2025-12-18,748.9,-1,758.9691282419433,748.9,-12.586410302429158,-2.5172820604858317,-1
2025-12-19,761.3,-1,756.9553025935546,748.9,-10.069128241943304,-2.0138256483886607,1
2025-12-22,768.5,1,759.2642420748437,768.5,11.54469740644538,2.3089394812890762,1
2025-12-23,776.65,1,762.7413936598749,776.65,17.385757925156327,3.4771515850312653,1
2025-12-24,765.45,1,765.5231149278999,776.65,13.908606340125061,2.7817212680250125,-1
2025-12-26,763.0,-1,765.0184919423199,763.0,-2.523114927899883,-0.5046229855799765,-1
2025-12-29,761.1,-1,764.2347935538559,761.1,-3.9184919423198608,-0.7836983884639722,-1
2025-12-30,748.4,-1,761.0678348430847,748.4,-15.834793553855889,-3.166958710771178,-1
2025-12-31,765.55,-1,758.5342678744678,748.4,-12.667834843084734,-2.533566968616947,1
2026-01-01,751.15,1,757.0574142995742,751.15,-7.38426787446781,-1.476853574893562,-1
2026-01-01,751.15,-1,755.8759314396594,751.15,-5.9074142995742704,-1.1814828599148541,-1
2026-01-05,746.45,-1,753.9907451517275,746.45,-9.425931439659394,-1.8851862879318788,-1
2026-01-06,754.9,-1,752.482596121382,746.45,-7.540745151727492,-1.5081490303454985,1
2026-01-07,783.95,1,758.7760768971057,783.95,31.46740387861803,6.293480775723606,1
2026-01-08,763.95,1,763.8108615176845,783.95,25.173923102894378,5.0347846205788755,1
2026-01-09,746.95,1,767.8386892141476,783.95,20.139138482315502,4.027827696463101,-1
2026-01-12,750.5,-1,763.6609513713181,746.95,-20.888689214147576,-4.177737842829515,-1
2026-01-13,762.8,-1,761.0287610970545,750.5,-13.160951371318106,-2.632190274263621,1
2026-01-14,770.35,1,762.8930088776436,770.35,9.321238902945538,1.8642477805891078,1
2026-01-16,755.05,1,764.3844071021149,770.35,7.456991122356385,1.4913982244712771,-1
2026-01-19,746.2,-1,760.747525681692,746.2,-18.184407102114847,-3.6368814204229696,-1
2026-01-20,730.95,-1,754.7880205453536,730.95,-29.797525681691923,-5.959505136338385,-1
2026-01-21,693.8,-1,742.5904164362828,693.8,-60.988020545353606,-12.197604109070722,-1
2026-01-22,729.65,-1,732.8323331490262,693.8,-48.79041643628284,-9.758083287256568,-1
2026-01-23,713.5,-1,728.965866519221,713.5,-19.332333149026226,-3.8664666298052452,-1
2026-01-27,710.65,-1,725.3026932153767,710.65,-18.315866519221004,-3.663173303844201,-1
2026-01-28,727.3,-1,722.3721545723014,710.65,-14.652693215376758,-2.9305386430753515,1
2026-01-29,722.8,1,722.4577236578411,722.8,0.42784542769857126,0.08556908553971426,1
2026-01-30,745.65,1,727.096178926273,745.65,23.192276342158834,4.638455268431767,1
2026-02-01,742.9,1,730.8069431410183,745.65,18.553821073727022,3.7107642147454047,1
2026-02-02,726.6,1,733.7755545128147,745.65,14.84305685898164,2.968611371796328,-1
2026-02-03,725.4,-1,732.1004436102518,725.4,-8.375554512814688,-1.6751109025629376,-1
2026-02-04,717.45,-1,729.1703548882015,717.45,-14.650443610251727,-2.9300887220503458,-1
2026-02-05,709.75,-1,725.2862839105612,709.75,-19.420354888201473,-3.884070977640295,-1
2026-02-06,703.9,-1,721.009027128449,703.9,-21.386283910561247,-4.277256782112249,-1
2026-02-09,709.45,-1,717.5872217027592,703.9,-17.109027128449043,-3.4218054256898087,-1
2026-02-10,715.8,-1,715.9597773622073,709.45,-8.13722170275912,-1.6274443405518242,-1
2026-02-11,709.6,-1,714.6878218897658,709.6,-6.359777362207296,-1.2719554724414595,-1
2026-02-12,698.7,-1,711.4902575118126,698.7,-15.987821889765769,-3.197564377953154,-1
2026-02-13,695.25,-1,708.2422060094501,695.25,-16.240257511812615,-3.2480515023625234,-1
2026-02-16,691.85,-1,704.9637648075601,691.85,-16.392206009450092,-3.2784412018900184,-1
2026-02-17,694.65,-1,702.3410118460481,691.85,-13.113764807560074,-2.622752961512015,-1
2026-02-18,690.0,-1,699.8728094768385,690.0,-12.341011846048104,-2.468202369209621,-1
2026-02-19,705.1,-1,697.8982475814707,690.0,-9.872809476838484,-1.9745618953676969,1
2026-02-23,714.45,1,701.2085980651766,714.45,16.551752418529304,3.310350483705861,1
2026-02-24,710.0,1,703.8568784521412,714.45,13.241401934823443,2.648280386964689,1
2026-02-25,719.35,1,706.955502761713,719.35,15.493121547858777,3.098624309571756,1
2026-02-26,716.05,1,709.4344022093704,719.35,12.394497238287045,2.478899447657409,1
2026-02-27,717.4,1,711.4175217674964,719.35,9.91559779062959,1.9831195581259182,1
2026-03-02,710.45,1,713.0040174139971,719.35,7.932478232503627,1.5864956465007254,-1
2026-03-04,707.7,-1,711.9432139311976,707.7,-5.30401741399703,-1.0608034827994062,-1
