Date,Close_Price,Flg,p,EP,EP-Pt-1,XAF,Rev
2025-07-31,397.75,1,397.75,397.75,0.1,0.1,1
2025-08-01,389.3,1,397.75,397.75,0.0,0.0,-1
2025-08-04,387.1,-1,395.62,387.1,-10.649999999999977,-2.1299999999999955,-1
2025-08-05,385.55,-1,393.606,385.55,-10.069999999999993,-2.013999999999999,-1
2025-08-06,385.55,-1,391.9948,385.55,-8.055999999999983,-1.6111999999999966,-1
2025-08-07,385.55,-1,390.70584,385.55,-6.4447999999999865,-1.2889599999999974,-1
2025-08-08,378.8,-1,388.324672,378.8,-11.905840000000012,-2.3811680000000024,-1
2025-08-11,384.3,-1,386.4197376,378.8,-9.52467200000001,-1.904934400000002,-1
2025-08-12,384.45,-1,385.99579008,384.3,-2.1197376000000077,-0.4239475200000016,-1
2025-08-13,387.2,-1,385.686632064,384.45,-1.5457900800000175,-0.30915801600000353,1
2025-08-14,385.3,1,385.6093056512,385.3,-0.3866320639999685,-0.07732641279999371,-1
2025-08-18,387.3,-1,385.54744452095997,385.3,-0.30930565119996345,-0.06186113023999269,1
2025-08-19,389.15,1,386.26795561676795,389.15,3.6025554790400065,0.7205110958080013,1
2025-08-20,390.55,1,387.12436449341436,390.55,4.282044383232062,0.8564088766464124,1
2025-08-21,388.05,1,387.80949159473147,390.55,3.4256355065856496,0.68512710131713,1
2025-08-22,385.6,1,388.3575932757852,390.55,2.7405084052685424,0.5481016810537085,-1
2025-08-25,383.25,-1,387.33607462062815,383.25,-5.107593275785177,-1.0215186551570354,-1
2025-08-26,377.75,-1,385.4188596965025,377.75,-9.586074620628153,-1.9172149241256307,-1
2025-08-28,371.1,-1,382.55508775720205,371.1,-14.3188596965025,-2.8637719393005003,-1
2025-08-29,374.15,-1,380.26407020576164,371.1,-11.455087757202023,-2.2910175514404045,-1
2025-08-28,371.1,-1,378.4312561646093,371.1,-9.164070205761618,-1.8328140411523237,-1
2025-08-29,374.15,-1,376.9650049316874,371.1,-7.331256164609272,-1.4662512329218544,-1
