Date,Close_Price,Flg,p,EP,EP-Pt-1,XAF,Rev
2025-12-04,356.45,1,356.45,356.45,0.1,0.1,1
2025-12-05,353.6,1,356.45,356.45,0.0,0.0,-1
2025-12-08,348.3,-1,354.82,348.3,-8.149999999999977,-1.6299999999999955,-1
2025-12-09,344.7,-1,352.796,344.7,-10.120000000000005,-2.024000000000001,-1
2025-12-10,343.4,-1,350.91679999999997,343.4,-9.396000000000015,-1.879200000000003,-1
2025-12-11,346.65,-1,349.41344,343.4,-7.516799999999989,-1.503359999999998,-1
2025-12-12,347.45,-1,348.860752,346.65,-2.763440000000003,-0.5526880000000006,-1
2025-12-15,347.15,-1,348.5186016,347.15,-1.7107520000000136,-0.34215040000000274,-1
2025-12-16,345.45,-1,347.90488128,345.45,-3.0686016000000222,-0.6137203200000045,-1
2025-12-17,346.35,-1,347.413905024,345.45,-2.454881279999995,-0.49097625599999906,-1
2025-12-18,345.8,-1,347.0911240192,345.8,-1.613905023999962,-0.3227810047999924,-1
2025-12-19,352.65,-1,346.83289921536,345.8,-1.2911240191999696,-0.2582248038399939,1
2025-12-22,359.15,1,349.296319372288,359.15,12.31710078463999,2.4634201569279983,1
2025-12-23,363.25,1,352.0870554978304,363.25,13.953680627712004,2.790736125542401,1
2025-12-24,359.2,1,354.31964439826436,363.25,11.16294450216958,2.232588900433916,1
2025-12-26,358.8,1,356.1057155186115,363.25,8.930355601735641,1.7860711203471284,1
2025-12-29,358.6,1,357.53457241488917,363.25,7.1442844813885245,1.428856896277705,1
2025-12-30,361.75,1,358.6776579319113,363.25,5.715427585110831,1.1430855170221663,1
2025-12-31,367.35,1,360.41212634552903,367.35,8.67234206808871,1.7344684136177422,1
2026-01-01,367.55,1,361.83970107642324,367.55,7.1378736544709795,1.427574730894196,1
2026-01-02,370.35,1,363.5417608611386,370.35,8.510298923576784,1.702059784715357,1
2026-01-02,370.35,1,364.9034086889109,370.35,6.808239138861438,1.3616478277722877,1
2026-01-01,367.55,1,365.9927269511287,370.35,5.446591311089151,1.0893182622178301,1
2026-01-05,373.55,1,367.50418156090296,373.55,7.557273048871309,1.5114546097742618,1
2026-01-06,368.9,1,368.71334524872236,373.55,6.045818439097047,1.2091636878194096,1
2026-01-07,363.35,1,369.6806761989779,373.55,4.836654751277649,0.9673309502555298,-1
2026-01-08,359.45,-1,367.6345409591823,359.45,-10.230676198977903,-2.0461352397955808,-1
2026-01-09,354.15,-1,364.9376327673458,354.15,-13.484540959182311,-2.6969081918364624,-1
2026-01-12,350.55,-1,362.0601062138766,350.55,-14.387632767345792,-2.8775265534691585,-1
2026-01-13,349.75,-1,359.5980849711013,349.75,-12.310106213876622,-2.4620212427753247,-1
2026-01-14,349.8,-1,357.62846797688104,349.75,-9.848084971101287,-1.9696169942202575,-1
2026-01-16,353.6,-1,356.0627743815048,349.8,-7.828467976881029,-1.565693595376206,-1
2026-01-19,344.0,-1,353.65021950520384,344.0,-12.062774381504823,-2.4125548763009648,-1
2026-01-20,337.85,-1,350.4901756041631,337.85,-15.800219505203813,-3.160043901040763,-1
2026-01-21,339.25,-1,347.9621404833305,337.85,-12.640175604163062,-2.5280351208326124,-1
2026-01-22,347.3,-1,346.21971238666436,339.25,-8.712140483330472,-1.7424280966660946,1
2026-01-23,344.45,1,345.8657699093315,344.45,-1.7697123866643665,-0.3539424773328733,-1
2026-01-27,340.55,-1,344.8026159274652,340.55,-5.315769909331493,-1.0631539818662987,-1
2026-01-28,340.45,-1,343.93209274197216,340.45,-4.3526159274651945,-0.870523185493039,-1
2026-01-29,351.8,-1,343.2356741935777,340.45,-3.482092741972167,-0.6964185483944334,1
2026-01-30,350.05,1,344.59853935486217,350.05,6.814325806422289,1.362865161284458,1
2026-02-01,344.65,1,345.6888314838897,350.05,5.451460645137843,1.0902921290275687,-1
2026-02-02,362.9,-1,345.48106518711177,344.65,-1.0388314838897372,-0.20776629677794745,1
2026-02-03,372.05,1,350.7948521496894,372.05,26.568934812888244,5.313786962577649,1
2026-02-04,375.45,1,355.7258817197515,375.45,24.655147850310584,4.931029570062117,1
2026-02-05,374.15,1,359.6707053758012,375.45,19.72411828024849,3.944823656049698,1
2026-02-06,369.5,1,362.826564300641,375.45,15.77929462419877,3.155858924839754,1
2026-02-09,377.4,1,365.74125144051277,377.4,14.573435699358981,2.9146871398717966,1
2026-02-10,379.35,1,368.46300115241024,379.35,13.608748559487253,2.7217497118974507,1
2026-02-11,384.7,1,371.71040092192817,384.7,16.236998847589746,3.2473997695179495,1
2026-02-12,383.45,1,374.30832073754254,384.7,12.98959907807182,2.597919815614364,1
2026-02-13,380.25,1,376.386656590034,384.7,10.391679262457444,2.078335852491489,1
2026-02-16,377.25,1,378.0493252720272,384.7,8.313343409965967,1.6626686819931935,-1
2026-02-17,382.85,-1,377.8894602176218,377.25,-0.7993252720272039,-0.1598650544054408,1
2026-02-18,382.85,1,378.8815681740974,382.85,4.960539782378248,0.9921079564756496,1
2026-02-19,375.7,1,379.67525453927794,382.85,3.9684318259025986,0.7936863651805197,-1
2026-02-23,379.95,-1,378.8802036314224,375.7,-3.9752545392779552,-0.7950509078555911,1
2026-02-24,377.55,1,378.6141629051379,377.55,-1.3302036314223642,-0.26604072628447284,-1
2026-02-25,381.85,-1,378.40133032411035,377.55,-1.0641629051378914,-0.2128325810275783,1
2026-02-26,391.55,1,381.03106425928826,391.55,13.148669675889664,2.629733935177933,1
2026-02-27,382.65,1,383.13485140743063,391.55,10.518935740711754,2.103787148142351,-1
2026-03-02,370.6,-1,380.6278811259445,370.6,-12.534851407430608,-2.506970281486122,-1
2026-03-04,351.2,-1,374.7423049007556,351.2,-29.42788112594451,-5.8855762251889026,-1
2026-03-05,355.15,-1,370.03384392060445,351.2,-23.542304900755596,-4.708460980151119,-1
2026-03-09,332.0,-1,362.42707513648355,332.0,-38.033843920604454,-7.6067687841208915,-1
2026-03-10,345.2,-1,356.3416601091868,332.0,-30.427075136483552,-6.085415027296711,-1
2026-03-11,335.35,-1,352.14332808734946,335.35,-20.991660109186796,-4.198332021837359,-1
2026-03-12,324.55,-1,346.6246624698796,324.55,-27.593328087349448,-5.51866561746989,-1
2026-03-13,314.1,-1,340.1197299759037,314.1,-32.52466246987956,-6.504932493975912,-1
2026-03-16,314.4,-1,334.91578398072295,314.1,-26.019729975903658,-5.203945995180732,-1
2026-03-17,319.2,-1,330.81262718457833,314.4,-20.515783980722972,-4.103156796144595,-1
2026-03-18,324.75,-1,328.49010174766266,319.2,-11.612627184578344,-2.3225254369156687,-1
2026-03-19,309.3,-1,324.6520813981301,309.3,-19.190101747662652,-3.8380203495325307,-1
2026-03-20,314.1,-1,321.5816651185041,309.3,-15.35208139813011,-3.070416279626022,-1
2026-03-23,305.25,-1,318.31533209480324,305.25,-16.331665118504077,-3.2663330237008155,-1
2026-03-24,311.2,-1,315.70226567584257,305.25,-13.065332094803239,-2.613066418960648,-1
2026-03-25,317.95,-1,314.80181254067406,311.2,-4.50226567584258,-0.900453135168516,1
2026-03-27,303.2,1,314.08145003253924,311.2,-3.601812540674075,-0.7203625081348151,-1
2026-03-30,296.2,-1,310.5051600260314,296.2,-17.88145003253925,-3.57629000650785,-1
2026-04-01,302.95,-1,307.6441280208251,296.2,-14.305160026031388,-2.861032005206278,-1
2026-04-02,303.3,-1,306.7053024166601,302.95,-4.694128020825133,-0.9388256041650266,-1
2026-04-06,307.4,-1,306.0242419333281,303.3,-3.4053024166601062,-0.6810604833320213,1
2026-04-07,308.7,1,306.5593935466625,308.7,2.6757580666719036,0.5351516133343808,1
2026-04-08,334.75,1,312.19751483733,334.75,28.190606453337523,5.638121290667505,1
2026-04-09,333.25,1,316.708011869864,334.75,22.552485162669996,4.5104970325339995,1
2026-04-10,342.6,1,321.8864094958912,342.6,25.891988130136042,5.178397626027209,1
2026-04-13,345.5,1,326.60912759671294,345.5,23.6135905041088,4.72271810082176,1
2026-04-15,357.9,1,332.86730207737037,357.9,31.29087240328704,6.2581744806574084,1
2026-04-16,356.3,1,337.8738416618963,357.9,25.03269792262961,5.006539584525922,1
2026-04-17,360.1,1,342.31907332951704,360.1,22.226158338103744,4.445231667620749,1
2026-04-20,355.7,1,345.87525866361364,360.1,17.780926670482984,3.5561853340965968,1
2026-04-21,355.9,1,348.7202069308909,360.1,14.224741336386387,2.8449482672772777,1
2026-04-22,361.85,1,351.34616554471273,361.85,13.129793069109098,2.62595861382182,1
2026-04-23,351.95,1,353.4469324357702,361.85,10.50383445528729,2.100766891057458,-1
2026-04-24,350.5,-1,352.8575459486161,350.5,-2.9469324357701794,-0.5893864871540359,-1
2026-04-27,354.35,-1,352.3860367588929,350.5,-2.3575459486161208,-0.4715091897232242,1
2026-04-28,350.8,1,352.0688294071143,350.8,-1.5860367588928739,-0.3172073517785748,-1
2026-04-29,352.7,-1,351.81506352569147,350.8,-1.2688294071143105,-0.2537658814228621,1
2026-04-30,341.55,1,351.6120508205532,350.8,-1.0150635256914597,-0.20301270513829195,-1
2026-05-04,343.05,-1,349.59964065644255,341.55,-10.062050820553168,-2.0124101641106336,-1
2026-05-05,340.15,-1,347.70971252515403,340.15,-9.449640656442568,-1.8899281312885137,-1
2026-05-06,358.15,-1,346.19777002012324,340.15,-7.559712525154055,-1.511942505030811,1
2026-05-07,359.25,1,348.8082160160986,359.25,13.052229979876756,2.6104459959753514,1
2026-05-08,355.45,1,350.89657281287884,359.25,10.441783983901416,2.088356796780283,1
2026-05-11,346.0,1,352.5672582503031,359.25,8.353427187121156,1.6706854374242313,-1
2026-05-12,336.85,-1,349.4238066002425,336.85,-15.717258250303075,-3.1434516500606153,-1
2026-05-13,336.85,-1,346.909045280194,336.85,-12.573806600242449,-2.51476132004849,-1
2026-05-14,338.75,-1,344.8972362241552,336.85,-10.05904528019397,-2.011809056038794,-1
2026-05-15,356.55,-1,343.6677889793242,338.75,-6.147236224155222,-1.2294472448310445,1
2026-05-18,353.15,1,345.56423118345936,353.15,9.482211020675777,1.8964422041351554,1
2026-05-19,361.2,1,348.69138494676747,361.2,15.635768816540633,3.1271537633081268,1
2026-05-20,361.25,1,351.203107957414,361.25,12.55861505323253,2.511723010646506,1
2026-05-21,361.35,1,353.2324863659312,361.35,10.146892042586046,2.0293784085172093,1
2026-05-22,363.35,1,355.255989092745,363.35,10.117513634068814,2.023502726813763,1
2026-05-25,373.25,1,358.854791274196,373.25,17.994010907255017,3.5988021814510036,1
2026-05-26,385.6,1,364.2038330193568,385.6,26.745208725804048,5.34904174516081,1
